news_id,url,publisher,publish_date,author,title,image,body_text,news_guard_score,mbfc_level,political_bias
0,https://www.theatlantic.com/international/archive/2020/05/coronavirus-pandemic-second-wave-geopolitics-instability/611668/,The Atlantic,2020-05-18,['Tom Mctague'],The Pandemic’s Geopolitical Aftershocks Are Coming,https://cdn.theatlantic.com/thumbor/QjypJoAHCnRa2SQzHyE2hA5wByo=/0x43:2000x1085/960x500/media/img/mt/2020/05/SecondWave/original.jpg,"Read: Our democracy will survive this pandemic

History, as Barack Obama said of American progress, zigs and zags. Great changes set off chain reactions: The Wall Street Crash of 1929 ushered in the New Deal era; Allied victory in 1945 created the conditions for the Cold War. Each event creates political aftershocks and trends that we can see clearly only afterward. The decade that followed the 2008 financial crisis saw the euro zone teeter on the brink of collapse, Britain vote to leave the European Union, and Donald Trump elected president. Today, the global economy has suffered another sudden seizure, shifting geopolitics as U.S.-China tensions have risen, trade has slowed markedly, and structural divisions between northern and southern Europe have widened. The question, then, is what might happen in the decade after this crisis?

“Historians love chapter breaks,” said Robert Kaplan, an American foreign-policy expert and former member of the U.S. Defense Policy Board, who this month briefed officials at 10 Downing Street on the potential second-order effects of the coronavirus crisis. “COVID-19 will come to be seen as a chapter break.”

Among Kaplan’s concerns is how Russia and its leader, Vladimir Putin, will act, a fear echoed by some of the most influential voices in British foreign policy, who worry that the geopolitical second wave of COVID-19 will hit Europe the hardest. Michael Clarke, a defense-studies professor at King’s College London and former special adviser to Britain’s national committee on security strategy, who remains plugged in to the country’s foreign-policy establishment, told me that an economically weakened Russia, hit by the recent collapse in oil prices, poses a greater danger to Western security interests. “Putin’s aggressive opportunism will probably get worse,” Clarke said. “The nature of Putin’s leadership is that he can’t stand still; he has to keep pushing forward. This makes him more volatile.” What happens if the Russian leader, spooked by the country’s collapsing economy, eyes an opportunity to test NATO’s resolve? Others, such as Bruno Maçães, Portugal’s former Europe minister, told me that the crisis might not embolden Russia, but cripple it, leaving it more dependent on China and bringing Beijing’s sphere of influence to the borders of continental Europe. “Crises,” Kaplan noted, “put history on fast-forward.”

The array of possible second-wave consequences is dizzying: the prospect of the disease taking hold in a developing G20 country—think India—which could see the virus quickly doubling back to Europe and the U.S.; the uncertain impact of technological advances in fields such as artificial intelligence as they are used to help combat the disease’s spread; a recession pulling at the ties between the European Union’s poor south and wealthy north. Clarke is particularly concerned about an arc of instability from West Africa through the Middle East to Asia, where conflict and instability have in recent years forced people to flee. Karin von Hippel, the director general of the Royal United Services Institute, an influential British defense and international-affairs think tank, told me that “some kind of reckoning with China” is likely as well. “Some countries will emerge from this trying to cling to China … but most others are likely to try to decouple,” she said. For Britain, Germany, France, and other major European economies reliant on the American security umbrella but wanting to maintain strong economic ties with China, the difficulty of managing the fallout from the Trump administration’s anti-China rhetoric may now only increase.",92.5,High,Left-center
1,https://www.theatlantic.com/ideas/archive/2020/05/coronavirus-trump-lying-or-clueless/611824/,The Atlantic,2020-05-19,['Conor Friedersdorf'],"Is Trump Lying About the Coronavirus, or Does He Not Understand It?",https://cdn.theatlantic.com/thumbor/h-sv6dQIssztZlWyVX5LGtLo__c=/0x43:2000x1085/960x500/media/img/mt/2020/05/ConfusedOrLying/original.jpg,"But what if Trump isn’t lying? Americans ought to consider an alternative explanation for the president’s many untruths: He does not grasp the most basic aspects of the public-health crisis.

Cluelessness may, for example, better explain Trump’s statements on the expected COVID-19 death toll. On April 10, Trump said that the final number of U.S. deaths could be as few as 55,000, a mark the country surpassed before the end of that month. A week later, Trump said that the death toll would maybe reach 65,000, even as deaths rose at a rate that meant that mark would be overtaken within weeks. On April 27, when coronavirus deaths numbered about 56,000, Trump again reiterated lowball estimates, declaring, “We’re probably heading to 60,000 or 70,000.” By April 29, the death toll was about 63,000. That same day, Trump mused that total deaths would be “65 or 70 or 60 or whatever the final number will be.” Only after those opportunities to learn from past mistakes did Trump say, “Hopefully, we’re going to come in below that 100,000 lives lost, which is a horrible number nevertheless.” And that 100,000 figure? The New York Times noted at the time that it “underestimates what his own administration is now predicting to be the total death toll by the end of May.”

Why did Trump keep offering estimates so unrealistically low that they were overtaken by events mere weeks later, exposing him to mockery and providing fodder for attack ads? Lies are typically self-serving. Those statements were not. If he was trying to lowball death estimates so that Americans would reelect him, he needed to pick a number that wouldn’t be exceeded until after Election Day. Whether he intended to lie or attempted to tell the truth, he showed an inability to think just weeks ahead in an emergency that could last months or years.

Similarly, why did Trump declare that the virus would disappear when its spread was imminent? Why did he say we’re close to a vaccine when Americans are unlikely to get one before Election Day? Why did he suggest that injecting a disinfectant into the body might cure COVID-19? I used to worry that Trump’s serial mendacity might harm the nation. Now I worry even more that he isn’t lying, but rather lacks the capacity to see errors in the most obvious falsehoods. He appears to be so impulsive and attuned to the time horizon of an individual tweet, television appearance, or news cycle that he cannot strategize over a longer period.

Some Americans are willing to forgive lies from the president, but even they shouldn’t shrug off the possibility that Trump simply doesn’t understand the pandemic clearly enough to respond to it effectively.

“She tested positive out of the blue,” Trump said when a press secretary for the vice president tested positive for COVID-19. “This is why the whole concept of tests aren't necessarily great,. The tests are perfect, but something can happen between a test––where it’s good, and then something happens, and all of a sudden––she was tested very recently and tested negative. And then today, I guess, for some reason, she tested positive.”",92.5,High,Left-center
2,https://www.theatlantic.com/family/archive/2020/05/coronavirus-could-change-weddings-years-come/611716/,The Atlantic,2020-05-18,['Ashley Fetters'],The Pandemic’s Long-Lasting Effects on Weddings,https://cdn.theatlantic.com/thumbor/vvoM5iWNxq-d5Y_DJUPekonExxg=/0x147:6924x3753/960x500/media/img/mt/2020/05/GS3694083/original.jpg,"Social-distancing measures are likely to make big wedding celebrations essentially impossible for the rest of this year. The Centers for Disease Control and Prevention still recommends that Americans cancel gatherings of more than 10 people “for organizations that serve higher-risk populations,” and many states have imposed limits on the number of people who can gather for any sort of party or event.

Read: A guide to staying safe as states reopen

Dave Grossman, who lives in New York City, was supposed to get married in April at an old luxury hotel 25 miles outside the city—but in early March, New York State officials directed residents to cancel any gatherings of more than 50 people. Grossman and his fiancée initially rescheduled their wedding for August, but then the venue announced it was closing for the remainder of the year. Now they’re not sure when, or where, they’ll get married.

Grossman, 44, and his fiancée, 40, both had a specific vision for what they wanted their wedding day to look like. Watching their dream crumble before their eyes, Grossman said, has been devastating: “This was supposed to be the most exciting time—like, We’re getting married soon! Instead, it’s all stress.” Naturally, though, the idea of a smaller, more low-key wedding is now starting to look more and more appealing to the pair.

When the coronavirus first hit, Kristen Maxwell Cooper, the editor in chief of the wedding website The Knot, initially saw a lot of couples push their ceremonies to later this year. But the pandemic has become a more prolonged ordeal than many of those couples expected at first—so some are turning to what Maxwell Cooper and her team at The Knot have dubbed “mini-monies,” for miniature ceremonies. Small enough to comply with size limits on gatherings and also to responsibly practice social distancing, these are pared-down, minimalist events with “usually around 10 people—just their family, maybe,” she said. Some or all of the ceremony “may be virtual. They may have a virtual officiant or something like that.” Maxwell Cooper added that most of the couples she’s seen opt for the mini-mony still plan to have a bigger celebration later on, after restrictions have lifted.

Read: We need to stop trying to replicate the life we had

Amy Jones, a wedding planner in Connecticut, told me that a few of her clients whose weddings were planned for spring and summer 2020 have chucked their original plans for a big event and gone the mini-mony route. This is especially true of those who want to get married on the sooner side so they can start a family. But more common, as Jones and other people who work in wedding-adjacent industries told me, are the clients who are (perhaps optimistically) rescheduling their weddings for the same weekend next year. As a result, scores of weddings that were supposed to take place in 2020 have been moved to 2021, and they land on the calendar on top of the weddings that were already planned for 2021 before the coronavirus arrived.",92.5,High,Left-center
3,https://www.theatlantic.com/politics/archive/2020/05/college-students-home-coronavirus/611665/,The Atlantic,2020-05-17,['Todd S. Purdum'],Stuck at Home With My 20-Year-Old Daughter,https://cdn.theatlantic.com/thumbor/GWLXqHMnE3N54_HykvXnro2A9Po=/0x43:2000x1085/960x500/media/img/mt/2020/05/Webart_FatherDaughter/original.jpg,"But none of that masks the reality that Kate’s world has shrunk to the size of her bedroom. In a flash, the daily life of the confident, privileged young woman who’d thrived at school, haunted Broadway stage doors, mastered the New York subway, and, yes, discreetly flashed a fake ID in the bars of Morningside Heights was upended indefinitely. She and the rest of us—my wife, Dee Dee; Kate’s 16-year-old brother, Stephen; and I—have been adjusting ever since. I sat down the other day with the thoughtful, articulate 20-year-old daughter I first held when she was barely more than 20 inches long to ask what she—and, by extension, her college generation—is making of this moment.

“One of the hardest things has been going—and for better or worse—going from being independent to suddenly living in my childhood bedroom again,” Kate told me. “I would go to the dining hall or I would cook for myself, but I would be on my own to secure three meals a day. And I would do my own laundry—and wouldn’t have to do other people’s laundry!” (We’ve all taken strict lessons in sorting darks and lights—and folding—from Dee Dee, whose standards are the crisp ones of the Navy pilot’s daughter she is.) The monotony of quarantine is real, and wearying. “Partly it’s not being able to see anybody who’s not in my immediate family. You know, we all have lunch together, the four of us, almost every day, and that’s totally different from anything that would have happened at school, and it’s never even happened since I was maybe 5 years old and on summer break.”

When Kate first left for college two years ago, I’d pause in mourning every time I passed the open door of that empty bedroom. Now the door is closed, and I have to remember to tread lightly and walk on by. It’s weird for both of us. “I love you guys,” Kate said, “but sometimes I’ll be writing a paper and one of you barges in to ask for help with so-and-so, and I don’t have a space like the library to go and sit and work, just have a little more privacy. I have my own bedroom, which is really great and lucky, but if I come out of my bedroom, then suddenly it’s like I’m fair game to be engaged in conversation.”

Read: Gavin Newsom’s nation-state

One of Kate’s first acts upon returning home was to post a brightly lettered sign on the bedroom door, listing her daily class schedule, with the injunction: “Please knock/text.” Since she’s not only taking online classes, but is 3,000 miles and three time zones away from her teachers, a schedule that she’d deliberately designed to require no commitments before 11 a.m. is now radically different on the West Coast. She’s double-majoring in theater and history, and just stage-managed a student play on Facebook Live. But she’s far away from all her friends.

“Do you miss your friends?” I asked.

“What do you mean ‘Do I miss my friends?’!” she rejoined. “I think everyone misses human interaction that’s not with the people you’ve been stuck with for going on two months … I just miss having people who are going through what I’m going through. We’re all going through the same thing, but one of the hardest things for the transition has been that I’m the one who’s coming back. Everyone else in my house—you three lived here. What don’t I miss about my friends?”",92.5,High,Left-center
4,https://www.theatlantic.com/international/archive/2020/05/taiwan-china-who-coronavirus-pandemic/611737/,The Atlantic,2020-05-16,['Timothy Mclaughlin'],Is This Taiwan’s Moment?,https://cdn.theatlantic.com/thumbor/aSy0iN0Dg7qu2mlj6mIhIcDw3ZU=/0x68:2995x1628/960x500/media/img/mt/2020/05/GettyImages_505112480/original.jpg,"Viewed as a rogue province by Beijing, Taiwan—formally known as the Republic of China—is a geopolitical anomaly, an outsider gazing in longingly at the structures of the international community. This awkward position is most pronounced in its absence from the United Nations, which regards the government of the People’s Republic of China in Beijing as speaking for the island, even though it has never controlled Taiwan. This position was cemented in October 1971, when Taiwan was expelled from the UN and the seat allocated to China on the Security Council was taken over by the government of Mao Zedong. In the years since, as it has grown in clout, Beijing has used its position to block Taiwan’s efforts to participate in the global body and its organizations, including the WHO.

Taiwan’s status has led to a series of bizarre interactions involving international organizations. In the early days of the coronavirus outbreak, staff of the International Civil Aviation Organization blocked individuals on Twitter who pointed out or questioned Taiwan’s exclusion from the body. Then, in March, a WHO adviser appeared to hang up during a Skype interview with a Hong Kong reporter for RTHK when asked about Taiwan. After the clip gained substantial traction on social media and additional media coverage, the WHO said it was distorted by editing. RTHK has denied the claim.

Spurred by Taiwan’s handling of the coronavirus, however, a host of countries including the U.S., Japan, and New Zealand have called for it to be allowed to participate in the WHO and observe next week’s World Health Assembly, the group’s decision-making body. Taiwan participated as an observer at WHA meetings from 2009 to 2016 under the name Chinese Taipei, a special arrangement that was agreed to during the administration of Tsai’s more China-friendly predecessor. The more recent call for it to rejoin the talks was fiercely opposed by Beijing, which has reacted with anger at countries that have supported the island.

Read: China hawks are calling the coronavirus a ‘wake-up call’

Wu admitted it was highly unlikely that Taiwan would be able to attend the WHA meeting, which begins Monday. “The World Health Organization, especially the secretariat … seems to have very close connections with the Chinese authorities,” he told me, adding that Beijing was deploying “stunts” to keep Taiwan out. (A WHO lawyer said this week that the organization’s director-general has “no mandate” to invite Taiwan and it must be decided instead by member states. Wu called the statement “baloney.”)

Beijing’s pressure campaign has been directed not just at countries supporting Taiwan, but the island itself. A series of articles and comments from Chinese officials and think tanks have in recent days debated the merits of taking over Taiwan by force, while the world is distracted by the coronavirus. Shortly before I spoke with Wu, a U.S. warship sailed through the Taiwan Strait, which separates the island from China, the sixth such passage this year. “There are conflicting signals coming out of China,” Wu told me. “The talk-tough type of rhetoric has been on the rise, but at the same time we also see a couple of [Chinese military] leaders saying that this is not the right time to take military actions against Taiwan … What we see across the Taiwan Strait is that China is increasing its presence and military threat against Taiwan.”",92.5,High,Left-center
5,https://www.theatlantic.com/technology/archive/2020/05/how-hong-kong-beating-coronavirus/611524/,The Atlantic,2020-05-12,['Zeynep Tufekci'],How Hong Kong Did It,https://cdn.theatlantic.com/thumbor/qZhCmTmKzCGVl6uzQQsdFJO7DvA=/0x485:6608x3927/960x500/media/img/mt/2020/05/GettyImages_1211436332/original.jpg,"Derek Thompson: What’s behind South Korea’s COVID-19 exceptionalism?

The secret sauce of Hong Kong’s response was its people and, crucially, the movement that engulfed the city in 2019. Seared with the memory of SARS, and already mobilized for the past year against their unpopular government, the city’s citizens acted swiftly, collectively, and efficiently, in effect saving themselves. The organizational capacity and the civic infrastructure built by the protest movement played a central role in Hong Kong’s grassroots response.

For example, during last fall’s district-council elections, Hong Kong protesters created many resources to guide and mobilize voters in what were otherwise local elections of little consequence, but that had become symbolically important in the middle of the protest wave. One key initiative was websites that provided information on candidates so voters could easily figure out who was pro-government and who was not—not always easy when the candidates were supposed to be discussing garbage collection, not Beijing’s attempts to limit Hong Kong’s constitutional protections. On the very day the first known coronavirus case in Hong Kong was announced, the same protest team behind the candidate information sites immediately created a new website—this time to track cases of COVID-19, monitor hot spots, warn people of places selling fake PPE, and report hospital wait times and other relevant information.

Anthony Kwan / Getty

Many of the key information sources for Hong Kong protesters had been anonymous channels in the popular app Telegram and their own online forums. These anonymous formats protected the protesters from government repression but created a constant threat of misinformation, as someone could always pretend to be a protester or just be wrong or trolling. Consequently, the protesters learned to become incessant fact-checkers, used to looking up multiple sources and critically analyzing information. Now they turned their powers to critical analysis to the coronavirus: criticizing their own officials, as well as the World Health Organization, which did not advise wearing masks or travel restrictions, and China, which they saw as covering up the initial epidemic (they were right on all counts).

Read: Keep the parks open

In response to the crisis, Hong Kongers spontaneously adopted near-universal masking on their own, defying the government’s ban on masks. When Lam oscillated between not wearing a mask in public and wearing one but incorrectly, they blasted her online and mocked her incorrect mask wearing. In response to the mask shortage, the foot soldiers of the protest movement set up mask brigades—acquiring and distributing masks, especially to the poor and elderly, who may not be able to spend hours in lines. An “army of volunteers” also spread among the intensely crowded and often decrepit tenement buildings to install and keep filled hand-sanitizer dispensers. During the protest movement, I had become accustomed to seeing shared digital maps that kept track of police blockades and clashes; now digital maps kept track of outbreaks and hand-sanitizer distribution.",92.5,High,Left-center
6,https://www.theatlantic.com/science/archive/2020/05/covid-19-kids/611728/,The Atlantic,2020-05-15,['Sarah Zhang'],Why the Coronavirus Hits Kids and Adults So Differently,https://cdn.theatlantic.com/thumbor/qnFkXMPYTE7lfIC6Ck9F1jJNfoY=/0x60:2000x1102/960x500/media/img/mt/2020/05/Webart_CovidKids_Adults/original.jpg,"Read: How the coronavirus is influencing children’s play

But the virus is the same, whether it infects adult or child. The question is, why does COVID-19 affect them so differently? Both striking patterns in kids—the fact that most do not get very sick but a small number still end up with a delayed inflammation syndrome—may be rooted in a child’s still-developing immune system. And although COVID-19 is a new disease, these patterns are seen with other viruses too.

Immune systems change with age, becoming weaker or stronger in different ways. An adult’s body might be better armed against familiar threats, but more inflexible against novel ones. The two human viruses most closely related to the coronavirus that causes COVID-19 are the ones behind SARS and MERS—both also coronaviruses, a large family that infects many animal species. SARS likely jumped from bats to civet cats to humans in 2002, and MERS from camels to humans in 2012. Both have a much higher fatality rate than COVID-19 and neither exploded into a pandemic on the current scale, giving us smaller numbers from which to draw conclusions. Still, they too seemed to have largely spared children.

Like COVID-19, SARS and MERS were caused by viruses entirely new to humans, and adult immune systems are unused to dealing with entirely new viruses. By and large, the ones that sicken adults year after year are altered versions of viruses they’ve encountered before, such as seasonal flu. Children, on the other hand, are constantly dealing with viruses that are not necessarily novel but are novel to them. “Everything an infant sees, or a young child sees, is new,” says Donna Farber, an immunologist at Columbia University. Thus, their immune system is primed to fight new pathogens in a number of ways.

Babies are born, for example, with a complete repertoire of immune cells called T cells. Every T cell has a unique receptor, and taken together, the pool of millions of T cells can recognize virtually any hypothetical pathogen. As the child begins encountering pathogens, though, their immune system winnows this diverse repertoire. It keeps the T cells involved in fighting off pathogens as a pre-stocked arsenal of “memory T cells,” should those pathogens appear again, but it begins losing the others. This is why adults are able to mount a rapid immune response to previously encountered pathogens, but also why they might have trouble fighting a new one. Diseases such as rubella and chicken pox are also, for various reasons, more severe in adults than in children. The pattern with seasonal flu is different, Farber says, but that may be because immunity against previous strains of the flu offer some crossover protection in adults.

The same may actually be true for coronaviruses, too, only in children. Another hypothesis for why most kids are spared is that they are frequently infected with the four coronaviruses that cause some common colds. These cold coronaviruses are not as closely related to COVID-19 as SARS or MERS, but they still share some similarities. Immunity against these cold coronaviruses wanes over time, so children who have been recently exposed might have some protection that adults don’t.",92.5,High,Left-center
7,https://www.theatlantic.com/business/archive/2020/05/fired-zoom-layoffs-coronavirus/611509/,The Atlantic,2020-05-12,['Deborah Copaken'],I Got Fired Over Zoom,https://cdn.theatlantic.com/thumbor/cUV6DYW5gaVwlBVLQO-65HCOlTU=/0x43:2000x1085/960x500/media/img/mt/2020/05/zoomfired_1/original.jpg,"I was born in 1966. I shouldn’t admit this, because age discrimination for older women searching for work, as I now am, is real. This makes me, at 54, one of the oldest of the Gen Xers. Like many in my generation, I have spent the past 32 years hopping over the Frogger logs of an unforgiving gig economy. The sociologist Allison Pugh has dubbed this the “tumbleweed society,” in which “job insecurity is rampant and widely seen as inevitable.” If COVID-19 can be said to have any upsides, it is that its devastating economic ravages have finally unmasked the truth of late-stage American capitalism: It is a system in which every worker is as expendable as every shareholder is sacrosanct.

At 3 p.m., having regained my composure, I clicked on the Zoom link. A Doom link, I thought, as my image appeared vertically between the CEO’s and our head of HR’s. In Brady Bunch terms, I’d be Alice, my boss would be Carol, and our head of HR would be Mike.

Read: Notes from a videochat memorial

“I’m so sorry,” my boss said. Her eyes watered anew. She had made this same call several times over the course of that day: seven times out of a staff of 44, so a 16 percent reduction in headcount. Many of us let go that day were among the higher earners, meaning our loss would allow more runway for the company than if they’d dismissed those earning less. In the end, with venture-capital belts tightening and deals falling through left and right because of the virus, the company’s survival was all about runway. I understood this, even if it pained me to accept it.

“I’m so sorry, too,” I said, choking back my own tears. “But this is an unprecedented time, and I get it. Are you okay? I’m worried about you.”

Hyper-empathy, my last shrink once labeled this propensity of mine to avoid my own pain by over-identifying with the pain of others: a trait that is simultaneously both self-protective and self-destructive. Were we not in a pandemic, I might have fought harder. Been angrier. Demanded more severance. Then again, were the economy not evaporating, I would not have been laid off. I had to keep reminding myself of this fact. Plus I was being offered the chance to keep working on a contract basis, with reduced hours, so I am in better shape than most. “When this pandemic is over, do you imagine me coming back as a full-time employee?” I asked.

Absolutely, my boss said. Her pained expression was hurting me. In fact, being fired over Zoom, without the normal visual cues and eye contact of in-person communication, only magnified the surreality of the moment. I found the whole experience of managing the disembodied pain of others emotionally draining. “Zoom fatigue,” it’s been dubbed, this simulacrum of human interaction in which we’re all now living. Had the three of us been sitting in a room in person while I was getting fired, instead of floating along as lifeless pixels on a screen, the pain I knew each of us was feeling in that moment—yes, even our head of HR, who spoke touching words about my work and value—might have seemed equally shared. Instead it felt as if I was taking it all on myself.",92.5,High,Left-center
8,https://www.theatlantic.com/business/archive/2020/02/coronavirus-stock-market/607216/,The Atlantic,2020-02-28,['Joe Pinsker'],How to Think About the Plummeting Stock Market,https://cdn.theatlantic.com/thumbor/jiXJ-My4-GrZqTTHSWCptHn-1Ek=/0x0:2000x1042/960x500/media/img/mt/2020/02/CoronaAndStocks/original.jpg,"What investors think the public is thinking is therefore crucial. Whether the costs of the outbreak turn out to be historically large or not, there is a risk that investors’ worries will snowball during this period of uncertainty, leading them to panic-sell and exacerbate any financial damage. “If in the next 20 years [the economy is] only going to be disrupted for three months, that suggests a very small impact on the market,” says Robert J. Shiller, a Nobel Prize–winning economist and the author of Narrative Economics: How Stories Go Viral and Drive Major Economic Events. But the situation could be much worse, and when investors think in “grandiose terms,” Shiller told me, that could “trigger other worrying.”

Predicting the emotional reactions of the entire world population to coronavirus would be a bit easier if investors could turn to the market effects of previous pandemics for guidance. But history provides few indications of what might happen to the economy if the coronavirus and COVID-19, the disease it causes, continue to spread. “This is kind of a new thing,” Shiller said. “It’s too much to ask for the market to get it right.”

The closest analogue is the global influenza outbreak of 1918 and ’19, which killed tens of millions of people. In 1918, the stock market actually did fine—the Dow rose a little. In the years after that, Sylla noted, “the stock market didn’t do much, and while its trend was flat, there were fluctuations within that—some ups and downs, just like we see now.”

But drawing any conclusions from 100 years ago is difficult because, among other reasons, a lot of other stuff was happening then—namely, World War I. Because of that, says John Wald, a professor at the University of Texas at San Antonio’s College of Business, “it’s really hard to say whether [the 1918 pandemic] was priced correctly or not correctly” by the market.

Perhaps a better parallel is the flu pandemic of 1957 and ’58, which originated in East Asia and killed at least 1 million people, including an estimated 116,000 in the U.S. In the second half of 1957, the Dow fell about 15 percent. “Other things happened over that time period” too, Wald notes, but “at least there was no world war.” More recent outbreaks, such as SARS and MERS, were more contained and didn’t wreak as much global economic havoc.

Although the annual flu season is quite different from a pandemic, it does provide a good amount of data for economists to analyze. When Wald, along with the researchers Brian McTier and Yiuman Tse, examined trading records from 1998 to 2006, they found that in weeks when the flu was more widespread, stock-market returns were lower. They also found that when there was a higher incidence of the flu in the greater New York City area in particular, trading volume decreased, which is usually bad for the market. Here, the idea is that more professional investors might have gotten sick and executed fewer trades—which would not bode well if COVID-19 were to make its way to New York City.",92.5,High,Left-center
9,https://www.theatlantic.com/health/archive/2020/05/cdc-publishing-covid-19-test-data/611764/,The Atlantic,2020-05-17,"['Robinson Meyer', 'Alexis C. Madrigal']",State and Federal Data on COVID-19 Testing Don’t Match Up,https://cdn.theatlantic.com/thumbor/YJqAToxWFil-T7VRvdezvY_MwcQ=/0x43:2000x1085/960x500/media/img/mt/2020/05/0520_RobAlexis_Katie_StateData/original.jpg,"The data sets have one known major difference: Some states report the total number of people tested, while the CDC reports every test, even if a single person is tested more than once. A spokesperson for Indiana’s public health department pointed to this difference to explain the state’s test gap. But our analysis suggests this—or any other methodological factor—does not fully explain the widespread discrepancies. Caitlin Rivers, an epidemiologist at the Johns Hopkins University Center for Health Security, told us that one possible explanation is that the CDC could be overreporting testing totals in some states if it is including antibody-test results, which don’t track real-time infections, and underreporting in other states because of delays in paperwork. But the differences seem to be so widespread that they are unlikely to arise from a single discrepancy in how certain kinds of tests are reported. At their current rate of growth, Florida’s state-reported testing numbers would not match the CDC’s current totals for another two weeks.

“This is more evidence of the dysfunction of the CDC,” Jha said. “There is not supposed to be a lot of daylight between the CDC and the states.” Jha has previously criticized the CDC for being “inexplicably absent” during the coronavirus pandemic.

Some of the mismatch between states and the CDC could be explained by the federal government’s unusual manner of collecting testing data. Generally, disease-surveillance data flow from local public-health departments to state governments, and then on to the federal government. But in April, Vice President Mike Pence asked hospitals to start reporting their COVID-19 testing data directly to the federal government. In an email, a CDC spokesperson confirmed that the new website reflected test data from more sources than just states, saying it came from hospitals, private medical-testing companies, and state and local public-health labs.

Yascha Mounk: No testing, no treatment, no herd immunity, no easy way out

The data that Pence requested fed into a piece of software called HHS Protect, which was meant to serve as a clearinghouse of coronavirus data for the Trump administration, according to a spokesperson for the Department of Health and Human Services. HHS Protect was developed by the defense contractor Palantir. The company declined to comment on the record.

It’s unclear exactly when the CDC site first appeared. A CDC spokesperson told us that it went live on May 7, but the first Internet Archive cache of the page is dated May 9. The CDC did not announce the existence of the page in any statement, social-media post, or press conference.

In many of the counts the CDC did provide over the past several months, it missed the large majority of tests. In early May, the CDC reported that only about half a million tests had been conducted in the U.S. But the COVID Tracking Project had tallied the results of more than 7.5 million tests reported by states by then. In late April, the White House used the COVID Tracking Project’s data in a major report on national testing strategy. It cited the data again earlier this week in a press conference.

The CDC should provide the country with a single, trustworthy data source on the state of COVID-19 testing. But the fact that its data are still in such disagreement with the state-reported totals means that the CDC’s latest efforts are not of much use to politicians and the public. For now, the agency that should be a respected source of truth in this crisis is only adding to the national confusion.

We want to hear what you think about this article. Submit a letter to the editor or write to letters@theatlantic.com.",92.5,High,Left-center
