news_id,url,publisher,publish_date,author,title,image,body_text,news_guard_score,mbfc_level,political_bias
0,https://www.detroitnews.com/story/news/nation/coronavirus/2020/03/17/map-tracking-michigan-coronavirus-cases-covid-19/5070633002/,The Detroit News,2020-03-17,[],Map: Tracking Michigan's coronavirus cases,"https://www.gannett-cdn.com/presto/2020/04/20/PDTN/2389f9f4-8862-41f6-ad87-035ed51c22a5-cases.jpg?crop=1246,701,x1,y49&width=1600&height=800&fit=bounds","For complete coverage of the COVID-19 outbreak, go to detroitnews.com/news/nation-world/coronavirus.

NOTE: Use the zoom controls in the upper left corner of the map to zoom in and out. You may also click-and-drag (on a computer) or tap-and-drag (on a phone) the map to move your counties of interest into view if you can't see them. Use the button below the zoom tools to expand the map to full-screen.

State officials continue to recommend Michigan residents take the following steps to prevent the spread of the virus:

Wash your hands often with soap and warm water for 20 seconds

Avoid touching your eyes, nose, or mouth with unwashed hands

Cover your mouth and nose with a tissue or upper sleeve when coughing or sneezing

Avoid contact with people who are sick

If you are sick, stay home, and avoid contact with others

Replace handshakes with elbow bumps

Stay at least 6 feet away from others when in a public setting

Read or Share this story: https://www.detroitnews.com/story/news/nation/coronavirus/2020/03/17/map-tracking-michigan-coronavirus-cases-covid-19/5070633002/",92.5,High,Right-center
1,https://www.detroitnews.com/picture-gallery/news/nation/coronavirus/2020/05/19/boulder-ridge-wild-animal-park-reopens/5218082002/,The Detroit News,2020-05-19,[''],Boulder Ridge Wild Animal Park reopens,https://www.gannett-cdn.com/presto/2020/05/18/PDTN/384a8cb9-9253-4390-a2b2-aebc2cf3da14-0O2A0831.jpg?crop=5471%2C3078%2Cx0%2Cy278&width=1200,"Judge orders Oakland Co. Jail to submit list of inmates for release consideration

The sheriff's office must offer a position on whether a medically vulnerable person should be released on bond; an explanation why not, if the answer is no; and on what conditions it believes release should be granted, if the answer is yes

Oakland County",92.5,High,Right-center
2,https://www.detroitnews.com/story/news/nation/2020/05/22/godfather-grass-seeks-prison-release-coronavirus-concerns/111847066/,The Detroit News,2020-05-22,[''],‘Godfather of Grass’ seeks prison release over virus concern,"https://www.gannett-cdn.com/presto/2020/05/22/PDTN/76e0c047-fbc2-4e0f-a447-dbfe99b85a1a-AP101117112256.jpg?crop=3017,1697,x0,y588&width=1600&height=800&fit=bounds","Lisbon, Ohio – The “Godfather of Grass,” who was sentenced for his role in a large marijuana operation after eight years on the run, has asked a judge to release him from a federal prison in Ohio that has seen nine coronavirus deaths.

John Robert “Johnny” Boone vouched for his release on the grounds that he is 76, in poor health and has served most of his 57-month prison sentence, The Courier Journal reported Thursday. Elmer George, his lawyer, added Boone has a history of illnesses and called his continued imprisonment life-threatening.

In this Nov. 17, 2010 photo, former mayor of Raywick, Ky., Charlie Bickett talks about his friend, fugitive marijuana farmer John Robert Boone in Raywick, Ky. (Photo: Brett Barrouquere, AP)

About 137 inmates and eight prison employees have tested positive for the novel coronavirus at the Federal Correctional Institution at Elkton, where Boone is serving out his prison sentence. Another 63 inmates and 44 prison employees have recovered after testing positive for the virus, the Courier Journal reported.

The U.S. Bureau of Prisons has so far released only five of the 837 Elkton inmates identified as medically vulnerable to home confinement, a move that drew rebuke from a federal judge in Cleveland this week. The American Civil Liberties Union has also sued the Bureau of Prisons over the issue.

Boone, who had called himself “Charles Grass,” fled to Canada after a 2008 indictment on federal drug charges in Kentucky and spent eight years on the loose until his capture in late 2016. He was sentenced in 2018 after pleading guilty to one count of conspiring to possess, grow and distribute more than 1,000 marijuana plants at an operation near Springfield, Kentucky.

Boone was convicted in the 1980s and spent a decade in prison for what prosecutors called a massive marijuana syndicate. They said he was head of a multistate marijuana operation known as the “Cornbread Mafia,” which had 29 farms in several states.

He was featured on the TV show “America’s Most Wanted,” spurring a Facebook page called Run, Johnny, Run.

Read or Share this story: https://www.detroitnews.com/story/news/nation/2020/05/22/godfather-grass-seeks-prison-release-coronavirus-concerns/111847066/",92.5,High,Right-center
3,https://www.detroitnews.com/story/news/nation/2020/05/22/nasa-spacex-home-launch-florida-spectators-coronavirus/111846786/,The Detroit News,2020-05-22,['Mike Schneider'],Will virus keep Florida spectators from astronaut launch?,"https://www.gannett-cdn.com/presto/2020/05/22/PDTN/b94db2a7-c20f-4171-9a4c-17afd061642b-AP20142725637086.jpg?crop=1999,1124,x1,y0&width=1600&height=800&fit=bounds","Orlando, Fla. – In ordinary times, the beaches and roads along Florida’s Space Coast would be packed with hundreds of thousands of spectators, eager to witness the first astronaut launch from Florida in nine years.

In the age of coronavirus, local officials and NASA are split on whether that’s a good idea.

NASA and SpaceX are urging spectators to stay at home next Wednesday for safety reasons. Officials in Brevard County, home to the Kennedy Space Center, are rolling out the welcome mat in an effort to jump-start a tourism industry hit hard this spring by coronavirus-related lockdowns.

In this Friday, July 8, 2011 file photo, crowds gather in the surf and on the beach in Cocoa Beach, Fla., to watch the launch of the space shuttle Atlantis on STS-135. It was the final U.S. shuttle mission before the fleet was retired. (Photo: Dave Martin, AP)

If people are comfortable coming and watching the launch, “by all means, come. If they aren’t, I respect that too,” said Brevard County Sheriff Wayne Ivey.

“I’m not going to tell Americans they can’t watch a great piece of history. I’m just not going to do it,” he said.

The sheriff said he is asking visitors to practice social distancing as they watch the launch of astronauts Doug Hurley and Bob Behnken on a test flight of SpaceX’s Dragon crew capsule. Liftoff is set for 4:33 p.m. EDT.

Around 85 reserve deputies will be on hand to monitor crowds and ask people to comply with social distancing if they are in groups. A local chain of beach shops is distributing 20,000 masks to spectators in coordination with the sheriff’s office, Ivey said.

The sheriff, who grew up in Florida watching launches, wants a new generation to be able to experience the energy, excitement and feelings of patriotism that comes from watching a U.S. launch with astronauts.

“NASA is a true part of our history in Brevard County,” Ivey said.

Earlier this month, NASA Administrator Jim Bridenstine asked potential spectators to watch the launch online or on TV from home. The space agency is also offering a “virtual launch experience.”

NASA is doing its best to facilitate social distancing inside the Kennedy Space Center by limiting access, although it may be hosting two VIPS. Vice President Mike Pence says he plans to be there, and President Donald Trump said he’s thinking of attending.

The visitor center at Kennedy, usually a prime spot for viewing launches, is closed to the public.

NASA astronauts have not launched from the U.S. since the space shuttle program ended in 2011. It will be the first attempt by a private company to fly astronauts to orbit for the space agency.

“The challenge that we’re up against right now is we want to keep everybody safe,” Bridenstine said. “And so we’re asking people not to travel to the Kennedy Space Center, and I will tell you that makes me sad to even say it. Boy, I wish we could make this into something really spectacular.”.

Although crowd sizes varied, a high-profile space shuttle launch could attract a half million visitors to the Space Coast. Local tourism officials think next week’s launch will bring in no more than 200,000 spectators.

With airline passenger traffic drastically down and nearby Orlando theme parks closed because of the pandemic, “we’re not going to be getting the out-of-state traffic we may have gotten during the shuttle era,” said Peter Cranis, executive director of the Space Coast Office of Tourism.

“The environment is different with COVID and people now reemerging from stay-at-home orders,” Cranis said. “There are going to be a number of people who are hesitant.”

The Space Coast’s tourism business is down by about 40% for the year, and that could cost the area $1 billion, he said.

“A launch like this after a big long weekend could really give us a shot in the arm,” Cranis said.

Local hoteliers are looking forward to the influx of visitors after two bad months. Tom Williamson, who is general manager of two hotels on the Space Coast, each with 150 rooms or more, said one hotel was closed and the other only had 15% occupancy in April. He expects both hotels to be at or near capacity on the night of the launch.

“We’re glad to seem some signs of life,” Williamson said.

In this April 11, 1970 file photo, crowds watch the lift-off of the Saturn V rocket carrying the Apollo 13 spacecraft on its mission to the moon from Cape Kennedy, Fla. (Photo: AP)

Steven Giraldo works as a technical consultant for a software company in St. Petersburg, Florida, but he has a side gig with some space-buff friends offering charter boat tours for watching launches. For next week’s SpaceX launch, he had booked around 150 people from as far away as Australia for $75 a head on a fleet of boats. He ended up scrapping those plans.

“It would take too much logistical effort to see if everyone is wearing a mask, making sure no one has a fever, and how to you social distance on a boat?” Giraldo said.

Instead, he plans to watch the launch with seven other friends, some from Arizona and Indiana, in a boat on the Banana River.

“This was going to be our biggest event. The historical significance of it created a lot of buzz,” Giraldo said. “But I just don’t know how we could have done it.”

Read or Share this story: https://www.detroitnews.com/story/news/nation/2020/05/22/nasa-spacex-home-launch-florida-spectators-coronavirus/111846786/",92.5,High,Right-center
4,https://cm.detroitnews.com/story/news/nation/coronavirus/2020/03/17/map-tracking-michigan-coronavirus-cases-covid-19/5070633002/,https://cm.detroitnews.com,2020-03-17,[''],,,"Orlando, Fla. – In ordinary times, the beaches and roads along Florida’s Space Coast would be packed with hundreds of thousands of spectators, eager to witness the first astronaut launch from Florida in nine years.

In the age of coronavirus, local officials and NASA are split on whether that’s a good idea.

NASA and SpaceX are urging spectators to stay at home next Wednesday for safety reasons. Officials in Brevard County, home to the Kennedy Space Center, are rolling out the welcome mat in an effort to jump-start a tourism industry hit hard this spring by coronavirus-related lockdowns.

In this Friday, July 8, 2011 file photo, crowds gather in the surf and on the beach in Cocoa Beach, Fla., to watch the launch of the space shuttle Atlantis on STS-135. It was the final U.S. shuttle mission before the fleet was retired. (Photo: Dave Martin, AP)

If people are comfortable coming and watching the launch, “by all means, come. If they aren’t, I respect that too,” said Brevard County Sheriff Wayne Ivey.

“I’m not going to tell Americans they can’t watch a great piece of history. I’m just not going to do it,” he said.

The sheriff said he is asking visitors to practice social distancing as they watch the launch of astronauts Doug Hurley and Bob Behnken on a test flight of SpaceX’s Dragon crew capsule. Liftoff is set for 4:33 p.m. EDT.

Around 85 reserve deputies will be on hand to monitor crowds and ask people to comply with social distancing if they are in groups. A local chain of beach shops is distributing 20,000 masks to spectators in coordination with the sheriff’s office, Ivey said.

The sheriff, who grew up in Florida watching launches, wants a new generation to be able to experience the energy, excitement and feelings of patriotism that comes from watching a U.S. launch with astronauts.

“NASA is a true part of our history in Brevard County,” Ivey said.

Earlier this month, NASA Administrator Jim Bridenstine asked potential spectators to watch the launch online or on TV from home. The space agency is also offering a “virtual launch experience.”

NASA is doing its best to facilitate social distancing inside the Kennedy Space Center by limiting access, although it may be hosting two VIPS. Vice President Mike Pence says he plans to be there, and President Donald Trump said he’s thinking of attending.

The visitor center at Kennedy, usually a prime spot for viewing launches, is closed to the public.

NASA astronauts have not launched from the U.S. since the space shuttle program ended in 2011. It will be the first attempt by a private company to fly astronauts to orbit for the space agency.

“The challenge that we’re up against right now is we want to keep everybody safe,” Bridenstine said. “And so we’re asking people not to travel to the Kennedy Space Center, and I will tell you that makes me sad to even say it. Boy, I wish we could make this into something really spectacular.”.

Although crowd sizes varied, a high-profile space shuttle launch could attract a half million visitors to the Space Coast. Local tourism officials think next week’s launch will bring in no more than 200,000 spectators.

With airline passenger traffic drastically down and nearby Orlando theme parks closed because of the pandemic, “we’re not going to be getting the out-of-state traffic we may have gotten during the shuttle era,” said Peter Cranis, executive director of the Space Coast Office of Tourism.

“The environment is different with COVID and people now reemerging from stay-at-home orders,” Cranis said. “There are going to be a number of people who are hesitant.”

The Space Coast’s tourism business is down by about 40% for the year, and that could cost the area $1 billion, he said.

“A launch like this after a big long weekend could really give us a shot in the arm,” Cranis said.

Local hoteliers are looking forward to the influx of visitors after two bad months. Tom Williamson, who is general manager of two hotels on the Space Coast, each with 150 rooms or more, said one hotel was closed and the other only had 15% occupancy in April. He expects both hotels to be at or near capacity on the night of the launch.

“We’re glad to seem some signs of life,” Williamson said.

In this April 11, 1970 file photo, crowds watch the lift-off of the Saturn V rocket carrying the Apollo 13 spacecraft on its mission to the moon from Cape Kennedy, Fla. (Photo: AP)

Steven Giraldo works as a technical consultant for a software company in St. Petersburg, Florida, but he has a side gig with some space-buff friends offering charter boat tours for watching launches. For next week’s SpaceX launch, he had booked around 150 people from as far away as Australia for $75 a head on a fleet of boats. He ended up scrapping those plans.

“It would take too much logistical effort to see if everyone is wearing a mask, making sure no one has a fever, and how to you social distance on a boat?” Giraldo said.

Instead, he plans to watch the launch with seven other friends, some from Arizona and Indiana, in a boat on the Banana River.

“This was going to be our biggest event. The historical significance of it created a lot of buzz,” Giraldo said. “But I just don’t know how we could have done it.”

Read or Share this story: https://www.detroitnews.com/story/news/nation/2020/05/22/nasa-spacex-home-launch-florida-spectators-coronavirus/111846786/",92.5,High,Right-center
5,https://www.detroitnews.com/picture-gallery/news/local/detroit-city/2020/05/19/first-public-mass-since-covid-19-lockdown/5222421002/,The Detroit News,2020-05-19,[''],First public mass since COVID-19 lockdown,https://www.gannett-cdn.com/presto/2020/05/19/PDTN/304e7988-c75d-4f9b-81df-4d0e0d4083f3-051920-tm-Mass-0170.jpg?crop=5818%2C3273%2Cx0%2Cy144&width=1200,"Orlando, Fla. – In ordinary times, the beaches and roads along Florida’s Space Coast would be packed with hundreds of thousands of spectators, eager to witness the first astronaut launch from Florida in nine years.

In the age of coronavirus, local officials and NASA are split on whether that’s a good idea.

NASA and SpaceX are urging spectators to stay at home next Wednesday for safety reasons. Officials in Brevard County, home to the Kennedy Space Center, are rolling out the welcome mat in an effort to jump-start a tourism industry hit hard this spring by coronavirus-related lockdowns.

In this Friday, July 8, 2011 file photo, crowds gather in the surf and on the beach in Cocoa Beach, Fla., to watch the launch of the space shuttle Atlantis on STS-135. It was the final U.S. shuttle mission before the fleet was retired. (Photo: Dave Martin, AP)

If people are comfortable coming and watching the launch, “by all means, come. If they aren’t, I respect that too,” said Brevard County Sheriff Wayne Ivey.

“I’m not going to tell Americans they can’t watch a great piece of history. I’m just not going to do it,” he said.

The sheriff said he is asking visitors to practice social distancing as they watch the launch of astronauts Doug Hurley and Bob Behnken on a test flight of SpaceX’s Dragon crew capsule. Liftoff is set for 4:33 p.m. EDT.

Around 85 reserve deputies will be on hand to monitor crowds and ask people to comply with social distancing if they are in groups. A local chain of beach shops is distributing 20,000 masks to spectators in coordination with the sheriff’s office, Ivey said.

The sheriff, who grew up in Florida watching launches, wants a new generation to be able to experience the energy, excitement and feelings of patriotism that comes from watching a U.S. launch with astronauts.

“NASA is a true part of our history in Brevard County,” Ivey said.

Earlier this month, NASA Administrator Jim Bridenstine asked potential spectators to watch the launch online or on TV from home. The space agency is also offering a “virtual launch experience.”

NASA is doing its best to facilitate social distancing inside the Kennedy Space Center by limiting access, although it may be hosting two VIPS. Vice President Mike Pence says he plans to be there, and President Donald Trump said he’s thinking of attending.

The visitor center at Kennedy, usually a prime spot for viewing launches, is closed to the public.

NASA astronauts have not launched from the U.S. since the space shuttle program ended in 2011. It will be the first attempt by a private company to fly astronauts to orbit for the space agency.

“The challenge that we’re up against right now is we want to keep everybody safe,” Bridenstine said. “And so we’re asking people not to travel to the Kennedy Space Center, and I will tell you that makes me sad to even say it. Boy, I wish we could make this into something really spectacular.”.

Although crowd sizes varied, a high-profile space shuttle launch could attract a half million visitors to the Space Coast. Local tourism officials think next week’s launch will bring in no more than 200,000 spectators.

With airline passenger traffic drastically down and nearby Orlando theme parks closed because of the pandemic, “we’re not going to be getting the out-of-state traffic we may have gotten during the shuttle era,” said Peter Cranis, executive director of the Space Coast Office of Tourism.

“The environment is different with COVID and people now reemerging from stay-at-home orders,” Cranis said. “There are going to be a number of people who are hesitant.”

The Space Coast’s tourism business is down by about 40% for the year, and that could cost the area $1 billion, he said.

“A launch like this after a big long weekend could really give us a shot in the arm,” Cranis said.

Local hoteliers are looking forward to the influx of visitors after two bad months. Tom Williamson, who is general manager of two hotels on the Space Coast, each with 150 rooms or more, said one hotel was closed and the other only had 15% occupancy in April. He expects both hotels to be at or near capacity on the night of the launch.

“We’re glad to seem some signs of life,” Williamson said.

In this April 11, 1970 file photo, crowds watch the lift-off of the Saturn V rocket carrying the Apollo 13 spacecraft on its mission to the moon from Cape Kennedy, Fla. (Photo: AP)

Steven Giraldo works as a technical consultant for a software company in St. Petersburg, Florida, but he has a side gig with some space-buff friends offering charter boat tours for watching launches. For next week’s SpaceX launch, he had booked around 150 people from as far away as Australia for $75 a head on a fleet of boats. He ended up scrapping those plans.

“It would take too much logistical effort to see if everyone is wearing a mask, making sure no one has a fever, and how to you social distance on a boat?” Giraldo said.

Instead, he plans to watch the launch with seven other friends, some from Arizona and Indiana, in a boat on the Banana River.

“This was going to be our biggest event. The historical significance of it created a lot of buzz,” Giraldo said. “But I just don’t know how we could have done it.”

Read or Share this story: https://www.detroitnews.com/story/news/nation/2020/05/22/nasa-spacex-home-launch-florida-spectators-coronavirus/111846786/",92.5,High,Right-center
6,https://www.detroitnews.com/picture-gallery/news/nation/coronavirus/2020/03/19/coronavirus-covid-19-worldwide/2871061001/,The Detroit News,2020-03-19,[''],Worldwide coronavirus pandemic,https://www.gannett-cdn.com/presto/2020/05/21/PDTN/dd874b1b-4d93-4644-85ee-08d8c23f3d2c-Brazil.JPG?crop=5522%2C3106%2Cx132%2Cy301&width=1200,"Orlando, Fla. – In ordinary times, the beaches and roads along Florida’s Space Coast would be packed with hundreds of thousands of spectators, eager to witness the first astronaut launch from Florida in nine years.

In the age of coronavirus, local officials and NASA are split on whether that’s a good idea.

NASA and SpaceX are urging spectators to stay at home next Wednesday for safety reasons. Officials in Brevard County, home to the Kennedy Space Center, are rolling out the welcome mat in an effort to jump-start a tourism industry hit hard this spring by coronavirus-related lockdowns.

In this Friday, July 8, 2011 file photo, crowds gather in the surf and on the beach in Cocoa Beach, Fla., to watch the launch of the space shuttle Atlantis on STS-135. It was the final U.S. shuttle mission before the fleet was retired. (Photo: Dave Martin, AP)

If people are comfortable coming and watching the launch, “by all means, come. If they aren’t, I respect that too,” said Brevard County Sheriff Wayne Ivey.

“I’m not going to tell Americans they can’t watch a great piece of history. I’m just not going to do it,” he said.

The sheriff said he is asking visitors to practice social distancing as they watch the launch of astronauts Doug Hurley and Bob Behnken on a test flight of SpaceX’s Dragon crew capsule. Liftoff is set for 4:33 p.m. EDT.

Around 85 reserve deputies will be on hand to monitor crowds and ask people to comply with social distancing if they are in groups. A local chain of beach shops is distributing 20,000 masks to spectators in coordination with the sheriff’s office, Ivey said.

The sheriff, who grew up in Florida watching launches, wants a new generation to be able to experience the energy, excitement and feelings of patriotism that comes from watching a U.S. launch with astronauts.

“NASA is a true part of our history in Brevard County,” Ivey said.

Earlier this month, NASA Administrator Jim Bridenstine asked potential spectators to watch the launch online or on TV from home. The space agency is also offering a “virtual launch experience.”

NASA is doing its best to facilitate social distancing inside the Kennedy Space Center by limiting access, although it may be hosting two VIPS. Vice President Mike Pence says he plans to be there, and President Donald Trump said he’s thinking of attending.

The visitor center at Kennedy, usually a prime spot for viewing launches, is closed to the public.

NASA astronauts have not launched from the U.S. since the space shuttle program ended in 2011. It will be the first attempt by a private company to fly astronauts to orbit for the space agency.

“The challenge that we’re up against right now is we want to keep everybody safe,” Bridenstine said. “And so we’re asking people not to travel to the Kennedy Space Center, and I will tell you that makes me sad to even say it. Boy, I wish we could make this into something really spectacular.”.

Although crowd sizes varied, a high-profile space shuttle launch could attract a half million visitors to the Space Coast. Local tourism officials think next week’s launch will bring in no more than 200,000 spectators.

With airline passenger traffic drastically down and nearby Orlando theme parks closed because of the pandemic, “we’re not going to be getting the out-of-state traffic we may have gotten during the shuttle era,” said Peter Cranis, executive director of the Space Coast Office of Tourism.

“The environment is different with COVID and people now reemerging from stay-at-home orders,” Cranis said. “There are going to be a number of people who are hesitant.”

The Space Coast’s tourism business is down by about 40% for the year, and that could cost the area $1 billion, he said.

“A launch like this after a big long weekend could really give us a shot in the arm,” Cranis said.

Local hoteliers are looking forward to the influx of visitors after two bad months. Tom Williamson, who is general manager of two hotels on the Space Coast, each with 150 rooms or more, said one hotel was closed and the other only had 15% occupancy in April. He expects both hotels to be at or near capacity on the night of the launch.

“We’re glad to seem some signs of life,” Williamson said.

In this April 11, 1970 file photo, crowds watch the lift-off of the Saturn V rocket carrying the Apollo 13 spacecraft on its mission to the moon from Cape Kennedy, Fla. (Photo: AP)

Steven Giraldo works as a technical consultant for a software company in St. Petersburg, Florida, but he has a side gig with some space-buff friends offering charter boat tours for watching launches. For next week’s SpaceX launch, he had booked around 150 people from as far away as Australia for $75 a head on a fleet of boats. He ended up scrapping those plans.

“It would take too much logistical effort to see if everyone is wearing a mask, making sure no one has a fever, and how to you social distance on a boat?” Giraldo said.

Instead, he plans to watch the launch with seven other friends, some from Arizona and Indiana, in a boat on the Banana River.

“This was going to be our biggest event. The historical significance of it created a lot of buzz,” Giraldo said. “But I just don’t know how we could have done it.”

Read or Share this story: https://www.detroitnews.com/story/news/nation/2020/05/22/nasa-spacex-home-launch-florida-spectators-coronavirus/111846786/",92.5,High,Right-center
7,https://www.detroitnews.com/story/news/local/michigan/2020/05/21/governor-gretchen-whitmer-addresses-state-coronavirus-response-midland-flooding/5235067002/,The Detroit News,2020-05-21,['Beth Leblanc'],"Whitmer allows doctor visits, auto sales by appointment, gatherings of 10 or less","https://www.gannett-cdn.com/presto/2020/04/20/PDTN/6567e806-56d6-4447-a827-d229929228b9-whitmer_420.png?crop=1359,764,x488,y146&width=1600&height=800&fit=bounds","Gov. Gretchen Whitmer announced Thursday she has lifted restrictions on retail businesses and auto dealerships across the state starting May 26, but visits must be made by appointment.

She also announced the state would lift restrictions on medical, dental and veterinary procedures deemed nonessential starting May 29.

The order will ease restrictions on gatherings, allowing for gatherings of 10 or fewer people, effective immediately.

""The data shows that Michigan is ready to phase in these sectors of our economy, but we must stay vigilant and ensure we’re doing everything we can to protect ourselves and our families from the spread of COVID-19,” Whitmer said.

Even with the lifting of some restrictions, Whitmer expects she will need to extend the stay-home order in the coming days. The extension would mean those businesses not included in the new orders — such as restaurants and gyms — would remain closed for a while longer downstate.

The extension of those restrictions will allow the state to gauge whether the loosening of other restrictions created a spike in coronavirus cases.

The Michigan Health and Hospital Association said Whitmer's announcement was a positive step for residents, who would be able to resume normal healthcare visits.

""Our member hospitals and health systems will continue to ensure that services offered adhere to strong safety, infection control and other COVID-19-related precautions,"" MHA CEO Brian Peters said in a statement. ""Hospitals are safe; please don’t delay care of any kind.""

She also urged residents ahead of Memorial Day weekend to practice proper safety protocol to prevent against a spread of the virus.

""Please remember to stay safe,"" she said. ""This virus is still present in Michigan.""

The easing comes the day before northern Michigan begins to restart restaurant and retail sales.

Whitmer and Chief Medical Executive Dr. Joneigh Khaldun urged residents to use proper safety protocol amid the lifted restrictions.

Businesses that are reopening must train workers on proper infection-control procedure and inform employees of a coronavirus case among staff.

Retail establishments also must consider curbside pick-up service to reduce traffic inside the store and decrease lines outside.

eleblanc@detroitnews.com

Read or Share this story: https://www.detroitnews.com/story/news/local/michigan/2020/05/21/governor-gretchen-whitmer-addresses-state-coronavirus-response-midland-flooding/5235067002/",92.5,High,Right-center
8,http://www.detroitnews.com/news/nation-world/coronavirus/,The Detroit News,,[''],Coronavirus crisis,https://www.gannett-cdn.com/sites/detroitnews/images/footer-logo.png,"Judge orders Oakland Co. Jail to submit list of inmates for release consideration

The sheriff's office must offer a position on whether a medically vulnerable person should be released on bond; an explanation why not, if the answer is no; and on what conditions it believes release should be granted, if the answer is yes

Oakland County",92.5,High,Right-center
9,https://www.detroitnews.com/story/life/2020/05/14/home-oasis-during-covid-19/3107929001/,The Detroit News,2020-05-14,['Maureen Feighan'],My oasis: Local designers share favorite parts of their own homes during crisis,"https://www.gannett-cdn.com/presto/2020/05/12/PDTN/070f9c57-0e43-4b1a-8213-6d1501368532-RL_concetti_home_office.JPG?crop=3167,1782,x0,y1481&width=1600&height=800&fit=bounds","Our homes are so much more than a place to eat, sleep, work and watch endless episodes of Netflix's ""Tiger King"" these days. They're an oasis.

As COVID-19 continues to reshape our way of life, our homes have become shelters -- physically and emotionally -- during these uncertain times. And when you really live and work in a space week after week, the best spots, those where you feel most at ease, are those we turn to over and over again.

In my own home, there's a leather sofa in our home office where everything else disappears. A wall of built-in bookshelves is filled with my favorite books and other accents my husband and I have collected over the years. In this space, I don't worry about laundry, dishes or uncertainty about how the world will be different going forward. I can read a book, sip a cup of tea and find peace.

Each of us has an oasis in our homes -- a reading nook, the comfy end of the sofa in the living room, or an outdoor patio.

One of interior designer Jill Schumacher's favorite spots at her Ferndale home are two lounge chairs in her backyard.

Buy Photo Interior designer Jill Schumacher's favorite part of her Ferndale home is her backyard with two patio chairs. It's where she goes to answer emails or just hang out. She calls it ""my salvation."" (Photo: Clarence Tabb Jr., The Detroit News)

""This is my salvation spot,"" said Schumacher, part of the Birmingham-based design firm, Rariden Schumacher Mio. ""As soon as the weather breaks I sit out in the yard to work on emails on my Ipad or laptop on these outrageously cozy Summer Classics chairs.""

I reached out to dozens of local interior designers to ask about their own oasis, or favorite spots of their own homes. Maybe you'll find inspiration for your own home.

A view of the courtyard

Corey Damen Jenkins is a busy interior designer with offices in Birmingham and New York but he's been at his Bloomfield Hills townhouse since mid-March.

He says if he has to have ""cabin fever"" anywhere, he's grateful it's at his place in Oakland County and not New York.

Corey Damen Jenkins of Corey Damen Jenkins & Associates said his living room in his Bloomfield Hills townhouse is one of his favorite spots. (Photo: Corey Damen Jenkins & Associates)

""My personal oasis is definitely my living room,"" he said. ""I've designed it in such a way to where it's perfect for curling up with a good book, watching Netflix or playing a board game. It features over-sized windows that overlook a lush courtyard, so I can observe nature and the Birmingham community while still 'sheltering in place' during this pandemic.""

A place to nap or read

One of interior designer Paul Feiten's favorite spots in his Bloomfield Hills home is a bedroom he converted into a sitting room. Framed pictures of flowers line the walls and there's ample room to stretch and read a magazine or take a nap. And one of the standout design elements? The floor.

""The room is very calming due to the wood floor that was painted a high gloss white with high gloss white solid wallpaper,"" said Feiten of Paul Feiten Designs. ""I thought schools paint red and white and black lines on a gym floor, why cant I just do the whole floor in white high gloss? So I called a gym floor company.""

A glossy white floor and comfortable seating makes Paul Feiten's sitting room a home oasis. (Photo: Paul Feiten Design)

Reading can sometimes lead Feiten to a design-filled nap.

""Sometimes I am really inspired by an article and it puts my mind in a dreamy and creatively inspired state and then I fall asleep so those images and articles can simmer away in my mind,"" said Feiten.

A multi-purpose office

There's a framed print in Rachel Nelson's home office in Grosse Pointe that says it all during these turbulent times: ""You Got This.""

A ""You Got This"" art print in Rachel Nelson's Grosse Pointe home office is perfect during these uncertain times. (Photo: Kendra Komen)

Nelson is the owner and Chief Executive Officer of RL Concetti, a Metro Detroit interior design firm. Nelson's home office sums up her style in many ways and is her own oasis. It's a juxtaposition of modern and traditional styles. There's a desk for work but there's also also a sofa because it's where she goes to not just work but also meditate, journal and take care of her many plants.

A sofa in Nelson's office is just the right spot for meditating or journaling. (Photo: Kendra Komen)

A garden room

Linda Shears's garden room at her home in Troy is what she calls her ""ah"" room. Once a three-season Florida room, she had it completely redone two decades ago, expanding it and adding the curved glass windows, heat vents and the tile floor. She had the walls faux finished in an intense yellow.

Shears says her garden room is where she goes to meditate or just be.

Linda Shears of Linda Shears Designs calls her garden room her ""ah"" room. (Photo: Linda Shears)

And ""once Michigan’s weather maintains 70 degree days, I move all the plants outside and start using the table for breakfast or dinner,"" said Shears.

A spot by the fireplace

One of April McCrumb's favorite spots in her Beverly Hills home in on the sofa in her living room. McCrumb is the owner of Catching Fireflies, a popular home decor and gift boutique with locations in Berkley, Rochester and Ann Arbor. McCrumb and her team have stayed busy during this quarantine with online orders.

April McCrumb's favorite spot -- near the fireplace in her living room with her cat. (Photo: April McCrumb)

Sunlight pours through the living room and McCrumb gets to put her feet up on the coffee table for a little bit near the fireplace.

""My cat, Maizy usually finds a way to snuggle up next to me too,"" said McCrumb. ""All these factors make this one of my favorite spots at home.""

Warm Vibes

Erica Harrison’s favorite spot in her Indian Village home is her solarium. Light fills the space; the botanical wallpaper is from House of Hackney. It’s where Harrison goes for her morning cup of coffee and where she feels most creative.

Erica Harrison's solarium in her Indian Village home is her favorite spot. The wallpaper is from House of Hackney. A vintage bird cage is in the corner. (Photo: Erica Harrison)

“In the winter we stay away because of the lack of warmth, but that room makes me feel such warm vibes,” said Harrison.

mfeighan@detroitnews.com

Read or Share this story: https://www.detroitnews.com/story/life/2020/05/14/home-oasis-during-covid-19/3107929001/",92.5,High,Right-center
