news_id,url,publisher,publish_date,author,title,image,body_text,news_guard_score,mbfc_level,political_bias,country,reliability
0,https://www.mercurynews.com/2020/05/18/coronavirus-trump-predicts-a-vaccine-by-end-of-2020-experts-offer-a-different-timetable/,The Mercury News,2020-05-18,['Lisa M. Krieger'],Coronavirus: Trump predicts vaccine delivery by end of 2020. Experts say that’s not likely,https://www.mercurynews.com/wp-content/uploads/2020/03/browning2.jpeg?w=1024&h=683,"The Trump administration on Friday formally announced a hyper-ambitious plan to develop and manufacture hundreds of millions of doses of a COVID-19 vaccine that would be widely available by the end of this year.

The reason behind the plan’s optimism was unveiled on Monday morning: The leading candidate vaccine, developed by the drug maker Moderna in conjunction with the National Institutes of Allergy and Infectious Disease (NIAID) Vaccine Research Center, appeared to generate an immune response in eight healthy volunteers.

Additionally, the product appeared to protect mice who were exposed to the virus.

The company plans to launch a large clinical trial in July aimed at showing whether the vaccine works. It is ramping up its capacity to manufacture the vaccine, it said Monday.

But it represents just the beginning of a long process to bring a vaccine to market. Vaccine studies require broad testing in thousands of patients followed over many months, and hope can fizzle out if there are new issues with safety or efficacy. And once proven, distribution must wait for factory construction, mass production of millions of doses and final federal approval.

What do other experts say about the timetable of a “game-changing” vaccine or drug that will let us return to normal life, enjoying parties, restaurants, music festivals, football games and graduations?

Many scientists say they doubt we’ll meet Trump’s goal of hundreds of millions of coronavirus vaccine doses by January. While we may have data showing that a candidate vaccine is effective by then, it will take longer to build the capacity for manufacturing and distribution of so many doses, experts say.

It’s possible, say some, that we’ll first have an effective drug or therapeutic antibodies to treat patients who are already infected with the COVID-19 virus. While such a treatment would not end the pandemic, it would blunt the impact.

Here is a collection of expert opinions we’ve gathered from the federal hearings, press briefings and university academic webinars:

Dr. Anthony Fauci, director, National Institutes of Allergy and Infectious Disease (NIAID):

“If we are successful” with the NIAID-Moderna vaccine, “we hope to know that in the late fall and early winter (of 2020).

“Even at the top speed we’re going, we don’t see a vaccine playing in the ability of individuals to get back to school this term.”

Source: May 12 Senate Committee, https://www.rev.com/blog/transcripts/dr-anthony-fauci-cdc-director-senate-testimony-transcript-may-12

Joel Ernst, professor of Medicine and chief of UCSF Division of Experimental Medicine – Viral Immunity and Vaccines:

“I think drugs are going probably to come before vaccines because of the safety requirement for vaccine testing. I predict 2021.”

Source: May 7 UCSF Medical Grand Rounds presentation, https://www.youtube.com/watch?v=OTbVyBdXXpk

Melanie Ott, senior investigator, Gladstone Institute of Virology and Immunology:

“I think the drugs are going to be faster. I think they might not be perfect, but I think we will have hopefully more than one candidate that we can combine with another. And I think that will make it better — as we have seen with HIV — and that will slowly become a game changer. And I would say beginning of 2021.”

Source: May 7 UCSF Medical Grand Rounds presentation, https://www.youtube.com/watch?v=OTbVyBdXXpk

Nevan Krogan, professor in UCSF’s Department of Cellular and Molecular Pharmacology; director of Quantitative Biosciences Institute:

“I agree with…the combinatorial aspect of drug treatment. Considering all these great minds collaborating, working together, I hope there’s a more powerful drug regimen by the end of 2020.”

Source: May 7 UCSF Medical Grand Rounds presentation, https://www.youtube.com/watch?v=OTbVyBdXXpk

Barry Bloom, public health professor and former dean of the Harvard T.H. Chan School of Public Health:

“Will we have a vaccine candidate by end of year? It looks likely….I’m hopeful that maybe either by the end of the year (2020) but certainly early next year (2021), that we have young healthy people testing whether the vaccine works or not.

“Will we know it’s effective? I think extremely unlikely for the span of a year to 18 months. And given other technical problems in producing vaccines, that may even take a lot longer.

“We’ll have hints of all the things that it should do probably by the end of the year (2020) for the front runners, and middle of next year (2021) for some of the followers.”

Source: Live Q & A, The Forum at the Harvard T.H. Chan School of Public Health, https://theforum.sph.harvard.edu/events/the-coronavirus-pandemic-9/

Donald Ganem, professor emeritus in UCSF’s Division of Infectious Diseases and retired head of Infectious Disease Research at Novartis:

“I would bet that the vaccine happens first… And so I would bet that a partially effective vaccine might happen in three years (2023), or so given the magnitude of the effort.” Related Articles Letter: I’m not a Trump fan, but I think he deserves credit

Letter: Protesters had no face coverings and weren’t social distancing

Photos: All Bay Area counties join coronavirus phase 2 reopening, allowing storefront retail pickup

Trump says he’s taking hydroxychloroquine in case he gets coronavirus

Humboldt County coronavirus protester’s ‘slaves’ sign goes viral

Source: May 7 UCSF Medical Grand Rounds presentation, https://www.youtube.com/watch?v=OTbVyBdXXpk

Phillip S. Pang, chief medical officer, Vir Biotechnology Inc.:

“There’s been a lot of companies — including ours, including Regeneron, Eli Lilly, AstraZeneca, and so on — who have really accelerated the development of (therapeutic) antibodies. Many of these will enter testing this summer. And it may be possible, therefore, that they will have an Emergency Use Authorization by the end of this year (2020).”",100,High,Left-center,USA,1
1,https://www.mercurynews.com/2020/03/04/map-coronavirus-cases-in-the-bay-area/,The Mercury News,2020-03-04,"['Alejandra Armstrong', 'Harriet Blair Rowan']","Bay Area coronavirus map: 11,279 cases, 392 deaths, in 10 counties",https://www.mercurynews.com/wp-content/uploads/2020/03/Bay-Area-covid-19-map.png?w=1024&h=576,"This article was last updated on May 18 at 5:50 p.m. The map has been changed to show the rate of cases per 100,000 residents.



As scientists and health officials grapple with the novel coronavirus, the disease COVID-19 continues to spread across the globe. The Bay Area has become one of America’s hotspots for the disease.

Currently, there are 11,279 confirmed cases of COVID-19 in the Bay Area and 392 deaths related to the disease, according to cumulative cases as reported by 10 counties in the region. At of the end of the day Sunday, there were 11,033 confirmed cases and 392 deaths recorded. The Bay Area’s 10 counties are home to 8 million of California’s 39.7 million residents.

Scroll below the map for links to county public health department websites where you can find the latest coronavirus updates and guidelines for each county.

The numbers on the map represent the rate of cases per 100,000 residents. The case and deaths counts are reported by county public health departments. To see more details including total cases, deaths, and the death rate, hover over or click on the county.

Public health departments caution that while they are reporting the number of confirmed cases, limited testing capacity and the high number of people who show little to no symptoms means the case count is an under-representation of the spread of COVID-19.

If you are viewing on a computer, use the + and – symbols on the left side of the map to zoom in and out. If you are on a mobile device, use two fingers to zoom in and out.

Looking for current case and death numbers in the state? Click here.

Looking for our California statewide map? Click here.

See the latest coronavirus information from your county:

Alameda County

City of Berkeley

Contra Costa County

Marin County

Napa County

San Francisco County

San Mateo County

Santa Clara County

Santa Cruz County

Solano County

Sonoma County",100,High,Left-center,USA,1
2,https://www.mercurynews.com/2020/05/18/coronavirus-parking-lots-reopen-at-27-california-state-parks/,The Mercury News,2020-05-18,['Paul Rogers'],Coronavirus: Parking lots reopen at 27 California state parks,https://www.mercurynews.com/wp-content/uploads/2020/04/SJM-L-BEACHCLOSED-0XXX-2b.jpg?w=1024&h=679,"Parking lots are slowly beginning to re-open at some of California’s state parks.

Over the weekend, and without an official announcement, the state began to partially reopen lots at 27 state parks and beaches in Santa Cruz, San Benito, Sonoma, Riverside and Orange counties, along with the Lake Tahoe Area, and several other mostly rural parts of the state.

In most of the re-opened parking lots, 50% or fewer of the parking spaces will be available.

California has 280 state parks. As of Monday, 36 were closed and 244 were open. State parks officials have closed the parking lots in the parks that are open as a way to encourage only local visitors and reduce crowd size.

Gloria Sandoval, deputy director of California’s state parks department, said Monday that the state was able to reopen some lots starting Friday after consultation with local and state health officials. She said that the department expects visitors not to travel across county lines, and to go only to their local parks, as a way to reduce overcrowding until conditions continue to improve and more rules can be relaxed.

“We are still telling people to stay close to home,” she said. “It’s important for everybody to do their part to help mitigate the spread of the virus.”

Sandoval recommended that anyone planning to visit a state park first look up the website for that individual park to see the latest rules at www.parks.ca.gov. All beaches in Santa Cruz County, for example, are closed daily between 11 a.m. and 5 p.m., by local order, with violators subject to $1,000 fines — although swimming and surfing are permitted.

Guided tours, campgrounds, museums and visitor centers remain closed at all state parks, although trails are open at many.

The state parks where parking lots have partially reopened, by county, are:

Butte County

Lake Oroville State Recreation Area

El Dorado County

Ed Z’berg Sugar Pine Point State Park

Emerald Bay State Park

Folsom Lake State Recreation Area (also in Sacramento and Placer counties)

Lake Valley State Recreation Area

Washoe Meadows State Park

Kern County

Onyx Ranch State Vehicular Recreation Area

Nevada County

Donner Memorial State Park

Orange County

Bolsa Chica State Beach

Doheny State Beach

Huntington State Beach

San Clemente State Beach

Crystal Cove State Beach

Placer County

Auburn State Recreation Area

Kings Beach State Recreation Area

Riverside County

Lake Perris State Recreation Area

San Benito County

Hollister Hills State Vehicular Recreation Area

Santa Cruz County

Henry Cowell Redwoods State Park

The Forest of Nisene Marks State Park

Wilder Ranch State Park

Shasta County

McArthur-Burney Falls Memorial State Park

Sonoma County

Armstrong Redwoods State Natural Reserve

Austin Creek State Recreation Area

Jack London State Historic Park

Sugarloaf Ridge State Park

Trione-Annadel State Park

Tuolumne County

Columbia State Historic Park

On Monday, as he relaxed some rules around California, Gov. Gavin Newsom was asked when he would be opening state parks parking lots, following reports that it was difficult for the elderly and disabled visitors to visit the ones that are open.

“There are 27 proof points that that was done in the last few days,” Newsom said.

Newsom and parks officials continue to urge state parks visitors to practice physical distancing and avoid congregating with people outside their immediate household.",100,High,Left-center,USA,1
3,https://www.mercurynews.com/2020/05/18/coronavirus-more-new-cases-in-san-francisco-san-mateo-but-hospitalization-rates-continue-to-fall/,The Mercury News,2020-05-18,['Evan Webeck'],"Coronavirus: More new cases in Bay Area, but hospitalization rates continue to fall",https://www.mercurynews.com/wp-content/uploads/2020/04/TEASER_coronavirus_BAY_AREA-1-2.jpg?w=1024&h=688,"New cases of COVID-19 continued to tick upward in the Bay Area, but the death toll remained static and hospitalization numbers in some areas showed positive trends.

Alameda County added 65 new cases on Monday. That number was only four fewer than the number of new cases added in San Mateo County (69), which issued its first update since Saturday.

Overall, Alameda County has confirmed 2,457 cases of the coronavirus during the pandemic, and it has averaged 51 new cases a day over the past week. It was the fourth time in May that health officials there have confirmed at least 60 new cases in a day.

Oakland, which has confirmed 819 cases and is averaging 187 cases per 100,000 people, is the county’s biggest trouble spot. Hayward is another one, with 495 cases and 307 cases per 100,000 people.

On Monday, Santa Clara County added 19 new cases, bringing its total to 2,470, still the most in the 10-county region. San Francisco’s tally is up to 2,131 after officials there confirmed 40 more cases, and San Mateo County has a total of 1,671. Contra Costa County has tallied 1,155 cases after reporting an additional nine.

Those counties reported their new totals before 6 p.m. Monday and they are reflected through Sunday night.

None of those jurisdictions reported any new deaths, news that is particularly welcome in Alameda County. Health officials there have not reported any deaths for two straight days following a five-day stretch in which they reported at least one death a day and totaled 12.

Santa Clara County has recorded 135 deaths, Alameda County 83, San Mateo County 66, San Francisco 36 and Contra Costa County 33. Solano (16), Marin (14), Sonoma (4), Napa (3) and Santa Cruz (2) counties have combined to record another 39 deaths.

Santa Clara County San Mateo County and San Francisco have not added to their death totals for three straight days, and Contra Costa County hasn’t added a new death since Wednesday. There have been two deaths in the past week in San Francisco and 10 in San Mateo County, compared to six and five, respectively, the week prior.

Contra Costa County has added fewer than 10 cases in a day three times over the past week.

Health officials in Contra Costa County also reported that only 16 people were in the hospital with the coronavirus, equaling the fewest that have been there since only 15 were hospitalized on March 24. Over the past seven days, an average of 18 people per day have been in the hospital in Contra Costa County; on April 14, the seven-day average was 39.

Although more results are expected to be added, the initial 294 tests to come back Sunday in San Francisco showed the highest positive percentage in the city (9%) since April 22.

Hospitalizations in the city dropped even further entering the weekend. The number fell to a new low Friday, down 17% from the day before, which was already the lowest it had been since March 31. There was one more patient hospitalized Saturday, for 53 at last count, but two fewer in intensive care units. ICU patients are now at their lowest levels since the city began tracking the data at the end of March.

Of the 69 newly reported cases in San Mateo County, 47 came Saturday and nine Sunday, with the remainder attributed to tests taken before the weekend, according to the county’s dashboard.

Hospitalizations in San Mateo County had fallen to a new low late last week before rising back up slightly over the weekend. The 54 patients hospitalized there Saturday were 10 more than Thursday, but still lower than at anytime before the past week since the virus took hold.

Statewide, the number of cases topped 80,000 on Sunday, with just over 10,000 in the Bay Area. With all Bay Area jurisdictions modifying their local orders, only Los Angeles and Sacramento counties remain in Phase 1 of Gov. Gavin Newsom’s reopening plan.

Staff writer Jason Green contributed to this report.",100,High,Left-center,USA,1
4,https://www.mercurynews.com/2020/05/18/coronavirus-bay-area-counties-to-universally-allow-storefront-retail-pickup-associated-businesses-to-reopen/,The Mercury News,2020-05-18,"['Fiona Kelliher', 'Robert Salonga', 'Maggie Angst']","Coronavirus: All Bay Area counties to allow storefront retail pickup, associated businesses to reopen",https://www.mercurynews.com/wp-content/uploads/2020/05/SJM-L-PHASE2-0519-49.jpg?w=1024&h=683,"CLICK HERE if you’re having a problem viewing the photos on a mobile device.

After sticking with some of the strictest stay-at-home orders in California to curb the spread of coronavirus, the entire Bay Area is advancing in lockstep through the second phase of reopening the state by allowing curbside retail pickup to start on Friday.

The new directive, signed Monday by six public health officials in Alameda, Contra Costa, Marin, San Francisco and Santa Clara counties and the city of Berkeley, replaces one issued just two weeks ago that permitted construction and other outdoor businesses and activities to resume.

“COVID-19 and the measures we’ve taken to prevent the spread have profoundly disrupted the lives of every single member of our community,” Santa Clara County Health Officer Sara Cody said during a news conference on Monday. “However, our collective effort has significantly reduced the spread in our county, and we now have a little bit of headroom to cautiously take another step forward.”

The new local order, which marks the second loosening of the region’s mandate imposed in mid-March, falls largely in line with Gov. Gavin Newsom’s guidelines for reopening the state. It places the region’s 8 million residents firmly in the second of four phases in Newsom’s plan, and all Bay Area counties on the same page, after San Mateo and San Francisco counties issued similar guidance last week.

The Bay Area’s decision came within hours of Newsom’s refining the criteria for counties to plunge deeper into phase 2 of reopening, such as no more than a 5% weekly increase in hospitalizations and a positive COVID-19 test rate of less than 8% countywide.

Given the current indicators, the governor said 53 of the state’s 58 counties could start allowing a slew of business sectors to reopen, including in-store retail and hair salons, in several weeks.

“This is an important period of time,” Newsom said. “We’re moving into an important few weeks ahead of us, and we’re going to see a lot more activity. Let’s just make sure we do it thoughtfully and strategically.”

Spectator-free sporting events could even resume by the first week of June, with some caveats. And, Newsom said, the state is “within a few weeks of meaningful modifications” involving places of religious worship.

“We are working overtime with leaders in the community to come up with guidelines and restore that capacity,” he said.

[ FAQ: What does it mean to enter ‘Phase 2’? Which parts of the state qualify? ]

In the Bay Area, storefront and curbside retail pickup will be allowed to resume on Friday, along with the activities of associated manufacturing, logistics and warehousing businesses that support retail.

Under the regionwide order, stores are prohibited from moving their products outside for display or sale, and customers must order and pay for products online or over the phone. Businesses are permitted to operate only with one employee per 300 square feet unless the individuals are from the same household.

The new regulations only apply to retail stores with direct access to an adjacent sidewalk or outdoor pedestrian walkway, street or parking lot. Stores in an enclosed indoor shopping center or mall must remain closed.

Outdoor museums, historical sites and publicly accessible gardens also are permitted to open their doors to visitors. And drive-through celebrations, parades and graduations are permitted across the region, as long as people ride solely in cars with members of their household and do not leave their vehicles. That new guidance comes less than two weeks after Santa Clara County explicitly banned car parades.

Despite the governor’s announcement Monday, different areas in the state are permitted to move at their own pace. In the Bay Area, where stricter regulations have been in place since the very beginning of the pandemic, in-person dining and shopping will have to wait, as well as other higher-risk businesses, such as gyms and bars, and any gatherings outside a person’s immediate household.

Santa Clara County, which once accounted for the most cases in the state, now has just 3% of the cases and 4% of the deaths statewide, according to Cody, and with more than double the number of tests conducted in the county since the middle of March, the rate of positive tests has declined from 9% to 1.5%.

“We have flattened the curve here in Santa Clara County like nowhere else in the country, and its because of what everyone has done,” Cody said.

“We’re sort of picking off the menu that the state has offered as well as adding some additional local guardrails to keep our community safe,” Cody said. “We understand the urgency, but we don’t want to have to go backward.”

But even as the Bay Area takes another modest step toward reopening its devastated economy, some business owners aren’t celebrating just yet.

Outdoor gear store Stevens Creek Surplus has remained open during the stay-at-home order for curbside pickup because of the construction- and restaurant-related products available in the store. But without allowing customers to come into the store, assistant manager Mustafa Makati said it has been difficult to adapt to the logistical challenges of restricting the foot traffic the store typically relies on.

“A lot of customers are not happy because they want to come in and browse,” Makati said. “It’s not easy. It’s a lot of burden for two or three employees going back and forth, back and forth.”

As of Monday, Santa Clara County had confirmed 2,470 cases of COVID-19, Alameda County 2,457, San Francisco 2,131, San Mateo County 1,671 and Contra Costa County 1,155.

Staff writers Evan Webeck and Vytas Mazeika contributed reporting.",100,High,Left-center,USA,1
5,https://www.mercurynews.com/2020/05/18/humboldt-county-coronavirus-protesters-slaves-sign-goes-viral-2/,The Mercury News,2020-05-18,['Shomik Mukherjee'],Humboldt County coronavirus protester’s ‘slaves’ sign goes viral,https://www.mercurynews.com/wp-content/uploads/2020/05/Screen-Shot-2020-05-18-at-5.41.19-PM-1.jpg?w=409&h=325,"Warning: This article contains imagery that readers may find offensive.

A photograph of a Humboldt County resident holding a sign that compares California’s ongoing stay-at-home order to the slave trade has exploded online to widespread reactions calling the sign racist and deeply offensive.

Gretha Stenger held the sign at a protest last week in front of the Humboldt County courthouse, where she was photographed for a post in Redheaded Blackbelt, the community news blog in Southern Humboldt.

In a statement on Monday, Stenger apologized for the image, which was shared thousands of times on Twitter and garnered hundreds of reactions on Facebook from people criticizing the sign’s message. Stenger said the sign was not hers but handed to her by another protester at the demonstration.

The image appears to depict Escrava Anastacia, an African slave venerated in Brazilian folklore.

Stenger, wearing a red scarf, is photographed holding a sign that depicts a black-and-white image of a young woman wearing a muzzle, with the accompanying message: “Muzzles are for dogs and slaves. I am a free human being.”

In past years, Stenger has directed plays for North Coast Preparatory Academy in Bayside, but the Humboldt County Office of Education said Monday she is not currently employed at the charter school.

Below is Stenger’s full statement, provided to the Times-Standard on Monday afternoon:

“Holding that sign up at the lockdown protest was a grave mistake and I ask forgiveness from all those who I have caused pain. As I had no sign of my own, it was handed to me by another protester and a photographer took the picture before I considered the racist implications. My intent was to take a stand for the freedom of all human persons and I mistakenly held a sign that conveyed the opposite. Please know that I respect the dignity of all people and I sincerely regret any suffering it has caused.”

Stenger did not directly address several of the Times-Standard’s questions about the ongoing stay-at-home order or the equivalencies drawn between that and slavery.

The protest, one of many regular demonstrations in front of the courthouse, featured sign-wielding residents demanding an end to California’s policies surrounding the coronavirus pandemic.

Among local policies is that residents should wear masks when they can’t stay six feet apart from each other, in order to slow the spread of the respiratory illness COVID-19.

Many of the tweets sharing and criticizing the image include Stenger’s name, which is identified in the photograph of her in Redheaded Blackbelt. Another woman photographed holding the sign has also been widely identified. The Times-Standard has not been able to reach the other woman for comment.

Sharrone Blanck, president of the local National Association for the Advancement of Colored People chapter, said Monday that Stenger should back up her apology with actions, instead of just words.

“The first issue is the fact that this person is equating dogs to enslaved people, specifically enslaved Africans,” Blanck said. “Then she identifies herself as a free human being — somehow above and better than people of African descent and people of color in general who were made to wear muzzles.”

Blanck criticized local news outlets consistently covering recent protests of the stay-at-home order and neglecting other local demonstrations, including a recent May Day rally, in which protesters adhered to social-distancing guidelines.

“The media really needs to look at why they cover some things and not other things, and do an analysis of whether or not they cover events with people of color instead of events that are predominantly white,” Blanck said.

Shomik Mukherjee can be reached at 707-441-0504.",100,High,Left-center,USA,1
6,https://www.mercurynews.com/2020/05/15/housing-advocates-breathe-sigh-of-relief-after-californias-coronavirus-budget-cuts/,The Mercury News,2020-05-15,['Marisa Kendall'],Housing advocates breathe sigh of relief after California’s coronavirus budget cuts,https://www.mercurynews.com/wp-content/uploads/2020/05/SJM-L-GAVIN-0507.jpg?w=1024&h=683,"After Gov. Gavin Newsom rolled out his new coronavirus-decimated budget proposal this week, some affordable housing advocates expressed relief the damage wasn’t worse.

Staring down a $54 billion budget shortfall, Newsom on Thursday rolled back several ambitious plans he’d laid out just four months before to tackle the state’s homelessness and affordable housing crisis. But he didn’t gut everything — and what he did cut, he attempted to fill in using federal money.

“It was not as dire as was predicted by a lot of groups,” said David Garcia, policy director of the UC Berkeley Terner Center for Housing Innovation. “But there’s still a lot of changes to process.”

The brunt of the cuts will be shouldered by K12 schools, colleges and state employees, with state parks and prisons feeling the squeeze as well. But Newsom’s newly revised budget also eliminates the ambitious $750 million state fund for homeless housing and services he had proposed in January.

Instead, the governor intends to use $750 million in federal funds — which already have been allocated to the state — to buy the hotels and motels counties across California that are being used as temporary homeless housing during the pandemic. So far the state, in partnership with county governments, has leased more than 15,000 rooms as part of its Project Roomkey initiative — 7,200 of which are occupied. Buying those hotels and motels could allow counties to turn them into permanent housing, answering a question that has plagued homeless service providers for months: What happens to those residents once the pandemic ends?

“It’s terrific that the governor is signaling that the state is going to use a portion of its federal resources to make sure people stay housed,” said Matt Schwartz, president and CEO of the California Housing Partnership. “Is $750 million enough? No, it won’t be enough. We’re going to need more federal funding, and we’re going to need the state to double down on this amount if it wants to keep all 15,000 people housed.”

The governor also abandoned his earlier proposal to beef up Medi-Cal by $695 million, which would have provided for better treatment of mental illness among those experiencing homelessness. But if additional federal funds Newsom has asked for come through, that cut will be reversed.

Newsom said within the next few years, he hopes to be in a position again where he can jump-start the programs he was forced to cut this year.

“We’re not going to walk away from them,” he said.

In a bright spot for housing activists, Newsom’s revised budget retains key funds to finance affordable housing construction: $500 million in low-income housing tax credits. That will help make sure affordable housing continues to be built during what’s likely to be an upcoming recession, Garcia said.

“A lot of groups were concerned that that would not survive the revise,” he said. “So the fact that that is in there is a big relief for affordable housing builders.”

Related Articles Letter: I’m not a Trump fan, but I think he deserves credit

Letter: Protesters had no face coverings and weren’t social distancing

Photos: All Bay Area counties join coronavirus phase 2 reopening, allowing storefront retail pickup

Trump says he’s taking hydroxychloroquine in case he gets coronavirus

Humboldt County coronavirus protester’s ‘slaves’ sign goes viral At the same time, the governor proposed cutting $565 million in funding for mixed-income developments, infill infrastructure grants and other housing programs.

Assemblyman David Chiu, D-San Francisco, was pleased the revised budget kept the $500 million in low-income housing tax credits, but expressed frustration at the loss of funding to help cities combat homelessness.

“I am deeply concerned that we are shifting away from addressing our housing and homelessness crises, which affects all other aspects of life for everyday Californians,” he wrote in a statement. “Our housing crisis has made people poorer, sicker, and more vulnerable to COVID-19. We cannot let up on addressing this issue.”",100,High,Left-center,USA,1
7,https://www.mercurynews.com/2020/05/18/photos-all-bay-area-counties-join-coronavirus-phase-2-reopening-allowing-storefront-retail-pickup/,The Mercury News,2020-05-18,"['Dai Sugano', 'Randy Vazquez', 'Nhat V. Meyer', 'Karl Mondon', 'Jane Tyska']","Photos: All Bay Area counties join coronavirus phase 2 reopening, allowing storefront retail pickup",https://www.mercurynews.com/wp-content/uploads/2020/05/SJM-L-PHASE2-0519-104.jpg?w=1024&h=683,"CLICK HERE if you’re having a problem viewing the photos on a mobile device.

After sticking with some of the strictest stay-at-home orders in California to curb the spread of coronavirus, the entire Bay Area is advancing in lockstep through the second phase of reopening the state by allowing curbside retail pickup to start on Friday.

The new directive, signed Monday by six public health officials in Alameda, Contra Costa, Marin, San Francisco and Santa Clara counties and the city of Berkeley, replaces one issued just two weeks ago that permitted construction and other outdoor businesses and activities to resume.

Click here to continue reading",100,High,Left-center,USA,1
8,https://www.mercurynews.com/2020/05/18/coronavirus-fremont-neighborhood-thanks-postal-waste-workers/,The Mercury News,2020-05-18,['Dylan Bouscher'],"Coronavirus: Fremont neighborhood thanks postal, waste workers",https://www.mercurynews.com/wp-content/uploads/2020/05/EBT-L-CLOGIFTS-0519-005.jpg?w=1024&h=683,"CLICK HERE if you’re having trouble viewing media on a mobile device.

FREMONT — Rishica Awasthi and her brother Reyansh each handed one of three men an envelope as they lined up beside the blue Republic Services waste-collection trucks they parked on Greenhills Way just before noon Monday.

Rishica, 12, and Reyansh, 8, were completing a final round of weekly gift-giving started for waste collectors and postal workers by several families in the Heritage Heights neighborhood.

The gift drive was born in a community Whatsapp group; neighbors Anju Prakash and Sushil Shukla spread the idea after the Bay Area’s shelter-in-place order was extended from April through the end of May. The organizers had few limits for participating: No minimum amount was set for donations, nor were there any rules about the items that could be contributed.

Prakash said she first came up with the idea after seeing a waste collector’s audition on an episode of “American Idol.” The contestant then offered a tedious description of how he cleaned up after finishing his shift.

“This was pre-COVID time. It struck me that: Can you imagine what our garbage-truck and recycle and yard-debris workers are doing, taking all our garbage — probably with stuff that’s being infected by bacteria — and they have to take it away. Even if they use gloves and masks and they don’t have to touch it personally, they still go home to their families. I thought of them. I thought of the mailman,” Prakash said.

The neighbors then reached out to the waste collection company’s customer service department with their idea. Steve Viamari, general manager for Alameda County for Republic Services, suggested handing out gift certificates to local businesses that are struggling amid the shelter-in-place order.

“I’m absolutely floored by their generosity,” Viamari said, adding that the gifts are a morale booster in a tough time. “It’s a challenging job right now. Our employees are working hard every day to service our customers and the communities — and people are realizing we’re a vital part of that, and we appreciate the recognition for it.”

Workers have received gift cards to local eateries, including Ambrose Butchery, Aniki Sushi, Bill’s Café, Country Way, Din Ding Dumpling House, Dino Family Restaurant, El Patio, Falafel, Etc., La Casita, Massimo’s, Mi Lindo Sinaloa, Mission Pizza, Sala Thai, Satomi Sushi, Shakers Pizza, Skillets, Smoking Pig, Super Taco, The Port of Peri Peri and Zorba’s.

On Monday, the gift cards that Reyansh Awasthi handed one worker in an envelope totaled $25. Shukla, a software architect at Oracle, also presented the three collectors who met with the community donors with gifts from local Kohl’s, Ross and Uniqlo retail outlets.

“They come every day and they have to be out all the time. They have to deal with (trash) all the time. We wanted to appreciate all they are doing for us. That is why all of us are giving them some stuff,” Shukla said. “I think we are the ones doing it for the first time. Other communities will know about it, then these people will get more help.”

Republic Services has launched a $20 million “Committed to Serve” initiative during the COVID-19 pandemic. The effort is aimed at helping to “support our small-business customers that are the economic engines of local communities” while the company’s roughly 36,000 employees remain in the field and on-the-clock.

Guadalupe Davila, who has been picking up trash in the Heritage Heights neighborhood for more than 20 years, didn’t know who was behind the gifts and food the workers were receiving on Wednesdays and Fridays when the community drive started last month.

“I really respect this. I really appreciate what they are doing,” Davila said, adding that the increased kindness reflects the difficult times. “On holidays we get a lot of gifts, but with this pandemic, we really got a lot of things within the last few months.”",100,High,Left-center,USA,1
9,https://www.mercurynews.com/2020/05/18/ex-as-manager-art-howe-hospitalized-with-covid-19-returns-home/,The Mercury News,2020-05-18,['Gary Peterson'],"Ex-A’s manager Art Howe, hospitalized with COVID-19, returns home",https://www.mercurynews.com/wp-content/uploads/2020/05/SJM-HOWE.jpg?w=1024&h=742,"CLICK HERE if you’re having a problem viewing the photos on a mobile device.

Former A’s manager Art Howe, who tested positive for COVID-19 on May 5 is out of the ICU and back home, according to Yahoo Sports.

Howe, 73, second to Tony La Russa with 600 wins in Oakland A’s history, will remain in isolation at home for a few weeks, The Washington Post reported.

“Relief, back in my own bedroom, it’s just sweet,” Howe said to reporters. “I’m finally feeling a little bit better. Still not able to eat real good, taste buds are giving me a hard time.

Howe said he has lost taste and smell.

“I know I should eat but nothing at all makes you want to eat,” he said to a Houston-area TV station.

During his hospitalization he received several get well wishes from players and reporters who still appreciate his genial nature.

Pitcher Tom Candiotti spent his only season with the A’s in 1998. Howe was his manager. Asked then about what kind of a guy Howe was, Candiotti said:

”He was my manager in 1985 winter ball, in Ponce, Puerto Rico. I went up to him and said, ‘Do you mind if I throw some knuckleballs?’ I hadn’t thrown it that much, and I wanted to work on it.”

”He said, ‘Have at it.’ The one thing you can take to the bank is Art’s patience,” Candiotti said, noting that managers flock to winter ball for the same reason players do — to get noticed. Allowing a pitcher to work on his knuckleball could have repercussions on a prospective manager. Howe didn’t blink.

Related Articles Bob Watson, ex-All-Star, A’s hitting coach, dies at 74

On this date, 1991: Canseco, A’s meet Queen Elizabeth

Coronavirus: Ex-A’s manager Art Howe in ICU in Houston after testing positive

Kurtenbach: The real reason sports need to return ASAP

‘The Masked Singer’: The latest reveal is … who? He wound up managing the A’s to the postseason the final three of his seven years with the club. He also led them to a 20-game win streak in 2002. He played 11 seasons with the Pirates, Astros and Cardinals. Perhaps his highlight as a player came at the end of the 1980 season when the Astros and Dodgers tied for the N.L. West and were forced into a one-game playoff.

In the playoff, Howe had three hits, one a home run, and drove in four runs as Houston won 7-1.",100,High,Left-center,USA,1
