news_id,url,publisher,publish_date,author,title,image,body_text,news_guard_score,mbfc_level,political_bias,country,reliability
0,https://news.yahoo.com/as-more-states-reopen-georgia-defies-predictions-of-coronavirus-resurgence-whats-the-lesson-for-the-rest-of-the-country-164734815.html,Yahoo! News,2020-05-20,['Andrew Romano'],"As more states reopen, Georgia defies predictions of coronavirus resurgence. What's the lesson for the rest of the country?",https://s.yimg.com/uu/api/res/1.2/Vg3gnOk5krK8rxXXim6GQQ--~B/aD03NTY7dz0xMzQ0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-uploaded-images/2020-05/4814d610-9ab3-11ea-abee-40b7dcf1f735,"On April 24, as more than 25,000 Americans continued to test positive for COVID-19 each day, Georgia became the first U.S. state to initiate the fraught process known as “reopening.”

First it allowed hair salons, gyms, barber shops, tattoo parlors and bowling alleys to resume operations. Dine-in restaurants and movie theaters followed a few days later.

Today much of the state is open for business, under guidelines including a 6-foot social distancing rule.

The move was controversial, to say the least. In the New York Times, Keren Landman, an Atlanta-based physician, epidemiologist and journalist, accused Republican Gov. Brian Kemp of potentially “setting us up for a punishing new wave of infections” by volunteering Georgia as “the nation’s canary in this particularly terrifying coal mine.”

Even President Trump said he “disagree[d] strongly with [Kemp’s] decision.”

But now 26 days have passed since the state started to reopen — and that punishing new wave of infections has not materialized. In fact, according to a database maintained by the Atlanta Journal-Constitution, Georgia’s rolling seven-day average of new daily cases — an important metric that helps to balance out daily fluctuations in reporting — has fallen for three weeks in a row.

Those figures are undisputed — despite a clumsy effort by state officials to present the data in a way that made them look even better. And they are a lot better than the experience in two other states that are moving to end lockdowns, Florida and Texas.

For the seven-day period ending on May 4, Georgia’s daily average stood at 746 cases.

By May 11, the average had fallen 12.6 percent to 652 daily cases.

By May 18, it had dropped to 612 cases, a further decline of 6.1 percent.

At the same time, Georgia’s seven-day average of COVID-19 hospitalizations fell from 1,432 on May 4, to 1,239 on May 11, to 1,049 on May 18 — a three-week decline of 26.7 percent.

The numbers reflect a slowing in transmission. According to the AJC database, Rt — an epidemiological statistic that represents transmissibility, or the number of people a sick person infects at a particular point in an epidemic — fell from 1.0 on May 4, to 0.94 on May 11, to 0.88 on May 16. An Rt below 1 indicates that each person infects, on average, less than one other person.

So does Georgia’s experience mean the canary has survived the coal mine? And if so, what would the state’s survival mean for the rest of America?

To one degree or another, all 50 states have now started to reopen. But the process has advanced slowly, in fits and starts — especially in the Northeast and on the West Coast, where Democratic governors have tended to be more cautious than their Republican counterparts in the South, the Midwest and the Mountain West.

Ultimately, the answer to whether other states should follow Georgia’s lead and reopen more fully is that it depends.

According to the latest data, it’s true that Georgia’s seemingly premature reopening hasn’t produced a surge of new cases … yet.

That yet is important. The coronavirus doesn’t just disappear on its own. Wherever and whenever people interact — especially indoors, for an extended period of time, at a distance of less than 6 feet, without wearing a mask — it will have an opportunity to spread. Georgia is not some magical exception. It is entirely possible that the curve there will start bending upward instead of downward in the coming weeks, especially if residents get a false sense of security and really let down their guard.

But 26 days is enough time to draw some tentative conclusions. When positive-looking data started to emerge from Georgia shortly after reopening, experts were quick to note that its declining daily case counts were actually a window into the past. According to the U.S. Centers for Disease Control and Prevention, the virus can incubate for up to 14 days before symptoms begin (though research shows the vast majority develop symptoms in less than 11.5 days). Then a patient has to get tested. Then a lab has to process that test. Then that lab has to send back a positive result. Then that result has to be reported to public health authorities. The upshot is that the first two weeks of post-reopening numbers still reflect the state of the epidemic before reopening. It’s only in Week 3 or so — i.e., now — that they even start to reveal anything about the impact of lifting lockdown.",95,High,Left-center,USA,1
1,https://news.yahoo.com/florida-coronavirus-dashboard-architect-fired-202856243.html,Yahoo! News,2020-05-19,['Pilar Melendez'],Florida’s Coronavirus Dashboard Architect: I Was Fired for Not Manipulating Data,https://s.yimg.com/uu/api/res/1.2/6TgDwgBpBghmX9p1kkd5Jg--~B/aD02NTg7dz0xMTcwO3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en-US/thedailybeast.com/feab6c7925f287f3a288fd0e8629ae0e,"A top Florida Department of Health data manager alleges she was forced to resign from her job maintaining the state’s COVID-19 portal because she refused to change data that would “drum up support for the plan to reopen” amid the pandemic.

Rebekah Jones, the architect behind the Sunshine State’s interactive COVID-19 dashboard once praised by the White House, told several news outlets on Tuesday she was removed from her position as Graphic Information Systems manager on May 5 due to “reasons beyond my division’s control.” On Monday, the state’s Department of Health offered her a settlement with the option to resign instead of being fired, which would go into effect on May 26, she said.

Jones, 30, told CBS12 News that her involuntary removal came one day after she refused to “manually change data to drum up support for the plan to reopen.” The scientist, however, did not elaborate on which data in particular she refused to alter.

States Are Starting to Reopen Amid the Coronavirus Pandemic. Here Are Their Plans.

To date, nearly 2,000 Floridians have died and 46,442 have been diagnosed with the coronavirus. Despite the ongoing public health issue, Gov. Ron Desantis announced last week his plan to open up Florida’s virus-stricken economy.

The news of Jones’ ouster was first revealed in a May 5 farewell email she sent to researchers and members of the public who signed up to receive updates on the data portal. In the email, Jones said her department was no longer responsible for updating information on the site “in any shape or form.”

“As a word of caution, I would not expect the new team to continue the same level of accessibility and transparency that I made central to the process during the first two months. After all, my commitment to both is largely (arguably entirely) the reason I am no longer managing it,” Jones wrote. “They are making a lot of changes. I would advise being diligent in your respective uses of this data.”

The COVID-19 Data and Surveillance Dashboard provides daily updates on the numbers of deaths, new cases, and tests for every county in the state. Seen as one of the leading trackers in the state, the portal is heavily relied upon by officials, academics, and residents as Florida moves toward restarting the economy three months after issuing a stay-at-home order.

According to internal emails obtained by the Tampa Bay Times, reporters contacted the department on May 4 about a field of data that showed when residents first began to report their virus symptoms or testing positive. The data, according to the emails, showed that Floridians were experiencing symptoms as early as Jan. 1—three months earlier than when the first COVID-19 case was confirmed in the state.

‘Hopefully, The Virus Is Dying in That Room’: A New York Nurse Bids Farewell to a Coronavirus ICU

That field of data vanished from the portal several hours later, the Times reported. Then, at around 5 p.m. on May 5, Department of Health I.T. Director Craig Curry messaged Jones asking her to “disable the ability to export data” from the interactive COVID-19 site.

“Per Dr. Blackmore, disable the ability to export the data to files from the dashboard immediately,” Curry wrote, referring to Dr. Carina Blackmore, the director of the Division of Disease Control and Health Protection in Florida. “We need to ensure that dates (date fields) in all objects match their counterpart on the PDF line list published.”

Minutes later, Jones responded saying “this is the wrong call” before complying with the request. About an hour later, at 6 p.m. on May 5, the I.T. director emailed both Jones and Blackmore asking them to “re-enable” the ability to export data “for now.”

The Florida Department of Health did not immediately respond to The Daily Beast’s request for comment.

“Allegations that Florida’s government may have tried to manipulate or alter data to make reopening appear safer is outrageous. These kinds of actions are dangerous and, frankly, should be criminal,” Terrie Rizzo, chair of the Florida Democratic Party, said in a Tuesday statement to The Daily Beast. “An independent investigation into these allegations is needed immediately. Meanwhile, city and state officials across Florida should closely monitor the situation to protect the public’s health.”",95,High,Left-center,USA,1
2,https://news.yahoo.com/us-states-accused-fudging-coronavirus-002934441.html,Yahoo! News,2020-05-20,"['Michelle R. Smith', 'Colleen Long', 'Jeff Amy']",US states accused of fudging coronavirus testing data,https://s.yimg.com/uu/api/res/1.2/c7IzjsbExg7sQ6uWLCJKlQ--~B/aD0yODQ2O3c9NTA1OTtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/pa_viral_news_704/5477826732b1857e6da6cb8701c56708,"Public health officials in some US states are accused of bungling coronavirus infection statistics or even using a little sleight of hand to deliberately make things look better than they are.

The risk is that politicians, business owners and ordinary Americans who are making decisions about lockdowns, reopenings and other day-to-day matters could be left with the impression that the virus is under more control than it actually is.

In Virginia, Texas and Vermont, for example, officials said they have been combining the results of viral tests, which show an active infection, with antibody tests, which show a past infection.

Public health experts say that can make for impressive-looking testing totals but does not give a true picture of how the virus is spreading.

In Florida, the data scientist who developed the state’s coronavirus dashboard, Rebekah Jones, said this week that she was fired for refusing to manipulate data “to drum up support for the plan to reopen”.

Global coronavirus cases and deaths (PA Graphics) More

In Georgia, one of the earliest states to ease up on lockdowns and assure the public it was safe to go out again, the Department of Public Health published a graph about May 11 that showed new Covid-19 cases declining over time in the most severely affected counties.

The daily entries, however, were not arranged in chronological order but in descending order.

For example, the May 7 totals came right before April 26, which was followed by May 3. A quick look at the graph made it appear as if the decline was smoother than it really was.

The graph was taken down within about a day.

Georgia state Democrat Jasmine Clark, who has a doctorate in microbiology, said the graph was a “prime example of malfeasance”.

“Sadly it feels like there’s been an attempt to make the data fit the narrative, and that’s not how data works,” she said.

Republican Governor Brian Kemp’s office denied there was any attempt to deceive the public.

Spokeswoman Candice Broce insisted that the governor’s office is not telling the department what to do and that officials are not trying to dress up the data to make Mr Kemp look better, saying that “could not be further from the truth”.

As for the May 11 graph, Ms Broce said public health officials were trying to highlight which days had seen the highest peaks of infections.

“It was not intended to mislead,” Ms Broce said on Tuesday. “It was always intended to be helpful.”

Federal guidelines say that before states begin reopening, they should see a 14-day downward trend in infections.

However, some states have reopened when infections were still climbing or had plateaued.

States have also been instructed to expand testing and contact tracing.

The US has recorded 1.5 million confirmed infections and over 90,000 deaths.

Vermont and Virginia said they stopped combining the two types of tests in the past few days.

Still, health officials in Virginia, where Democratic Governor Ralph Northam has eased up on restrictions, said that combining the numbers caused “no difference in overall trends”.

In Texas, where health officials said last week that they were including some antibody results in their testing totals and case counts, Republican Governor Greg Abbott said on Monday that the numbers were not being commingled.

Health officials did not respond to requests for clarification.

Georgia’s Department of Public Health also regularly publishes a graph that shows cases over time, except new infections are not listed on the day they came back positive, which is the practice in many other states.

Instead, Georgia lists new cases on the day the patient first reported symptoms.

That practice can shift the timeline of the outbreak and make it appear as if the state is moving past the peak.",95,High,Left-center,USA,1
3,https://news.yahoo.com/schitts-creek-dan-levy-coronavirus-masks-142213912.html,Yahoo! News,2020-05-20,['Lee Moran'],‘Schitt’s Creek’ Star Dan Levy Comes Up With Beautiful Way To Get People Wearing Masks,https://s.yimg.com/uu/api/res/1.2/vi9ZkAUOjB8TPM02Lqx1bQ--~B/aD05OTg7dz0xNDgwO3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://img.huffingtonpost.com/asset/5ec529182500009e1ceb1c93.jpg,"‘Schitt’s Creek’ Star Dan Levy Comes Up With Beautiful Way To Get People Wearing Masks

Dan Levy, the co-creator and star of “Schitt’s Creek,” is seeking to defuse tensions surrounding wearing face masks amid the coronavirus pandemic.

In a clip the actor shared online Tuesday, he called on people who are “actively not wearing masks because they perceive it to be an infringement of their freedom” to recontextualize it as “the simplest, easiest act of kindness that you can do in a day.”

Levy acknowledged “the frustration of being told what to do” but said reframing may save the lives of people with autoimmune issues who could suffer “devastating repercussions” if they contracted COVID-19, the disease caused by the coronavirus.

“See it not as anyone or anything infringing on your freedom, but rather, if you have the freedom to leave your house, if you have the good health to leave your house, why not put on a mask?” Levy asked. “Make it your good deed for the day and do something nice for yourself and other people.”

Check out Levy’s video here:

MSNBC’s Chris Hayes last week noted how “not wearing a mask has kind of become a sort of weird, culture war virtue-signaling by Trump people.”

President Donald Trump himself has repeatedly refused to wear one, despite the Centers for Disease Control and Prevention recommending “wearing cloth face coverings in public settings where other social distancing measures are difficult to maintain” and “especially in areas of significant community-based transmission.”

A HuffPost Guide To Coronavirus

Also on HuffPost

Love HuffPost? Become a founding member of HuffPost Plus today.

This article originally appeared on HuffPost.",95,High,Left-center,USA,1
4,https://news.yahoo.com/coronavirus-news-may-missed-overnight-070001406.html,Yahoo! News,2020-05-20,['Kate Ng'],Coronavirus news you may have missed overnight: Captain Tom Moore to receive knighthood as Trump claims US having most cases is ‘badge of honour’,https://s.yimg.com/uu/api/res/1.2/zrosu1MvQpHgjnVfXTHDdg--~B/aD0zOTU7dz01MjY7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/the_independent_577/b5ddc227e46c70b6e1f64b000531bcd9,"The world continues to try and navigate its way out of the coronavirus pandemic, as the social and economic effects of lockdowns impacts lives everywhere.

In the UK, 248,818 people have tested positive for the virus, and 545 deaths were recorded on Tuesday, pushing the death toll to 35,341.

Here is your daily briefing of coronavirus news you may have missed overnight.

The 100-year-old Second World War veteran who raised millions for the NHS during lockdown is to be knighted.

NHS porters and cleaners and social care staff do not qualify for a Home Office scheme that grants families of health workers indefinite leave to remain in the UK if they die of coronavirus, it was revealed.

The GMB union said the exclusion of some of the NHS’s lowest paid workers was an “outrageous scandal”.

Around 8 per cent of social care home workers are non-EU migrants, who also make up a large number of those who work as hospital cleaners, porters, security guards and catering staff who are considered key workers but have been left out of the scheme.

Lola McEvoy, NHS organiser for the GMB union, called the policy “heartless” and said it leaves the lowest-paid key workers “out in the cold”.

“We ask them to take the maximum risk – but they get minimal reward. They have been drafted to the front of the fight on Covid-19 and if – as so many have – they lose their lives in doing so, their families are not looked after,” she said.

“It’s only right that they’re offered the same security and peace of mind as directly-employed NHS staff – after all they face the same dangers.”

An extra bank holiday to be put in place in October is reportedly being considered by the government as a way to help the tourism industry recover from the repercussions of coronavirus.

The UK’s tourism agency Visit Britain put forward the proposal for an extra day off near half-term, reported the BBC.

The government told the BBC it will ‘respond in due course” to the agency’s proposal, but warned that having an extra break does “come with economic costs”.

Head of Visit Britain, Patricia Yates, reportedly argued that an extra bank holiday in October would help the industry mitigate the benefits lost from the two bank holidays in May, as people remained in lockdown at the time.

UK Hospitality, a trade group for leisure businesses, also supported the idea of an extra bank holiday, but expressed caution.

Chief executive Kate Nicholls told the BBC: “A bank holiday in October may provide a welcome boost for hospitality businesses, not least at a time when consumer confidence will hopefully be returning to healthy levels.

“However, we are still some way from knowing what the sector will look like. A lot depends on whether businesses are able to open safely and whether the government continue to support businesses who need it.”

The University of Cambridge will hold all “face-to-face lectures” virtually until the next academic year, it has confirmed.

The university becomes the first to set out such measures for the full 2020/21 academic year and it says it is “likely” that social distancing will continue to be required.

However, it may be possible for smaller teaching groups to take place in person if it “conforms to social distancing requirements”.

A spokesman for the university said: “The University is constantly adapting to changing advice as it emerges during this pandemic.

“Given that it is likely that social distancing will continue to be required, the university has decided there will be no face-to-face lectures during the next academic year.

“This decision has been taken now to facilitate planning, but as ever, will be reviewed should there be changes to official advice on coronavirus.”

An animal sanctuary in California chartered two planes in their latest mission to rescue 1,000 chickens from a farm in Iowa before they could be euthanised during the coronavirus pandemic.

The farm was preparing to reduce its chicken population because of a decline in operations caused by Covid-19, said Animal Place sanctuary.",95,High,Left-center,USA,1
5,https://news.yahoo.com/italys-daily-coronavirus-death-toll-160517121.html,Yahoo! News,2020-05-19,[],Italy's daily coronavirus death toll and new cases climb,https://s.yimg.com/uu/api/res/1.2/Rl1b9b.VvwyT6fH1d77nxQ--~B/aD01MzM7dz04MDA7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en-US/reuters.com/bc550c62844a9d34575dca26f8e43ee5,"ROME (Reuters) - Deaths from the COVID-19 epidemic in Italy climbed by 162 on Tuesday, against 99 the day before, the Civil Protection Agency said, while the daily tally of new cases rose sharply to 813 from 451 on Monday.

The total death toll since the outbreak came to light on Feb. 21 now stands at 32,169 the agency said, the third highest in the world after those of the United States and Britain.

The number of confirmed cases amounts to 226,699 the sixth highest global tally behind those of the United States, Russia, Spain, Britain and Brazil.

People registered as currently carrying the illness fell to 65,129 from 66,553 the day before.

There were 716 people in intensive care on Tuesday, down from 749 on Monday, maintaining a long-running decline. Of those originally infected, 129,401 were declared recovered against 127,326 a day earlier.

The agency said 2.0 million people have so far been tested for the virus, against 1.959 million on Monday, out of a population of around 60 million.





(Reporting by Gavin Jones, editing by Crispian Balmer)",95,High,Left-center,USA,1
6,https://news.yahoo.com/coronavirus-leaked-pentagon-memo-warns-153609555.html,Yahoo! News,2020-05-20,['Oliver OConnell'],"Coronavirus: Leaked Pentagon memo warns pandemic could last until summer 2021, including likely second wave, reports say",https://s.yimg.com/uu/api/res/1.2/.1Oq8yBK.tTS0KNVlHo57g--~B/aD0zNTE7dz01MjY7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/the_independent_635/ef3d06528d7f8e22b9af0b0958b037c3,"Defense Secretary Mark Esper pictured with White House coronavirus response coordinator Dr. Deborah Birx and Director of the National Institute of Allergy and Infectious Diseases Dr. Anthony Fauci: AP Photo/Alex Brandon

A leaked Pentagon draft memo says that the US should expect for the coronavirus pandemic to last until the summer of 2021, according to those that have seen it.

The Department of Defence document, obtained by Task & Purpose, advises the that the military prepare for a “globally-persistent” Covid-19 environment with no effective vaccine until “at least the summer of 2021.

Authored by Secretary of Defence Mark Esper, though not finalised or signed by him, the memo warns against any complacency that the virus will now be easily defeated: “We have a long path ahead, with the real possibility of a resurgence of Covid-19.”

It continues: “Therefore we must now refocus our attention on resuming critical missions, increasing levels of activity, and making necessary preparations should a significant resurgence of Covid-19 occur later this year.”

These preparations are likely to include the repositioning of forces and supplies in a faster-paced summer move cycle in which personnel are redeployed domestically and internationally.

Task & Purpose reports that the memo was prepared by Kenneth Rapuano, assistant secretary of defence for homeland defence and global security. It is intended as an update to a 1 April guidance document issued by Mr Esper.

A Pentagon spokesperson said that the new document is outdated. Indeed, since early May it had been circulated among the various branches of the military for feedback, a source told Task & Purpose. It is unclear if Mr Esper has yet seen the document.

Pentagon sources confirmed to The Hill that there are versions of plans with similar language to the leaked memo, but none have been approved. Senior officials are also discussing plans to continue with the summer 2020 move cycle — also not yet finalised.

“All indications suggest we will be operating in a globally-persistent Covid-19 environment in the months ahead,” the memo reads. “This will likely continue until there is wide-scale immunity, through immunisation, and some immunity post-recovery from the virus.”

As well as predicting no viable treatment or vaccine until next summer at the earliest, the scenario laid out by the Pentagon assumes successive waves of infection in clusters tied to seasonal flu outbreaks; continued shortages of personal protective equipment; and testing not being able to completely assure an absence of the virus, and therefore requiring extensive contact tracing and monitoring.

As recently as Friday, Mr Esper said that the Pentagon would “deliver by the end of this year a vaccine at scale to treat the American people and our partners abroad.”

A spokesperson later clarified that the end of the year was “a goal”, and experts believe that even if everything were to go perfectly, a 12 to 18-month timeline for a widespread rollout of a vaccine would be optimistic.

Read more

This is the truth about a future coronavirus vaccine

Vaccine trial volunteer on potential coronavirus breakthrough

The dangers of America winning the race for a coronavirus vaccine

Pentagon comments after Trump brags about ‘super duper missile’

Pentagon sacks point person on Defence Production Act",95,High,Left-center,USA,1
7,https://news.yahoo.com/trump-threatens-michigan-nevada-absentee-ballots-election-coronavirus-145352156.html,Yahoo! News,2020-05-20,['Dylan Stableford'],Trump threatens to withhold aid to 2 states over expanded voting by mail,https://s.yimg.com/uu/api/res/1.2/D5qk7JsdMiPS5NsNTDpDTQ--~B/aD0yNzYyO3c9NDUwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-uploaded-images/2020-05/e0889230-9abb-11ea-9797-fd0a661d53d6,"President Trump on Wednesday threatened to halt federal funding to Michigan and Nevada over the distribution of absentee ballots in those states amid the ongoing coronavirus outbreak that has left more than 90,000 Americans dead.

“Breaking: Michigan sends absentee ballots to 7.7 million people ahead of Primaries and the General Election,” Trump tweeted. “This was done illegally and without authorization by a rogue Secretary of State. I will ask to hold up funding to Michigan if they want to go down this Voter Fraud path!”

Both Michigan and Nevada are considered potential swing states in the November election.

The president followed up with a tweet tagging Russ Vought, the acting director of the U.S. Office of Management and Budget; Trump’s chief of staff, Mark Meadows; and the U.S. Treasury Department.

Trump’s threat to halt funding was issued hours after floods forced the evacuation of about 10,000 people in central Michigan. He didn’t specify what kinds of federal aid he would stop, or cite a legal basis for the action.

The president is scheduled to visit a Ford ventilator-assembly plant in Ypsilanti, Mich., on Thursday.

On Tuesday, Michigan Secretary of State Jocelyn Benson announced a plan to send applications for absentee ballots to all registered voters in the state ahead of its elections in August and November.

There have been more than 50,000 confirmed coronavirus cases reported in Michigan to date, and more than 5,000 deaths.

“By mailing applications, we have ensured that no Michigander has to choose between their health and their right to vote,” Benson said in a statement. “Voting by mail is easy, convenient, safe and secure, and every voter in Michigan has the right to do it.”

Under normal circumstances, it is up to voters to request an absentee ballot, which are restricted to those voters who are traveling or temporarily residing away from their usual residence. About a third of the states require a specific reason to vote by mail. More than half allow voters to request mail-in ballots without one.

Benson quickly responded to Trump on Twitter.

Hi! 👋🏼 I also have a name, it’s Jocelyn Benson. And we sent applications, not ballots. Just like my GOP colleagues in Iowa, Georgia, Nebraska and West Virginia. https://t.co/kBsu4nHvOy — Jocelyn Benson (@JocelynBenson) May 20, 2020

The president made the same threat against Nevada, again raising without evidence the specter of voter fraud.

“State of Nevada ‘thinks’ that they can send out illegal vote by mail ballots, creating a great Voter Fraud scenario for the State and the U.S.,” Trump tweeted. “They can’t! If they do, ‘I think’ I can hold up funds to the State. Sorry, but you must not cheat in elections.”

Nevada has made its June 9 state primaries an all-mail election, sending absentee ballots to registered voters. According to Reuters, the state official responsible for elections is a Republican.

There is no evidence that voting by absentee ballot leads to more voter fraud. Trump himself voted by absentee ballot in the Florida primary in March. Yet he continues to rail against the practice.

During a coronavirus briefing at the White House last month, Trump said he was opposed to mail-in ballots because “people cheat.”

“No, mail ballots, they cheat,” he said. “OK, people cheat. Mail ballots are a very dangerous thing for this country because they are cheaters.”

At a press conference Wednesday afternoon, Michigan Gov. Gretchen Whitmer was asked about Trump’s tweeted threat against the state’s contingency plans.

“For 10 weeks we have been in the midst of battling COVID-19,” Whitmer said. “The people of this great state have done their part and we have seen our numbers flatten. We're not out of the woods yet. But it's taken a lot of sacrifice and it has not been easy.

“On top of this 100-year event, we have a 500-year event in a flood that has absolutely devastated a lot of families, a lot of communities,” she continued. “To see Twitter this morning, to see rhetoric like that is disheartening because I think it first shows you that there maybe was a lack of understanding of what the secretary of state was doing. She said we're going to mail applications, not ballots.”",95,High,Left-center,USA,1
8,https://news.yahoo.com/thrash-metal-drummer-awakens-coronavirus-154140928.html,Yahoo! News,2020-05-20,['Luke Darby'],"Thrash Metal Drummer Awakens from Coronavirus Coma, Doesn't Think Satan Is That Cool Anymore",https://s.yimg.com/uu/api/res/1.2/LsCC7toOoR5yVzcKOmge5w--~B/aD0yNzg0O3c9NDA0ODtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/gq_402/8f3c861161ddc52e16a0de5737e1d18b,"As the coronavirus pandemic continues, researchers are discovering new symptoms and side effects of the disease. Some people who have recovered from COVID-19 are still reporting lingering chest pain and shortness of breath, and in some cases people are reporting a rash disgustingly referred to as ""COVID toes."" And in at least one case, the novel coronavirus has caused visions of a Dante-like trip to Hell.

According to the San Francisco Chronicle's Datebook, the thrash metal band Death Angel was in Europe for a tour in early March when the outbreak went global. They cancelled the tour and headed back to the U.S., but on the flight back drummer Will Carroll started showing symptoms. After testing positive, he spent 12 days in a medically induced coma. When he finally woke up on March 30, the staff at California Pacific Medical Center applauded. ""(The medical staff) couldn’t believe it,"" he told the Chronicle. ""They were ecstatic because it was a success story.""

Carroll had more reason to celebrate, not just because he was returning to good health, but because those 12 days were full of some pretty upsetting visions. Per the Chronicle:

While in the coma, Carroll said he had dreams of visiting the afterlife. He saw himself leave his body and plummet down to hell, where Satan—a woman in his case—punished him for the deadly sin of sloth, morphing him into a Jabba the Hutt-like-monster who vomited blood until he had a heart attack. ""I woke up on the hospital bed with tubes coming in and out of me, and there was a nurse right there and my first words were, 'Am I still in hell?'"" Carroll said. ""She ignored me.""

It takes a very professional nurse to take a patient rambling about hell in stride. In Carroll's case though, the experience has him reevaluating some things. ""I’m still going to listen to satanic metal, and I still love Deicide and bands like that,"" he told the Chronicle. ""As far as for my personal life and my experience of what I went through, I don’t think Satan’s quite as cool as I used to.""

How a Pizza Shop Owner Reportedly Turned DoorDash’s Own Fee Structure Against It

DoorDash and other apps are reportedly milking small businesses to death with fees and commissions, and one pizza owner had enough of it.

Originally Appeared on GQ

",95,High,Left-center,USA,1
9,https://news.yahoo.com/cdc-coronavirus-mainly-spreads-through-persontoperson-contact-and-does-not-spread-easily-on-contaminated-surfaces-153317029.html,Yahoo! News,2020-05-19,['Korin Miller'],CDC: Coronavirus mainly spreads through person-to-person contact and 'does not spread easily' on contaminated surfaces,https://s.yimg.com/uu/api/res/1.2/5jHw3xaMl47LTHxNYnmtzg--~B/aD0xMzg5O3c9MjE1OTtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-uploaded-images/2020-05/2b5caf80-99e0-11ea-99cf-fc82c394babd,"The CDC has updated guidelines on coronavirus' spread, saying that it's ""not likely"" to spread through surfaces.

Even before COVID-19 officially had a name, public health officials said the virus could be transmitted through infected respiratory droplets and by touching infected surfaces and then touching your nose, mouth, and possibly your eyes. So, people began snatching up face masks, wearing gloves, and ramping up hand hygiene to try to protect themselves.

While touching infected surfaces has always been part of the messaging on how the virus spreads, the Centers for Disease Control and Prevention (CDC) recently shifted its stance online. The CDC now says that COVID-19 spreads from person to person contact, and then lists touching infected surfaces under a section titled, ""The virus does not spread easily in other ways."" The CDC adds: “This is not thought to be the main way the virus spreads, but we are still learning more about this virus.” The language is a subtle change from the organization’s warning in early March, when it wrote simply that it “may be possible” to spread the virus through contaminated surfaces.

The CDC, which did not respond to Yahoo Life’s request for comment, still recommends that you wash your hands often with soap and water, and routinely clean and disinfect frequently touched surfaces to protect yourself and others from the virus.

The CDC’s lesser emphasis on infected surfaces as part of the spread of COVID-19 is slightly different from that of the World Health Organization (WHO). The WHO states online that “COVID-19 spreads primarily from person to person,” but adds that, “it can also spread if you touch contaminated objects and surfaces.” The WHO even breaks down for readers all of the commonly-touched surfaces to be wary of, like doorknobs, computers, elevator buttons, and pens, noting that “If you touch something contaminated and then touch your face… you might fall ill.”

So what does this mean, exactly?

Dr. Richard Watkins, an infectious disease physician in Akron, Ohio, and a professor of internal medicine at the Northeast Ohio Medical University, tells Yahoo Life that it’s important to keep in mind that COVID-19 is a new virus. “We are still learning about this new coronavirus —including how it spreads — and knowledge is increasing daily,” he says. With that, some guidance and information on the virus may change over time, he says.

There has been no new, major study to suggest that contaminated surfaces are less important in the spread of COVID-19, but epidemiological data (which is the method used to find the causes of health outcomes and diseases in populations) has simply found that person-to-person contact is more important, infectious disease expert Dr. Amesh A. Adalja, senior scholar at the Johns Hopkins Center for Health Security, tells Yahoo Life.

“Based on the epidemiology, we know that the main way this virus is infecting people is from direct contact with other infected people,” Adalja says. “Contaminated surfaces play some role, but it’s likely much smaller.” It also makes sense, too, he says: “This is a respiratory virus, and respiratory viruses largely spread through breathing in infected respiratory droplets.”

Concerns about contracting the virus from infected surfaces mostly stemmed from a study published in The New England Journal of Medicine in mid-March. That study found that SARS-CoV-2, the virus that causes COVID-19, can last on a variety of surfaces for anywhere from four hours (copper) to three days (plastic and stainless steel). What the study didn’t find was whether people could actually become infected from touching those surfaces. But, since the study’s release, people have been nervous about handling mail, groceries, and other high-touch surfaces like doorknobs.

But the CDC’s shift in guidance doesn’t mean you should stop being cautious with those things, Dr. William Schaffner, an infectious disease specialist and professor at the Vanderbilt University School of Medicine, tells Yahoo Life. “If I had to pick the things to pick an emphasis on to reduce the spread of COVID-19, it would still be social distancing, wearing masks, and practicing good hand hygiene,” he says. Schaffner compares the spread of COVID-19 to roadways. “Person-to-person contact is a highway, and the inanimate environment is a byway. Touching infected surfaces are little paths, but they don’t carry the big viral traffic,” he says.",95,High,Left-center,USA,1
