news_id,url,publisher,publish_date,author,title,image,body_text,news_guard_score,mbfc_level,political_bias,country,reliability
0,https://www.pravdareport.com/news/society/144575-female_genital_mutilation/?utm_referrer=main_last_news_list,Pravda Report,2020-05-18,[],Russia’s first-ever case of genital mutilation committed against 9-year-old girl is still pending,https://cdn.pravda.ru/eng/image/preview/article//5/7/5/144575_soc.jpeg,"Russiaâs first-ever case of female genital mutilation is still pending

The Investigative Committee of the Russian Federation for the Republic of Ingushetia is looking into the appeal submitted from the Legal Initiative project with a request to investigate into the case of female circumcision, when a nine-year-old girl was circumcised at a local private clinic.

Doctors, medical personnel and administration of “Aybolit” clinic can be prosecuted for causing harm to health, committing sexual acts and providing unsafe services with a view to receive financial profit.

The victim’s mother said that she had separated from the child’s father a long time ago and kept the children. On June 21, 2019, the woman’s ex-spouse took his son and daughter to his house for the weekend. The next day, the boy called his mother and said that his sister returned home in blood and tearful. It turned out that the girl’s stepmother, her father’s second wife, took the little girl to Aybolit clinic in the city of Magas. Children's gynecologist Izanya Nalgieva conducted the circumcision procedure against the girl’s will. The girl’s grandmother said with reference to what her granddaughter told her, that the child was screaming and trying to break free, but her stepmother and clinic employee were holding her arms and legs. The adults were telling her that it was a common procedure for every girl, that she was not going to die.

There was no legal representative with the child at the moment of surgery. No one signed the consent for the surgery either. The doctor had no right to touch the patient.

On June 27, 2019, the girl’s mother went to the Investigative Committee Directorate for Chechnya (at her place of residence). A criminal case was filed against the children’s gynecologist under Part 1 of Art. 115 of the Criminal Code (intentional infliction of insignificant bodily harm, which caused a short-term health disorder or an insignificant loss of general earning capacity).

The gynecologist, a week after the incident, admitted the case of circumcision. However, an extract from the interrogation protocol states that ""the child’s parents agreed to skin incision in the area of the clitoris, after which the procedure was performed.""

A forensic medical examination established that the girl had “a 6x5 millimeter cut wound on her external genitalia.”

Later, during an interrogation, children's gynecologist Nalgieva stated that she simply provided the girl with medical care and did not perform any surgery. ""I read my protocol inattentively and erroneously indicated that the ritual of circumcision was performed. At that time I did not have all that information memorized, because I did not have the health record available to me,” explained Nalgieva.

A representative of the clinic, Beslan Matiev, denied all the charges and said that the girl’s family simply wanted to make money on the reputation of the clinic. When the affected party produced the price list of the clinic, where circumcision was listed in the “gynecology” section with a price of 2,000 rubles, Matiev said that the price list had been “corrected” because the clinic had no position for female circumcisions.

Ingushetia’s Commissioner for Human Rights, Dzhambulat Ozdoev, stated that he was ready to consider the statement from the girl’s family. “Of course, something needs to be done. So far we only have information from the Internet – this is the only case of the procedure,” the official said.

The trial of children’s gynecologist Nalgieva began in late 2019 and was the first incident in the Russian judicial system, when a case of female genital mutilation was considered in court. The trial is still pending. The judge repeatedly proposed reconciliation of the parties, but it did not take place, and the court hearings continued until the introduction of restrictive measures in connection with the coronavirus pandemic. The trial is to resume after the lockdown measures are lifted.

Representatives of the Ministry of Health of Ingushetia later announced that such surgeries are not conducted in public medical organizations of the republic, while the ministry does not regulate the activities of private clinics.

According to international standards, female genital mutilation may lead to extremely negative consequences for women's reproductive, psychological and sexual health. The UN and the WHO repeatedly called female genital mutilation a violation of the right to health and freedom from torture.

The European Court of Human Rights recognizes female genital mutilation as torture that violates Article 3 of the European Convention on Human Rights.

The Russian Council of Muftis, in turn, explained that female circumcision was alien to Islam, that it was a ""pre-Islamic tradition"", while subduing the lust of the flesh was a matter of moral guidelines of a person.",7.5,Very low,Right,Russia,0
1,https://www.pravdareport.com/news/society/144574-omsk_coronavirus/?utm_referrer=main_last_news_list,Pravda Report,2020-05-18,[],"All 500 tenants of dormitory in Omsk locked up for quarantine, not allowed to go out at all",https://cdn.pravda.ru/eng/image/preview/article//5/7/4/144574_soc.jpeg,"In Omsk, 500 people locked up in dormitory for illegal quarantine

Tenants of a dormitory on 11 Cheredovaya Street in the city of Omsk were locked in the building. All the tenants of the building are not allowed to go outside. Earlier, several cases of the coronavirus infection were registered among those living in the dormitory, and all 500 tenants found themselves under the conditions of strict quarantine.

Police officers were put on guard at the entrances – the citizens supposedly do not follow the rules of the self-isolation mode. However, the officers have not been able to show the decree on quarantine restrictions to the tenants because they do not have the document themselves.

All the tenants of the dormitory are thus prohibited from going outside: the people are not allowed to go out to buy groceries, medications or other essential drugs. Most of them survive with the help of their relatives and friends, who bring them food.

Those who do not have anyone to help them, were forced to go from door to door asking for bread.

Someone reportedly tried to go out to buy groceries through the back door, but the door was soon blocked. Someone else, as it was reported, jumped out of the window on the second storey to be able to go to buy groceries.

The people eventually wrote an open letter to President Putin, as well as to the governor and the prosecutor of the Omsk region, demanding investigation.",7.5,Very low,Right,Russia,0
2,https://www.pravdareport.com/news/world/144572-coronavirus_dagestan/?utm_referrer=main_last_news_list,Pravda Report,2020-05-18,[],"Coronavirus causes catastrophic situation in Dagestan, Russia",https://cdn.pravda.ru/eng/image/preview/article//5/7/2/144572_soc.jpeg,"Coronavirus kills too many in Dagestan

In Dagestan, more than 40 doctors died from community-acquired pneumonia and coronavirus infection, the head of the Republican Ministry of Health, Jamaludin Hajiyibragimov said.

When asked why the names of the dead doctors were not published on the official website of the Ministry of Health, the official replied that he did not separate his colleagues from other victims of the coronavirus infection in the republic.

According to the official, more than 13,000 people suffer from pneumonia and COVID-19 in Dagestan. As many as 7,000 of those people are hospitalized.

As the minister specified, on May 16, 29 people died from COVID-19 in Dagestan, while 657 people died from community-acquired pneumonia.

Hajiyibragimov also said that families of medical employees, who died on duty, would receive a financial compensation in the amount of 2.7 million rubles, while hospital personnel, whose health deteriorated as a result of their work, would receive compensations from 688,000 to 2 million rubles.

Most recent coronavirus stats for Russia are as follows:

the total number of cases is 272 043 people

2537 died from the disease

63 166 recovered.

Meanwhile, former mixed martial athlete (MMA), Magomedkhan Gamzatkhanov spoke about the situation with the spread of the coronavirus infection in Dagestan. According to the former athlete, the authorities of the republic could not convince the people of the dangers of COVID-19.

“We have a catastrophic situation ÑÑÐºÑ in Dagestan. Ninety people were taken to the central hospital yesterday. A lot of people die. It has become better now, but a lot of people are still sick,” Gamzatkhanov, one of the pioneers of MMA in Russia told Sport Express.

Gamzatkhanov believes that the coronavirus hit Dagestan so hard because the region is being governed from Moscow, rather than locally.

""To understand what a Dagestani is, one needs to be one. The governor of the Tula region says that one needs to stay home, and everyone does. In Dagestan, the situation is different. People don’t believe the local authorities. A lot of people bought into those rumors from social networks that said that the disease was not dangerous. People continued going to wedding parties, to other events, infecting everyone around. Now they have realized how serious the crisis has become for them. They stay home, and the situation is improving,” Gamzatkhanov said.



In Dagestan, there are 3,280 confirmed cases of COVID-19 infection. Officially, 29 people died from the novel virus in the republic; from community-acquired pneumonia - 657 people. In addition, more than 40 doctors have died in Dagestan.

According to Russian President Vladimir Putin, such a large number of positive cases and deaths in the republic of Dagestan have appeared due to self-treatment attempts. In addition, people ask for medical help too late.",7.5,Very low,Right,Russia,0
3,https://www.pravdareport.com/news/health/144567-coronavirus_deaths_russia/?utm_referrer=main_last_news_list,Pravda Report,2020-05-14,[],Reports about low coronavirus deaths in Russia are…not true,https://cdn.pravda.ru/eng/image/preview/article//5/6/7/144567_soc.jpeg,"Moscow vehemently denies reports about understated coronavirus deaths

Officials representing the Moscow Department of Health deny that Russia’s official COVID-19 statistics underestimate the number of coronavirus-caused deaths in the country. Such information earlier appeared in a number of publications that analyzed open data on monthly mortality rates.

According to officials of the Moscow Department of Health, 11,846 deaths were registered in the Russian capital in April 2020, which was 1,841 deaths more than was recorded in April 2019. Journalists concluded that 1,800 deaths might not have been accounted for as coronavirus-caused deaths. ""A comparison of mortality rates from the point of view of monthly dynamics is incorrect and does not serve as clear evidence of any trends,"" department officials said.

The ministry emphasized that in Russia and Moscow, unlike in many other countries, autopsies of bodies of deceased persons with suspected or confirmed COVID-19 are performed in 100% of cases. Therefore, posthumous diagnoses and causes of death are ultimately ""highly accurate."" Thus, according to the department, coronavirus and its complications, most often pneumonia, have claimed the lives of 639 people from the total number of deaths reported in April.

""It is impossible to establish the cause of death as COVID-19 in other cases. For example, over 60% of deaths were caused by obviously alternative reasons, such as vascular diseases (myocardial infarction and stroke), stage 4 malignant diseases (essentially palliative patients), leukemia, ""systemic diseases with the development of organ failure (for example, amyloidosis and terminal renal failure) and other incurable fatal diseases,"" a message posted on the website of the department said.

The department also noted that any seasonal increase in the incidence of ARVI (acute respiratory viral infection) leads to an increase in mortality, let alone the coronavirus pandemic.

""In these cases, the infectious onset acts as a catalyst for the rapid progression of chronic diseases and for the manifestation of new diseases,"" representatives of the department said.

Even if all the additional mortality rate for April in Moscow is attributed to coronavirus, the mortality from COVID-19 will be “slightly more than three percent, which is lower than the official mortality rates in New York and London (10 and 23 percent respectively),” the department concluded.

Earlier, Russia’s Ministry of Health and Deputy Prime Minister Tatyana Golikova, commenting on an article by The Financial Times, which said that the coronavirus mortality rate in Russia could be 70 percent higher than official statistics, expressed a similar point of view.

The Ministry of Health said that health workers are guided by the rules of the ""International Statistical Classification of Diseases and Health Related Problems, 10th Revision.” In cases of the coronavirus infection, “International Guidelines for Certification and Classification (Coding) of COVID-19 as Cause of Death” are used.

The documents are designed to encode COVID-19 as the main cause of death in almost all cases, when a COVID-positive patient dies despite other illnesses that he or she may have had.

“A death due to COVID-19 is defined for surveillance purposes as a death resulting from a clinically compatible illness, in a probable or confirmed COVID-19 case, unless there is a clear alternative cause of death that cannot be related to COVID disease (e.g. trauma). There should be no period of complete recovery from COVID-19 between illness and death. A death due toCOVID-19 may not be attributed to another disease (e.g. cancer) and should be counted independently of preexisting conditions that are suspected of triggering a severe course of COVID-19,” the document published on the website of the World Health Organization says.

However, the current version of temporary recommendations from the Ministry of Health of the Russian Federation titled “Prevention, Diagnosis and Treatment of the New Coronavirus Infection (COVID-19),” which Russian doctors use as guidelines, say that when formulating a pathoanatomical diagnosis, one should differentiate between deaths caused by COVID-19 as the main disease and deaths against the background of the coronavirus infection, ""but without its clinical and morphological manifestations that could become the cause of death."" Therefore, a significant part of those who died having COVID-19 in Russia may not be included in the stats as those who died from coronavirus.",7.5,Very low,Right,Russia,0
4,https://www.pravdareport.com/news/russia/144564-peskov_covid_pneumonia/?utm_referrer=main_last_news_list,Pravda Report,2020-05-14,[],Putin’s official spokesman says how Covid-19 is eating his lungs,https://cdn.pravda.ru/eng/image/preview/article//5/6/4/144564_soc.jpeg,"Putinâs official spokesman develops bilateral pneumonia

Dmitry Peskov, official spokesman for Russian President Vladimir Putin, who was hospitalized with confirmed Covid-19 infection on May 12, has developed bilateral pneumonia. In an interview with the Kommersant publication, Peskov said employees of the presidential administration get tested for the coronavirus infection on a daily basis.

""I had a feeling that I keep it under control. Then, unfortunately, one of my colleagues, with whom I earlier spoke, fell ill and I had to go into self-isolation mode after May 1,” the Kremlin representative said.

Peskov continued getting tested, and one of the tests was confirmed positive. According to Peskov, he had no symptoms on the first day, but then ""unpleasant"" body temperature rose to over 37 degrees and he developed bodily pains.

Peskov’s wife, former Olympic champion in figure skating Tatyana Navka, had the same symptoms, but her body temperature was “higher”. For a couple of days the spouses stayed home, but when they realized that the process “was going uphill, so to speak,"" they went to the hospital for CT scanning procedure.

Peskov noted that it is important to catch the moment. ""The main thing about this disease is not to miss it. This is an absolutely bloodthirsty virus. Although, thank God, doctors already have experience in combating it, but still the share of unpredictability associated with individual peculiarities is always present,"" he stated.

The peculiarity of COVID-19, according to Peskov, is that it is not the virus that starts “eating” the lungs, but the body itself. ""That is, a hormonal storm begins, and the immune system tries to defeat this virus. Together with the virus, the body starts to devour the lungs. This is where the frosted glass effect comes from. This may lead to pulmonary thrombosis. Well, it depends,” Dmitry Peskov said.

Bloodthirsty virus to live with forever

Answering a question about contacts with the president, Peskov noted that he had not contacted Putin in person for more than a month. ""There is no need for that, as my work is arranged differently,"" he explained, adding that video conferencing can take place both in open and closed mode, while modern technologies make it possible to ensure secrecy.

Peskov also said that his family took all precautions and stayed home for 1.5 months carefully, although they failed to avoid the infection.

“The virus is very dangerous indeed, it is easily transmitted from person to person easily, and it is very difficult to have guaranteed protection from it. The only way, and this should be understood by those who have underlying conditions in the form of chronic diseases, who belong to the older age group, - one has to stay home, avoid contact with the outside world,"" Putin’s spokesman said.

According to Peskov, mankind will always have to live with various coronaviruses: ""These are living organisms, they are fighting for a place for life on Earth."" Now one needs to wait for the vaccine, which experts, according to Peskov, inject themselves during clinical trials. ""We will not name the institution, the people, but those people who are die-hard fans of their work in the best sense of the word,"" he said.",7.5,Very low,Right,Russia,0
5,https://www.pravdareport.com/news/society/144561-funeral_covid/?utm_referrer=main_last_news_list,Pravda Report,2020-05-13,[],Funeral crisis in Russia: Victims of Covid-19 buried in garbage bags,https://cdn.pravda.ru/eng/image/preview/article//5/6/1/144561_soc.jpeg,"Covid-19 causes funeral crisis in Russia

In accordance with the decree signed by Moscow Mayor Sergei Sobyanin, as well as the decision made by Moscow Region Governor Andrei Vorobyov, cemeteries will be open only for the burial of the dead until the end of the high alert mode (it expires on May 31). One is not allowed to visit cemeteries due to the coronavirus pandemic.

It is forbidden to deliver deceased bodies with confirmed COVID-19 to relatives for farewell ceremony. In accordance with recommendations from the Ministry of Health of the Russian Federation, the burial of those who dies of the coronavirus infection shall be carried out in closed coffins, and it is strictly forbidden to open them during the funeral.

Different regions of Russia practice different norms for the burial of coronavirus victims' bodies. In some regions, it is recommended to bury the deceased in closed coffins, in some others the authorities insist on zinc coffins or cremation, although cremation is not mandatory.

It is recommended to observe safety measures at all funerals, and direct tactile contacts with the body or the coffin of the deceased are prohibited. One is required to maintain social distancing and use personal protective equipment, like in any other public place. Employees of cemeteries, funeral agencies and funeral homes use special protective suits along with face masks and gloves.

Specially designated cemeteries provided for victims of Covid-19

Some regions of the Russian Federation have established regulations for funeral procedures against the backdrop of the coronavirus pandemic. Restrictions on the number of individuals who come to bid farewell at a funeral ceremony depend on the decision of the local authorities. For example, in North Ossetia, the presence of more than 50 people at a funeral is prohibited. In Moscow and the Moscow region, it is recommended to limit the number of people at funeral to 5-7 people maximum. In some parts of the country, those who died of coronavirus are buried at ordinary cemeteries, whereas in other regions, it is allowed to use only specially designated cemeteries. For example, in St. Petersburg, Mordovia and some other regions, special cemeteries and territories were assigned for victims of COVID-19.

Performing the autopsy of the body of the deceased is mandatory, and it is impossible to refuse from it, even if the deceased did not have the confirmed infection, but was only suspected for it.

The deceased bodies with the confirmed coronavirus are treated with a disinfectant. Afterwards, they are packed into double sealed bags, which are no longer allowed to open. Ordinary coffins are used – they can be treated with a disinfectant both on the outside and on the inside. At some cemeteries, coffins are sprinkled with bleach on the inside.

There are some funeral firms that started providing remote services, such as remote funerals, remote visiting of burial sites, remote flower laying, remote grave cleaning, etc.

Death certificates may not always indicate that the deceased was COVID-positive. The cause of death may be stated as cancer, heart failure, autoimmune diseases or other chronic diseases, which, in combination with COVID-19, have led to death.

As of May 12, 10,899 new infections were recorded in Russia. The total number of infected people in Russia since the beginning of the epidemic has exceeded 232,000 people. Over 2,000 people died, nearly 50,000 recovered.",7.5,Very low,Right,Russia,0
6,https://www.pravdareport.com/news/society/144555-russian_ventilators_fire/?utm_referrer=main_last_news_list,Pravda Report,2020-05-12,[],"Russian-made ventilators catch fire, kill Covid-positive patients in Moscow and St. Petersburg",https://cdn.pravda.ru/eng/image/preview/article//5/5/5/144555_soc.jpeg,"Russian-made ventilators catch fire, kill Covid-positive patients

Five people were killed in a fire that sparked in the intensive care unit at St. George’s Hospital in St. Petersburg, which was earlier redesigned to treat patients with coronavirus.

The fire occurred on the sixth floor in the intensive care unit, the fire affected an area of ââten square meters.

All the killed patients were connected to ventilators. Four of them died as a result of carbon monoxide exposure, another one died when the ventilator, to which the patient was connected, was turned off. According to preliminary reports, the fire started due to the hazardous overload of the ventilator.

""The ventilators are operating to the maximum. It is believed that the equipment was overloaded, and the apparatus caught fire,"" officials said.

Reportedly, there were 16 patients in the department at the moment of the accident. Hospital personnel managed to move eleven of them to another wing of the building. In total, as many as 150 people were evacuated from the building; the fire was localized. All the patients and personnel, who were staying in the intensive care unit during the fire, were transferred to the first floor of the hospital.

The Investigative Committee opened a criminal case under Part 3 of Article 109 of the Criminal Code of the Russian Federation ""Causing death by negligence."" Prosecutors currently look into compliance with fire safety requirements at the hospital.

On the evening of May 9, a fire occurred in the building of the Moscow hospital No. 50 named after Spasokukotsky, where patients with coronavirus are also admitted. The fire broke out in the intensive care unit and began to spread along the first floor, having killed one woman patient with COVID-19. Three others were injured.

Within 30 minutes, all 295 patients were evacuated. It is believed that the fire started because of defective ventilators too.

According to law enforcement agencies, the ventilators that caused the fires at hospitals in Moscow and St. Petersburg were manufactured at one factory - the Ural Instrument-Making Plant. The ventilator at the fire-affected hospital in St. Petersburg was installed there on May 3.

According to preliminary reports, the fire at the Moscow hospital occurred as a result of short circuit, which caused oxygen to catch fire. Other versions include short circuit, malfunction, overload and improper operation.",7.5,Very low,Right,Russia,0
7,https://www.pravdareport.com/news/russia/144553-dmitry_peskov/?utm_referrer=main_last_news_list,Pravda Report,2020-05-12,[],Putin’s official spokesman Dmitry Peskov hospitalized with coronavirus infection,https://cdn.pravda.ru/eng/image/preview/article//5/5/3/144553_soc.jpeg,"Putinâs official spokesman Dmitry Peskov hospitalized with coronavirus

Dmitry Peskov, an official spokesman for Russian President Vladimir Putin, was infected with coronavirus.

“Yes, I’m sick, I’m undergoing treatment,” Peskov said.

Peskov became the fourth high-ranking official who became infected with the coronavirus. The first was the Prime Minister of Russia Mikhail Mishustin, then the head of the Ministry of Construction Vladimir Yakushev and the Minister of Culture Olga Lyubimova.

Peskov's wife, former fugure skater Tatiana Navka, was also hospitalized with the coronavirus infection. According to her, her husband brought the infection home ""from work.""

According to most recent reports, as many as 10 899 cases of coronavirus infection were detected in Russia in the last 24 hours. New cases have been reported in 83 regions of the country. Most of all new infections were found in Moscow (5392), Moscow region (1063) and Nizhny Novgorod (354) region. During the day 107 people died, 3,711 patients recovered.

Peskov made his last public appearance on April 30 at a meeting with President Vladimir Putin. However, it remains unknown whether the Kremlin representative contacted the president.

It was also said that Peskov was hospitalized.

The total number of positive cases in Russia since the beginning of the pandemic has exceeded 232,000 people.

From May 10 to 12, 11,656 new infections were detected in 84 regions of the country; 94 people died, 5,495 recovered.

Russia ends non-working days

On May 11, Russian President Vladimir Putin, during a televised address to the nation, said that the period of non-working days in Russia would end on May 12. At the same time, Russia was not going to lift quarantine restrictions quickly, he added. The head of state also called on citizens to enhance personal protective measures.

Deputy Prime Minister Tatyana Golikova said that 33 Russian regions would be able to remove the restrictions imposed because of the coronavirus. According to her, 11 of them are ready to do this at any time, another 22 entities would need to raise the capacity of their hospitals to the required level.",7.5,Very low,Right,Russia,0
8,https://www.pravdareport.com/news/society/144550-russia_coronavirus/?utm_referrer=main_last_news_list,Pravda Report,2020-05-08,[],Russia becomes new hotspot on the map of coronavirus pandemic,https://cdn.pravda.ru/eng/image/preview/article//5/5/0/144550_soc.jpeg,"Russia becomes new hotspot on the map of coronavirus pandemic

This week, many countries in Europe have started lifting the restrictions that had been introduced in connection with the spread of the coronavirus infection. It does not mean that the pandemic has been defeated: a new “hot spot” is beginning to emerge more and more clearly on the continent. Unfortunately, it goes about Russia.

177 160 confirmed cases of COVID-2019 infection

Of these, 11,231 were detected in the last 24 hours.

More than half of those infected are still in Moscow.

Moscow Mayor Sergei Sobyanin says:

""The fact that we have identified so many infected people is a huge plus, but not a minus, because it means that infected people are quarantined in a timely manner, and the spread of the virus is slowing down.""

Another “plus” in comparison with other countries is the relatively low mortality rate among coronavirus patients:

1,625 people have died in the country during the epidemic (as of May 8, 2020)

According to the authorities, the outbreak of the epidemic in Russia started later than in many other countries, and Russia had time to get prepared for the challenge.

On May 7, Russia was ranked fifth in the world in the number of COVID-19 cases. Nevertheless, the Russian authorities decided to gradually lift quarantine restrictions. For example, courts will resume their work from May 12. Industrial and construction companies will start operating in Moscow too. However, the quarantine restrictions will not touch upon citizens and small businesses. On the contrary, the measures will be toughened, and the Russians will have to pay for those restrictions from their own pockets.

From May 12, Moscow is introducing the mask regime in the city. One will be required to wear a face mask or a respirator to be able to use the metro or public transport. In addition, one will have to wear gloves. To comply with these requirements, every Muscovite will have to spend at least 2,000 rubles a month.",7.5,Very low,Right,Russia,0
9,https://www.pravdareport.com/news/health/144545-russia_covid_plateau/?utm_referrer=main_last_news_list,Pravda Report,2020-05-06,[],Coronavirus epidemic in Russia shows no signs of decline,https://cdn.pravda.ru/eng/image/preview/article//5/4/5/144545_soc.jpeg,"Covid-19 in Russia: Plateau is nowhere in sight

Over the past 24 hours, 10,559 new cases of coronavirus infection have been detected in 82 regions of Russia.

Most of the cases were reported in – 5,858, the Moscow region - 829, St. Petersburg - 312, Nizhny Novgorod region - 272.

181 cases of infection were detected in the Republic of Dagestan, 136 in the Murmansk region,

105 each in the Kabardino-Balkarian Republic and Yamal-Nenets Autonomous Okrug,

102 - in the Republic of Tatarstan.

In other regions of the country, less than a hundred new cases were registered.

On the eve of the meeting of the work group of the State Council for the struggle against the spread of coronavirus, officials discussed an opportunity to introduce “mask regime” throughout Russia. A day earlier, presidential spokesman Dmitry Peskov said that in order to remove quarantine restrictions, one needs to know the dynamics of the spread of the virus on May 11 and take into account peculiarities of Russian regions.

On May 6, it was reported that Olga Lyubimova, Russia’s Minister of Culture, became infected with the coronavirus. The minister is going through the mild course of the disease, so there is no need to hospitalize her yet. Olga Lyubimova has thus become a third member of the Russian government, who was infected with COVID-19.

On April 30, it was reported that the Prime Minister of Russia Mikhail Mishustin was infected with coronavirus. Deputy Prime Minister Andrei Belousov has been appointed acting head of government. On May 1, Vladimir Yakushev, the Minister of Construction, Housing and Communal Services of Russia, was also hospitalized with coronavirus.

Russians persistently violate self-isolation regime

Meanwhile, Russia will have to experience a new surge in the incidence of pneumonia caused by SARS-CoV-2 virus, Ivan Konovalov, assistant professor of infectious diseases in children at the Russian National Medical University named after Pirogov said.

According to the professor, Russia will see a sharp growth of infections in one or two weeks because most Russians violate self-isolation regime during May holidays. “No plateau is yet in sight as it requires no growth trend for several consecutive weeks,” the specialist said.

If citizens start taking to the streets thinking that everyone will catch COVID-19 sooner or later, the number of seriously ill patients will start snowballing. Such a trend is especially dangerous for regions where hospitals are already overwhelmed, while many doctors quit their jobs and leave being unable to cope with hard conditions of work.",7.5,Very low,Right,Russia,0
