news_id,url,publisher,publish_date,author,title,image,body_text,news_guard_score,mbfc_level,political_bias,country,reliability
0,http://www.presstv.com/Detail/2020/05/24/626005/Iran-Eid-Fitr-Ramadan,Press TV,2020-05-24,[],Iranians mark Eid al-Fitr at end of holy fasting month of Ramadan,https://cdn.presstv.com/Photo/2020/5/24/a4f8518d-d64d-41be-89e9-51165a3260b2.jpg,"Iranians across the country are celebrating Eid al-Fitr, which marks the end of the holy fasting month of Ramadan.

The Office of Leader of the Islamic Revolution Ayatollah Seyyed Ali Khamenei announced Sunday as Ei-al-Fitr after it received multiple reports from reliable religious scholars on the sighting of the new moon.

Ayatollah Khamenei would have led the Eid prayers at the Imam Khomeini Grand Prayer Grounds in Tehran as in the past, but the event was cancelled due to the novel coronavirus (COVID-19) pandemic.

Nevertheless, Eid prayers were held in 110 mosques in the capital under strict health protocols.

Alireza Zali, the head of the National Headquarters for Managing and Fighting the coronavirus in Tehran, asked those with COVID-19 symptoms, people over 65, pregnant women as well as those suffering from respiratory and cardiovascular diseases, cancer, diabetes and uncontrolled blood pressure to skip going to public places for Eid prayers.

In a message to Iranians, President Hassan Rouhani congratulated them on Eid al-Fitr, wishing that God would accept their fasting, prayers and good deeds.

Eid al-Fitr marks the beginning of the lunar month of Shawwal and the end of Ramadan — the ninth month in the Islamic calendar — when Muslims refrain from eating, drinking, smoking and other corporal pleasures from dawn to dusk.",17.5,Low,Right,Iran,0
1,http://www.presstv.com/Detail/2020/05/24/626045/Iran-China-Hong-Kong-,Press TV,2020-05-24,[],"Iran condemns foreign interference in China’s affairs, threat to its sovereignty",https://cdn.presstv.com/photo/20200524/88dd7a54-604a-4b28-aaaa-9d0807dd1da9.jpg,"Iran has condemned any act of interference in the internal affairs of China and moves to undermine its national sovereignty and territorial integrity, stressing that the Islamic Republic respects the principle of a united China.

“Non-interference in the affairs of other countries, maintenance of territorial integrity and showing respect for the national sovereignty of other countries are among clear and unchangeable principles of the Islamic Republic of Iran’s foreign policy,” Iranian Foreign Ministry Spokesman Abbas Mousavi said on Sunday.

“Therefore, while emphasizing the importance of respect for the principle of the ‘united China’, the Islamic Republic of Iran condemns any foreign interference in the internal affairs of the People’s Republic of China and any harm to this country’s national sovereignty and territorial integrity, and underlines the need for ... keeping order to ensure stability, welfare and security of the people of Hong Kong,” the Iranian spokesman said.

Hong Kong was witnessing a renewal of protests on Sunday over a newly-proposed security law as a lockdown imposed over the coronavirus outbreak gradually loosens.

The proposed law was recently submitted for deliberation to the National People’s Congress (NPC) and it aims to boost security measures and safeguard national security in the Hong Kong Special Administrative Region (HKSAR) after violent protests rocked the region for months last year.

Chinese Foreign Minister Wang Yi said on Sunday that Hong Kong was an internal affair and no foreign interference would be allowed.

“Aside from the devastation caused by the novel coronavirus, there is also a political virus spreading through the US,” Wang said, adding, “This political virus is the use of every opportunity to attack and smear China. Some politicians completely disregard basic facts and have fabricated too many lies targeting China, and plotted too many conspiracies.”

Meanwhile, White House National Security Adviser Robert O'Brien warned on Sunday that China's proposed national security legislation for Hong Kong could lead to US sanctions and threaten the city's status as a financial hub.

""It looks like, with this national security law, they're going to basically take over Hong Kong and if they do ... Secretary (of State Mike) Pompeo will likely be unable to certify that Hong Kong maintains a high degree of autonomy and if that happens, there will be sanctions that will be imposed on Hong Kong and China,"" O'Brien said on NBC's Meet the Press.

Read more:",17.5,Low,Right,Iran,0
2,http://www.presstv.com/Detail/2020/05/24/626039/China-US-coronavirus-origin-investigation-Wang-Yi,Press TV,2020-05-24,[],China ‘open’ to intl. efforts to identify coronavirus source: FM,https://cdn.presstv.com/photo/20200524/059bc9ce-df49-428e-b46b-e492f22d88b2.jpg,"China says it is ""open"" to international cooperation to identify the accurate source of the new coronavirus, emphasizing that any investigation must be ""free of political interference.""

Chinese Foreign Minister Wang Yi made the comments at a press conference on the sidelines of an annual parliament meeting on Sunday, following calls from the United States and Australia for a probe into the origins of the novel coronavirus pandemic.

""China is open to working with the international scientific community to look into the source of the virus,"" Wang said, adding, ""At the same time, we believe that this should be professional, fair and constructive.""

""Fairness means the process be free of political interference, respect the sovereignty of all countries, and oppose any presumption of guilt,"" the Chinese diplomat said.

Since the flu-like pathogen broke out in the Chinese city of Wuhan in late December, Beijing and Washington have clashed over the virus spread and its origin, further increasing tensions between the world's two largest economies.

US President Donald Trump keeps referring to the novel coronavirus (COVID-19) as the Chinese virus. Beijing has hit back by suggesting that the US military brought the virus to Wuhan and initiated the outbreak.

Trump has over the past weeks claimed that there is evidence Beijing created the coronavirus in a medical lab in the Chinese city. This is while the US intelligence agencies say they have seen no evidence to show the virus is “man-made.”

US Secretary of State Mike Pompeo has on several occasions accused China of not being transparent and honest about the coronavirus pandemic in the country.

China has fiercely defended its handling of the new coronavirus, repeatedly saying it “has been nothing but open, transparent and responsible” in informing the WHO and affected countries about the pandemic.

Scientific studies have already suggested that the virus originated through natural processes.

Wang further blasted US politicians’ effort to ""fabricate rumors"" about the pathogen's origins and ""stigmatize China"".

He also urged the United States to stop wasting time in its fight against the virus deadly and rather than spreading lies and attacking China, share the Asian country’s experience in combating the epidemic.

""Regretfully, in addition to the raging coronavirus, a political virus is also spreading in the United States. This political virus is using every opportunity to attack and smear China,"" Wang said.

""Some politicians have ignored the most basic facts and concocted too many lies about China and plotted too many conspiracies,"" he added.

""I want to say here: Don't waste precious time any longer, and don't ignore lives.""

""What China and the United States need to do the most is to first learn from each other and share their experience in fighting against the epidemic, and help each country fight it.""

When asked if the relations between the US and China and would further worsen, the Chinese Foreign Minister said Beijing remains prepared to work with Washington in the spirit of cooperation and mutual respect.

""China has always advocated that, as the world's largest developing country and the largest developed country, both of us bear a major responsibility for world peace and development,"" he said.

""China and the United States stand to gain from cooperation, and lose from confrontation.""

Since 2018, Washington and Beijing have been engaged in a trade war over issues such as cyber security, regulations, intellectual property, subsidies, and tariffs.

Economists warn that the ongoing trade war between the world’s two largest economies increases the risks of disrupting supply chains, curtailing investment and curbing business confidence in global markets.

More recently, the two top economies have also clashed over the Hong Kong pro-democracy movement and US support for Taiwan, which China claims full sovereignty over it.",17.5,Low,Right,Iran,0
3,http://www.presstv.com/Detail/2020/05/24/626059/UK-BBC-Lord-Hall-Admits-Major-Losses-Coronavirus-Crisis,Press TV,2020-05-24,[],BBC director general admits big losses in the coronavirus pandemic,https://cdn.presstv.com/Photo/2020/5/24/570e6043-fd9f-41bd-9c4d-0dfac4c3acb0.jpg,"In an unmistakable sign the coronavirus crisis is taking a major toll on the British Broadcasting Corporation (BBC), the state broadcaster’s outgoing director general has admitted his organization stands to lose £125 million because of the pandemic.

Speaking to the BBC’s Andrew Marr Show, Tony Hall claimed that 92 percent of BBC personnel have been forced to work from home due to the lockdown and broader coronavirus-related restrictions.

Hall, whose resignation was announced in January, is expected to formally step down as director general in the summer.

Despite the damage inflicted on the state broadcaster by the pandemic, Hall still maintained that British people have “turned to the BBC in their droves” in recent weeks.

However, the outgoing director general did not provide any evidence to support his sweeping claims.

Halls’ unsubstantiated claims stand in stark contrast to a solid body of evidence that the British public is profoundly disillusioned with the BBC and are calling for the license fee to be either scrapped or substantially reduced.

On the highly contentious issue of the license fee, Hall said that he hopes “in future” there will be a “big debate” about how the BBC should be funded post 2027, when the state broadcaster’s current charter expires.

The growing public clamor against the license fee – which was increased by £3 to £157.50 on April 01 – has forced the government to launch a public consultation on whether evasion of the license fee – which is effectively a form of taxation – should be decriminalized.",17.5,Low,Right,Iran,0
4,http://www.presstv.com/Detail/2020/05/24/626046/US-Joe-Biden-golf-Donald-Trump-coronavirus-pandemic-,Press TV,2020-05-24,[],"Biden censures Trump for playing golf as coronavirus death toll heads toward 100,000",https://cdn.presstv.com/photo/20200524/aab3e75c-beb6-4e72-8750-6e8d22ebad4a.jpg,"Democratic Presidential candidate Joe Biden has blasted President Donald Trump for his decision to play golf during the holiday weekend as the death toll from the coronavirus pandemic continues to rise in the United States.

The Democratic Party's presumptive nominee showed in a 30-second clip accompanying his tweet on Saturday that Trump was playing a round of golf at his club in the US state of Virginia on Memorial Day Weekend.

“Nearly 100,000 lives have been lost, and tens of millions are out of work,” the former vice president said in his tweet. “Meanwhile, the president spent his day golfing.”

Nearly 100,000 lives have been lost, and tens of millions are out of work.



Meanwhile, the president spent his day golfing. pic.twitter.com/H1BVNtgVjA — Joe Biden (@JoeBiden) May 24, 2020

“The death toll is still rising,” read the ad, which has garnered over 1.3 million views. “The president is playing golf.”

The golf trip was the president’s first visit to one of his money-making properties since March 8, when he visited his private golf club in West Palm Beach during a weekend at his Florida home.

The World Health Organization declared the coronavirus a global pandemic on March 11, and Trump followed with the national emergency declaration two days later.

Trump has ordered US flags on federal buildings and national monuments to half-staff through Sunday in memory of the Americans who have lost their lives to COVID-19, the respiratory disease caused by the coronavirus.

US Democrats have criticized Trump since the epidemic erupted in the Chinese city of Wuhan late last year, saying he has failed to develop a comprehensive and effective plan for testing Americans for the coronavirus and tracing contacts of those who are infected by the virus.

Biden has on several occasions censured Trump since the outbreak started in the United States in February, framing the US president's response to the crisis as inadequate.

In another ad released earlier this month, the Biden campaign accused Trump of mishandling the epidemiological crisis and the economic fallout it caused by failing to implement containment measures sooner.

Virologists say people who contract the coronavirus in the US are at greater risk than those in the UK or Canada since America lacks a national health service.

The US has recorded over 1.6 million confirmed cases of the coronavirus and more than 98,000 deaths from the flu-like pathogen, according to data compiled by Johns Hopkins University.",17.5,Low,Right,Iran,0
5,http://www.presstv.com/Detail/2020/05/24/626038/North-Korea-Kim-Jong-un-nuclear-US-talks-Trump-sanctions,Press TV,2020-05-24,[],North Korean leader pledges to increase 'nuclear deterrence’ capabilities,https://cdn.presstv.com/Photo/2020/5/24/99bf8667-5bc3-4b3a-b59c-1dc1f13a4eda.jpg,"North Korean leader Kim Jong-un has outlined his policies for further boosting his country’s nuclear “deterrence” capabilities amid stalled denuclearization talks with the United States.

After a three-week-long absence from public view, the 36-year-old leader made the comments at a meeting of his party’s powerful Central Military Commission, after a previous absence that gave rise to intense global speculation that he might have health issues or even been brain-dead.

According to a report by North Korea's state news agency KCNA on Sunday, the meeting revolved round measures to bolster the peninsular country’s armed forces and “reliably contain the persistent big or small military threats from the hostile forces.”

It also discussed “increasing the nuclear war deterrence of the country and putting the strategic armed forces on a high alert operation,” through adopting “crucial measures for considerably increasing the firepower strike ability of the artillery pieces,” the report added.

Kim’s rare outings during the past two months, with his absence from a key national anniversary, have coincided with North Korea’s intense measures against the coronavirus (COVID-19) pandemic. Pyongyang says it has recorded no confirmed cases so far, but South Korea’s intelligence agency claims that it cannot rule out that the North has had an outbreak.

North Korea is under crippling US sanctions for years over Pyongyang’s nuclear and ballistic missile programs.

US President Donald Trump has attempted to de-escalate tensions with Pyongyang, and although he has met with Kim three times, he has so far refused to relieve any of the harsh sanctions on the North over its military programs, and that has in turn hampered the so-called efforts to demilitarize the Korean Peninsula.

The Washington-Pyongyang nuclear talks have made little progress since late last year, particularly after the global fight to curb the pandemic, which has so far infected more than 5,434, 600 people and killed over 344,500 others around the world.

Kim’s pledge to boost its nuclear capabilities comes at a time when Washington, according to some news reports, might conduct its first full-fledged nuclear test since 1992.

Last December, Kim ended a moratorium on the country’s missile tests and said North Korea would soon develop a “new strategic weapon.”

The ending of the moratorium came as the United States refused to relieve any of the sanctions on the North even though Pyongyang had taken goodwill steps in the course of the now-stalled diplomacy with Washington.

The North is also at loggerheads with South Korea over its “provocative” military drills with the US, stressing that Seoul’s war games demand an appropriate response from Pyongyang.",17.5,Low,Right,Iran,0
6,http://www.presstv.com/Detail/2020/05/24/626040/Iran-Turkey-trade-borders-pandemic,Press TV,2020-05-24,[],"Iran, Turkey presidents urge full reopening of borders after pandemic",https://cdn.presstv.com/Photo/2020/5/24/24db657e-177c-450d-b2d4-8b85159aa763.jpg,"Presidents of Iran and Turkey have stressed the need for immediate reopening of borders between the two neighbors after more than two months of closure over the new coronavirus pandemic.

Iran’s semi-official Fars News agency said on Sunday that President Hassan Rouhani and his Turkish counterpart Recep Tayyip Erdogan had discussed the borders reopening in a phone calls held earlier in the day.

Rouhani and Erdogan urged “immediate reopening of land and air borders” while observing hygiene protocols to allow trade between the countries to resume, said the report.

Border closures that began after the spread of COVID-19, the disease caused by the coronavirus pandemic, have caused trade between Iran and Turkey to decline significantly in the first quarter this year.

A report by Tehran’s Chamber of Commerce published earlier this month showed that the value of the three-month trade between the neighbors had decreased by 70 percent to stand at $645 million at the end of March.

In his phone call, Rouhani told Erdogan that resumption of economic exchanges between Iran and Turkey was a necessity given the current economic around the world as a result of the pandemic.

Erdogan also vowed to issue orders to expedite the reopening of Turkey’s eastern borders with Iran. The Turkish president also reiterated the need for more cooperation between Iran and Turkey on how to handle the spread COVID-19.

Iran has been the worst affected country in the Western Asia region by the COVID-19 pandemic. Figures published by Iranian health ministry on Sunday showed the number of people tested positive for the disease had increased by 2,180 to reach a total of 135,701.

The number of COVID-19 deaths in Iran increased by 58 to stand at 7,417 people, said a health ministry spokesman, adding that 105,801 patients had recovered from the disease since it was spotted in the country in late February.",17.5,Low,Right,Iran,0
7,http://www.presstv.com/Detail/2020/05/23/625944/US-cities-San-Francisco-homeless-tent-encampments-coronavirus-,Press TV,2020-05-23,[],San Francisco sanctions once-shunned homeless encampments,https://cdn.presstv.com/Photo/2020/5/23/00c3ace6-5b59-4253-b56b-c48c009958a6.jpg,"San Francisco is joining other US cities in authorizing homeless tent encampments in response to the coronavirus pandemic, a move officials have long resisted but are now reluctantly embracing to safeguard homeless people.

About 80 tents are now neatly spaced out on a wide street near San Francisco City Hall as part of a ""safe sleeping village"" opened last week. The area between the city's central library and its Asian Art Museum is fenced off to outsiders, monitored around the clock and provides meals, showers, clean water and trash pickup.

In announcing the encampment, and a second one to open in the famed Haight-Ashbury neighborhood, San Francisco's mayor acknowledged that she didn't want to approve tents, but having unregulated tents mushroom on sidewalks was neither safe nor fair.

""So while in normal times I would say that we should focus on bringing people inside and not sanctioning tent encampments, we frankly do not have many other options right now,"" she said in a tweet last week.

Nicholas Woodward, 37, is camping at the safe sleeping site, but he said he preferred sleeping in his tent before the city stepped in; he finds the fencing belittling and the rules too controlling. His friend, Nathan Rice, 32, said he'd much rather have a hotel room than a tent on a sidewalk, even if the city is providing clean water and food.

""I hear it on the news, hear it from people here that they're going to be getting us hotel rooms,"" he said. ""That's what we want, you know, to be safe inside.""

San Francisco has moved 1,300 homeless people into hotel rooms and RVs as part of a statewide program to shelter vulnerable people but the mayor has been criticized for moving too slowly. She has said she is not inclined to move all the city's estimated 8,000 homeless into hotels, despite complaints from advocates who say overcrowded tents are a public health disaster.

San Francisco is just the latest city to authorize encampments as shelters across the country move to thin bed counts so homeless people, who are particularly susceptible to the virus due to poor health, have more room to keep apart.

Santa Rosa in Sonoma County welcomed people this week to its first managed encampment with roughly 70 blue tents. Portland, Oregon, has three homeless camps with city-provided sleeping bags and tents, and Maricopa County opened two parking lots to homeless campers in Phoenix.

San Francisco officials have historically frowned upon mini tent cities and routinely rounded up tents on city streets. But with an estimated 150,000 homeless people in California, most of them living out in the open, it's impossible to stamp out the highly visible tents along highways and on crowded urban sidewalks.

The Centers for Disease Control and Prevention recommends that officials not disturb tent encampments during the coronavirus pandemic unless people are given individual hotel rooms, as homeless advocates want to see. Those advocates say providing a safe space where people can get meals, use a toilet and avoid harassing passers-by is a reasonable option given the times.

""The best, best option would be housing. The second-best option would be hotel rooms, but if you can't do that and we're going to have so many people outside then I think it makes sense ... to make those outside as safe as can be,"" said Dr. Margot Kushel, director of the Center for Vulnerable Populations at the University of California, San Francisco.

But Nan Roman, president and CEO of the National Alliance to End Homelessness, said the federal government is providing an astonishing amount of money to battle the pandemic and she hopes cities and counties use it to put people into empty hotels, motels and other unused places.

""It's almost like we're giving ourselves permission that it's OK that people will sleep outside, and once we've given ourselves that permission, it's very difficult to get the initiative together to do otherwise,"" she said.

Still, government-sanctioned tent camps may be here to stay, at least until a coronavirus vaccine is distributed.

At the urging of San Francisco Supervisor Sandra Lee Fewer, the city's parks and real estate departments are compiling an inventory of open spaces that might be suitable for tent camps. She said sidewalk space is a coveted commodity for retailers, given coronavirus restrictions, and the city's strategy of adding more shelter beds doesn't make sense with a contagious virus.

""It is just a new world that we're living in,"" she said, ""and it's going to have to be our new normal.""

(Source: The Associated Press)",17.5,Low,Right,Iran,0
8,http://www.presstv.com/Detail/2020/05/24/626028/URL:-US-Israel-China-investment,Press TV,2020-05-24,[],US asks Israel to sever burgeoning ties with China: Paper,https://cdn.presstv.com/Photo/2020/5/24/b1765650-84fe-458f-9080-6e4bdee8793b.jpg,"The United States has asked Israel to sever ties with China in areas which entail security risks, the Jerusalem Post reports.

Citing an unnamed US official, the Israeli daily revealed that the Trump administration has asked Israel to take concrete steps to reduce its ties with China.

So far, “the Israeli side has politely acknowledged our concerns without committing to action,” the unnamed official said.

“I don’t think polite deflection will cut it anymore,” the official said, adding ""this is a high priority for the US.”

One industry that the US has pinpointed as particularly sensitive is technology, so much so that the US has been eyeing Chinese-Israeli joint academic research in the field, the report said.

The US is especially concerned with the billions of dollars Chinese companies have invested in technologies that Israel has classified as commercial, but could be used by Chinese intelligence, like artificial intelligence, satellite communications and cybersecurity.

The demand came just days after US Secretary of State Mike Pompeo visited the occupied territories and asked Israel to reconsider its joint projects with China in areas with security risks and sensitivities for the US, including academic projects and technological research and development.

In previous public statements, US Ambassador to Israel David Friedman and other State Department officials had focused on the establishment of a more robust review process for foreign investments that could pose risks, and a reduction of reliance on China for emergency equipment in light of the coronavirus pandemic.

The US and Israel share some of the most sensitive intelligence with one another. In addition, American contractors sell Israel some of the most classified military hardware and weapons in the US like the F-35 fifth-generation stealth fighter jet, according to the Israeli daily.

The US is concerned that with China building most of Israel’s infrastructure – roads, trains, tunnels, ports and more – it will eventually gain access to the lines of communication through which Israel and the US communicate intelligence with one another. That is something that Washington will not tolerate, said the report.

For too long, Israel has cozied up to China while ignoring potential ramifications or fallout with its greatest ally, the United States, the newspaper said.

However, Tel Aviv could be on a collision course with Washington unless tight restrictions are imposed on Chinese investment in Israel, because the US president sees this both as a geopolitical security threat and a distraction from accomplishing the objectives of his trade war with China.

According to Israel's Army Radio on Tuesday, Tel Aviv has asked Washington for compensation in exchange for reducing ties with China - an offer that the US reportedly rejected.

The ongoing friction between the US and China has escalated in recent months in the wake of the COVID-19 outbreak, and the US has put pressure on many of its allies as a result.

The US has accused China of hiding news of the original outbreak of the novel coronavirus from the world.

President Trump has long called COVID-19 a “Chinese virus,” going so far as to accuse Chinese President Xi Jinping of standing behind a “disinformation and propaganda attack on the United States and Europe.”

The current venomous rhetoric by Trump and his allies about China’s “culpability” for the COVID-19 pandemic has led to strong reactions from Chinese officials.

China's Ambassador to Israel Du Wei, who was found dead in his official residence in Herzliya last Sunday, had made a high-profile defense of his country’s response to the coronavirus pandemic.

In an interview with Israel's Makor Rishon newspaper in April, Du addressed the matter of Chinese investments in Israel, expressing hope for further cooperation.

He also expressed hope to strengthen the ties between Israel and China, addressing the accusations leveled at his country as being the one responsible for the outbreak of the virus.

Mystery and speculation surrounds the death and comments from readers under an online article in the Jerusalem Post included: “Something smells fishy here.”

Another said there was “a long list of suspects,” and the envoy’s death was like something in a spy movie, or the US murder investigation show CSI (Crime Scene Investigation).

Others suggested a link to Pompeo’s recent whirlwind visit to Israel, during which he was overtly critical of China, and demanded that Israel stop sharing confidential military information with Beijing.",17.5,Low,Right,Iran,0
9,http://www.presstv.com/Detail/2020/05/24/626007/US-Joe-Biden-Bernie-Sanders-Hawaii-Democratic-presidential-primary,Press TV,2020-05-24,[],Joe Biden wins Hawaii Democratic presidential primary,https://cdn.presstv.com/Photo/2020/5/24/cfc965a8-b549-43ce-8263-ffac487d7509.jpg,"Former US Vice President Joe Biden has won Hawaii’s Democratic presidential primary, the state Democratic Party announced Saturday.

Biden won 63.2% of the final vote on the ranked-choice ballot, while Vermont Sen. Bernie Sanders, who ended his presidential campaign last month, earned 36.8%.

Sanders formally endorsed Biden on April 13, but will continue to stay on the ballot in upcoming primaries to earn delegates for his representatives to have a seat on important Democratic National Convention committees.

Biden got 16 of Hawaii’s delegates and Sanders will earn eight. Currently, Biden has a total of 1,566 delegates to the party’s national convention, but needs 1,991 delegates to win the nomination.

Hawaii's primary was originally scheduled for April 4, however, due to the coronavirus pandemic, the Democratic Party of Hawaii canceled in-person voting and instead transitioned to an entirely vote-by-mail system.

Over 79,000 ballots were sent to the state party and nearly 35,000 were returned by mail by Friday which was the deadline, according to the announcement.

""Due to the COVID-19 pandemic, on-site same-day voting on April 4th has been cancelled. Instead the Party will send a third mailing of ballots out. ...The mail-ballot return deadline is May 22, 2020. Results will be tabulated and released on May 23, 2020,"" the Democratic Party of Hawaii said in a statement from late March.

Biden's win in Hawaii comes after another victory in Oregon's presidential primary that was also held entirely vote-by-mail earlier this week.",17.5,Low,Right,Iran,0
