news_id,url,publisher,publish_date,author,title,image,body_text,news_guard_score,mbfc_level,political_bias,country
0,https://www.rt.com/usa/489598-us-aid-israel-senate-vote/,RT News,2020-05-23,[],"As Americans lose their jobs, Senate gears up to give Israel A MINIMUM of $38 billion over 10 years",https://cdni.rt.com/files/2020.05/article/5ec9976c2030271be310302f.jpg,"With the US economy reeling from the effects of the coronavirus pandemic, the Senate Foreign Relations Committee agreed to give Israel a minimum of $3.8 billion in military aid per year. A full vote on the gift is expected soon.

The US unemployment rate now stands at 14.7 percent, the worst figure since records began. Nearly 39 million Americans have lost their jobs since the coronavirus reached US shores in late January, and the Congressional Budget Office warned on Tuesday that the US economy won’t recover from its current contraction until after next year. Moreover, the federal government’s financial relief packages to date have pushed national debt past a record $25 trillion.

You wouldn’t think there was anything wrong if you asked Senator Marco Rubio though. The Florida Republican and his colleagues on the Senate Foreign Relations Committee quietly approved a bill on Thursday to guarantee Israel a minimum of $38 billion in military aid over the next ten years, despite the economic shambles at home.

Also on rt.com Washington State conned out of a likely ‘hundreds of millions of dollars’ by Nigerian scammers

Passed unanimously, the bill now heads to the Senate floor for a full vote.

Though authored by Rubio – a Republican of hawkish persuasion – the bill aims to legally codify a promise made by former President Barack Obama in 2016. Under the terms agreed to by Obama and Israeli Prime Minister Benjamin Netanyahu, the Jewish state would not seek any additional funds beyond the annual $3.8 billion. Indeed, when Congress voted on an earlier version of Rubio’s bill in 2018, that figure was set as a cap. The 2018 bill was eventually rolled into another Middle East security bill the following year, which was left to die in the Democrat-controlled House.

Now, with Rubio onc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           e again pushing the bill, the spending cap has been removed. In the version passed by the Foreign Relations Committee on Thursday, the US will send “not less than” $3.3 billion in direct military aid and $500 million in funding for missile defense programs every year for the next decade.

Also on rt.com US billionaire wealth skyrockets to over $3 TRILLION during pandemic

Rubio boasted on Thursday that the bill “strengthens our nation’s strategic security alliance with Israel, a vibrant democracy that faces growing and unprecedented threats to its security and stability.” Yet the bill was passed with no fanfare, and in a state of near-secrecy.

The Foreign Relations Committee voted on it alongside a package of 15 other bills, with committee head Jim Risch (R-Idaho) foregoing the usual live-streaming of proceedings. Some of Risch and Rubio’s Democratic colleagues voiced concerns about the hush-hush nature of the session, but none objected to passing the bill, which amounts to the largest such aid package in American history.

The vote was not covered by American media, and was noted by only a few anti-Israel activists. Should the full Senate vote attract more coverage, it will likely draw some criticism. Even before the coronavirus hammered the US economy, support for Israel among the American public was falling. According to a Gallup poll taken late last year, 59 percent of Americans sympathized with Israel in the Middle East conflict, down from 64 percent a year earlier.

Also on rt.com US threatens ICC with ‘consequences’ if it acts on war crimes complaint against Israel filed by ‘fake’ Palestinian state

Think your friends would be interested? Share this story!",32.5,Very low,Right-center,Russia
1,https://www.rt.com/news/489596-france-coronavirus-5g-postpone/,RT News,2020-05-23,[],"French industrialist calls for 5G MORATORIUM amid Covid-19, conspiracy theories & burning of masts",https://cdni.rt.com/files/2020.05/article/5ec984c285f5401daf63c67b.JPG,"The CEO of French telecoms firm Bouygues has called on the government to postpone auctions for 5G frequencies, citing the ongoing coronavirus pandemic and public mistrust of the technology.

France is planning on auctioning 5G frequencies to telecoms companies at the end of the summer. However, Martin Bouygues, head of the eponymous communications firm, now thinks that bidding should be pushed back to the end of the year at the earliest.

Also on rt.com DHS & FBI fear more attacks on 5G infrastructure fueled by Covid-19 conspiracies

“We need to push back the auction date simply because the economic world today is not the same as it was early March, when the terms of the auction were set,” he told Le Figaro on Saturday, adding that holding a bidding war while France recovers “with difficulty from a terrible human health and economic health nightmare” is “not the priority of the country.”

Bouygues is not an opponent of the technology. Indeed, his firm has already secured a 50 megahertz block, as have rivals Orange, Free, and SFR.

His opposition to the auction likely stems from the fact that France is currently facing an economic recession, with growth expected to drop by eight percent this year after an extended and nationwide lockdown. As such, the return on his investment simply wouldn’t be as large as it would have been pre-pandemic.

However, Bouygues also noted that the rollout of 5G technology has come in spite of growing public mistrust.

Also on rt.com Anti-5G fever spreads to the Netherlands as towers suffer ‘arson and sabotage’

Aside from claims that Chinese firms like Huawei could use 5G hardware to relay secrets to the government in Beijing – pushed by the Donald Trump administration in Washington and denied by Huawei and China – 5G has become a target for conspiracy theorists the world over. Fueled by some lingering uncertainties over the potential health consequences of 5G’s short wavelength transmissions, skeptics have claimed that 5G masts can trigger anything from cancer to Covid-19.

Some of the more radical among these conspiracy theorists directly blame these broadcasting masts for causing the coronavirus in the first place, despite the lack of evidence to support their claims. 5G towers erected in the Netherlands and UK have been set on fire by activists, with British protesters going as far as spitting on and attacking the telecoms engineers installing the masts.

The situation is the same outside Europe too. Arson attacks on 5G infrastructure have been reported in Australia and New Zealand, while the US Department of Homeland Security warned last week that online “misinformation campaigns” have “already prompted arson and physical attacks against cell towers in several US states.”

Like this story? Share it with a friend!",32.5,Very low,Right-center,Russia
2,https://www.rt.com/op-ed/489514-our-over-anxiousness-about-covid/,RT News,2020-05-23,['Diana Bruk'],"When even tough New Yorkers become petrified pandemic-shamers, it’s time to confront our over-anxiousness about Covid-19",https://cdni.rt.com/files/2020.05/article/5ec80b7e2030270d396dd60b.jpg,"By Diana Bruk , a Russian-American journalist living in New York, who has written for The New York Times, The Paris Review, Cosmopolitan, Esquire and Elle, amongst other publications.

The only thing to fear is fear itself… and coronavirus. Our response to this disease stems from a very Western form of privilege.

As someone who has been writing about social media movements for many years, I can tell you that they always follow the same formula. They start out with good intentions, then quickly devolve into a method of feeling superior by demonizing others. The Covid-19 pandemic has been no different.

Back in early March, it was useful to have people explain why carrying on with the St. Patrick’s Day parade in NYC – where I live – was very much a bad idea. The lockdown was necessary. We swallowed that bitter pill and all of the major repercussions that came with it. We certainly burdened but didn’t overwhelm the healthcare system. We limited the spread and flattened the curve.

Also on rt.com The 5 tribes of coronavirus: Society has divided up in surprising, and not so surprising ways

But, now, many of those same people want more. They speak of second waves and how leaving your apartment will inevitably result in the death of their grandmother. They label anyone who is trying to make the best of the quarantine as “selfish” because we’re supposed to “all be in it together” in misery. They “pandemic shame”— a term used to describe those “Good Samaritans” who write vitriolic comments on photos of people reading in Central Park, or flat-out hurl a face mask at a friend of mine who was speaking on the phone outside of her building while yelling “Think of someone other than yourself!”

These people see themselves as self-righteous and heroic in a selfish world. But I personally believe that much of their behavior stems from anxiety, and that it shows a lack of self-awareness and selfishness to project that onto others and feel entitled to controlling their behavior.

Read more

“Like a lot of things that are fear-based, people don’t have any actual information, so these pandemic shamers are trying to regain a sense of control,” licensed psychologist Dr. Julie Davelman says. “So they tell themselves that if only everyone stays inside, we’ll be OK. Humans like to know what’s going to happen, and when we don’t have that, we make it up.”

To phrase it in the simple terms that Katherine, a Russian nurse living in Brooklyn, puts it, “People keep acting like we’d all live forever if it weren’t for the coronavirus. There are a lot of things that can kill you. The only thing that’s special about Covid-19, outside of the fact that it’s new, is that we’ve fixated on it.”

When I see people raging on social media about how no one should go out in case they touch a plant that someone who has Covid-19 might have touched, I feel the same way I imagine people must have felt when I used to tell them that it was extremely important that I check the oven several times before leaving the house, because, if I didn’t, the entire building might burn down, and I would have to live with the guilt of knowing that I not only killed my dog but hundreds of innocent people inside of it. Yes, all of this is true, just like it’s true that catching/passing on Covid-19 has a minor chance of being fatal.

But it’s also true that anything terrible can happen at any time, and, you’re not doing yourself any favors by living in fear of one specific thing that you’ve focused on. When you go to therapy for anxiety, one of the interesting things about it is that you aren’t taught to rationalize yourself into believing that you turned the oven off. You are encouraged to tell yourself that perhaps you left it on, and perhaps the worst will happen. It’s a free-fall, and it’s oddly liberating when you embrace it.

“Worrying isn’t actually an effective way of controlling problems, but we feel like it is, so we do it.” Davelmna says. “If worrying was an effective way of preventing something from happening, then nothing bad would happen, because at any given time, there’s at least one person worrying about every single thing. Because of that, people act as if worrying or protesting against someone else not worrying is a way of regaining control, which feels important because right now people feel very powerless.”

Also on rt.com As someone battling depression, I know how much the mentally ill are suffering during the Covid-19 lockdown

The thing that’s insidious about anxiety is that you worry so much about one specific thing that it ends up destroying other elements of your life. I worry about the oven, and end up being late to everything, which has consequences. The same could be said of how certain groups believe we should handle Covid-19. It’s reductive to make the argument that it’s about conservative versus liberal or that it’s about money versus saving lives. As Edelman put it, forcing people into a position in which they don’t know how they’re going to feed their children is not saving lives.

But I also find a lot of this pandemic-shaming to come from a very American type of privilege. As the NYT columnist Jennifer Weiner puts it, much of it seems to stem from “Coronavirus Karens.” For those not up on their internet lingo, a “Karen” is a term used to describe someone who is usually white, privileged, and middle-aged, and gets a power-high from telling a barista that they would like to “speak to the manager” because the foam on their latte wasn’t low-fat.

I see a lot of pandemic shaming coming from them toward ethnic groups like Russians who are still taking their kids on walks through parks, or Jews who are still gathering for Shabbat or minorities who grew up in neighborhoods with high crime rates.

I always think that they fail to recognize that this is the first time in a long time in American history when we’ve all had to collectively sit down and consider the fact that we’re all going to die someday. People who have had death hovering around them since they were young, on the other hand, would naturally feel like this is just another day in their life.

For what it’s worth, my experience is that confronting death comes in more or less three stages:

Stage One: Fear and panic. That's the natural and appropriate initial response.

Stage Two: An exploration of “what it all means” in light of this terrifying prospect. I think that's the stage most of us are in now.

Stage Three: You accept the fact that, no matter what you do, you really can't control how and when you die, but you have a lot of control over how you live, and as such, choose to try to live life to the fullest regardless of your personal circumstances. This is a very good stage and it lasts.

I’m not suggesting that we don’t take precautions. We absolutely should. It’s a good idea to wear a face mask when we go outside, just as it’s a good idea to make sure nothing is on fire before we leave the apartment. But I do think that anything past that is built on fear, and fear-based decisions are never good ones.

Think your friends would be interested? Share this story!",32.5,Very low,Right-center,Russia
3,https://www.rt.com/usa/489592-rick-scott-china-cold-war/,RT News,2020-05-23,[],‘NO QUESTION’ US in COLD WAR 2 with China – Florida senator,https://cdni.rt.com/files/2020.05/article/5ec967d6203027401e203882.jpg,"The US is “absolutely” engaged in a new Cold War with China, Florida Senator Rick Scott declared, accusing Beijing of plotting “world domination.” Meanwhile, Washington’s anti-China stance goes all the way to the White House.

Speaking to talk show host Hugh Hewitt on Friday, the Florida Republican slammed Beijing’s handling of the coronavirus pandemic, and its economic policies. Asked whether relations between the two superpowers had entered a “Cold War 2” phase, Scott replied “absolutely.”

“There’s no question about it,” he said. “They’re in for world domination. They take our jobs, they take our technology, they put people in prison for their religion.”

“Understand you have an enemy,” he continued. “They’re an adversary. It’s called Communist China. They’re not here to help us, all right?”

Scott called Beijing’s decision not to alert the World Health Organization about the Covid-19 outbreak in Wuhan until January “intentional,” and suggested a boycott of Chinese-made products until the east Asian superpower is held “accountable.”

The Floridian lawmaker, who sits on the Senate’s Armed Services and Homeland Security committees, then called for the US to sanction China “for violating Hong Kong’s independence."" China, on the other hand, has accused the US of deliberately stoking protest in the semi-autonomous city-state.

Also on rt.com Private property: US senators unveil law to ‘protect’ Covid-19 vaccine from Beijing’s ‘theft & sabotage’

Scott’s anti-China broadsides are not the musings of a single Republican war-hawk. Instead, they represent a growing consensus in the US, with bills threatening Beijing with sanctions being introduced and a number of Republican saying they will sue the Chinese administration for its alleged role in the coronavirus pandemic. That’s as President Donald Trump has been raging at China throughout the pandemic, suggesting that Covid-19 was cooked up in a Chinese laboratory, and threatening to “cut off the whole relationship” with Beijing.

Trump’s outburst was likely hyperbolic, but the official line coming from the White House is equally uncompromising. In a policy document outlining its strategic approach to China, the White House this week revealed a “fundamental re-evaluation of how the United States understands and responds to the leaders of the world’s most populous country.”

Accusing China of “predatory economic practices” and “malign behaviors” that undermine national security, the document stated that the US is now engaged in “long-term strategic competition” with Beijing, and will orient its military toward this competition, and toward supporting its “regional allies and partners” in the Pacific. And all of this on top of the Pentagon prioritizing China as an adversary in 2018.

Also on rt.com US tech giants still doing business with blacklisted Chinese companies, research firm claims

Beijing’s responses, meanwhile, have been subtler. In Hong Kong, it has sought to portray the US as meddling in its affairs, and the conflict between protesters and mainland authorities as an internal matter. Since the outbreak of the coronavirus, China has threatened to respond with “painful” countermeasures if Congress applies sanctions or files lawsuits. Globally, as the US continues to deal with more than a million active cases of Covid-19, China has gone on a charm offensive, shipping test kits and protective equipment to the worst-hit countries in Europe.

Militarily though, Beijing continues to pump money into hypersonic weapons and artificial intelligence research – two areas in which it has the edge on America. Its navy has also not been deterred by American patrols in the South China Sea, and continues to assert sovereignty over this hotly disputed tract of water.

Like this story? Share it with a friend!",32.5,Very low,Right-center,Russia
4,https://www.rt.com/news/489599-germany-protests-lockdown-coronavirus/,RT News,2020-05-24,[],"Police in Hamburg use WATER CANNONS to disperse demonstrators against anti-lockdown protest (VIDEO, PHOTOS)",https://cdni.rt.com/files/2020.05/article/5ec9a94a85f54047dd119273.png,"Police have deployed water cannons to break up a sparse crowd demonstrating against a sanctioned anti-lockdown rally in Hamburg, Germany, that saw dozens turn out while minding social distancing rules.

Police had to intervene after a small group of about 120 counter-protesters, many of them clad in black hoodies, repeatedly ignored police requests to stay clear of the ‘Vigil for the Basic Law’ rally against the lockdown measures on Saturday.

The counter-demonstrators, who showed up unannounced, lacking any permission from the authorities, argued that the anti-lockdown rally attracted many right-wing extremists. “Against conspiracy fantasies, anti-semites and the right-wing agenda,” one of the posters read.

Hamburger Wetter: Polizei setzt Wasserwerfer ein, um Gegendekundgebung aufzulösen. Trotz eingehaltenem Mindestabstand pic.twitter.com/tvAnHlxSa4 — Erik Peter (@retep_kire) May 23, 2020

Although both rallies ended without a major incident, scuffles broke out between police and counter-protesters. A bottle was hurled at the officers from the crowd, police said. One person was arrested but was released later.

The anti-lockdown gathering was greenlit to go ahead after organizers agreed to cap the number of its participants at 750 instead of some 3,500-4,000, as originally requested. The Hamburg Administrative Court ruled to limit the number of those who could join the rally so police would be able to enforce the social distancing guidelines, imposed to stem the coronavirus pandemic.

Less than 20 minutes after the meeting officially kicked off, at about 3:17 p.m. local time, the maximum allowed number of participants had already arrived, police said, noting that it had to block more people from coming.

The demonstrators stood several feet apart from each other, chanting slogans and holding anti-lockdown banners, some of which read: “The right to distance instead of a ban on contacts,” “Free accessible tests for everybody instead of the quarantine for everybody” as well as “Stop the corona madness! Basic law now!”

The participants of the rally denounced the government’s response to the outbreak, which has seen some 177,850 testing positive for Covid-19, including 8,216 who have died as a result of the disease.

Also on rt.com 'I'm only human': top German politician in hot water over HUG during Covid-19 lockdown

One of the speakers at the rally argued that more people have died due to planned surgeries being postponed than from the virus itself. There have also been calls to make future vaccinations voluntary, although the authorities have never said that the coronavirus shot would be mandatory.

Several dozen rallies for and against the lockdown measures were also held in Berlin, including outside the Reichstag building, home to the German parliament.

Weniger ""#Hygienedemos"", mehr Gegendemos heute in #Berlin - die jedoch nicht alle vernünftiger waren. Insgesamt deutlich ruhiger als an den letzten Wochenenden - die größte Menschenansammlung war wohl die Schlange am Primark. #covid19#Coronavirus#Coronakrisepic.twitter.com/Aik6yFECWP — Hinnerk Feldwisch-Drentrup (@hfeldwisch) May 23, 2020

That gathering also prompted a counter-action, with demonstrators branding those opposing the coronavirus restrictions “tin foil hats” and “Nazis.” Some 1000 police were deployed to ensure social distancing. In the wake of the protests, some 180 people faced administrative and criminal charges for violating the restrictions, including The Infectious Diseases Protection Act, police said.

Think your friends would be interested? Share this story!",32.5,Very low,Right-center,Russia
