news_id,url,publisher,publish_date,author,title,image,body_text,news_guard_score,mbfc_level,political_bias,country,reliability
0,https://truepundit.com/shock-video-cdc-going-door-to-door-to-collect-your-dna-blood/,True Pundit,2020-05-23,[],"SHOCK VIDEO: CDC Going Door to Door to Collect Your DNA, Blood – True Pundit",https://i2.wp.com/truepundit.com/wp-content/uploads/2020/05/cdc1-2-1024x613-1.jpg?fit=1024%2C613&ssl=1,"Alarming video of CDC officials harassing American citizens for DNA samples at their homes has sparked further controversy for the embattled and feckless agency.

We thought people were supposed to stay at home to AVOID infection of coronavirus? The fact that CDC employees — who could be infected from visiting multiple homes — are now visiting residents to collect your DNA would certainly contradict those federal stay-at-home edicts.

That next knock on your door might not be food delivery — it could be the goons from the CDC looking to swab your saliva or bottle your blood. This little-known video first surfaced three weeks ago but has gone largely unreported by the mainstream media. Wonder why.

Listen to the insightful Thomas Paine Podcast Below --",12.5,Low,,USA,0
1,https://truepundit.com/listen-paine-in-the-morning-news-scoops-analysis-for-friday-5-22-20/,True Pundit,2020-05-22,[],LISTEN: PAINE in the Morning — News Scoops & Analysis for Friday 5.22.20 – True Pundit,https://i2.wp.com/truepundit.com/wp-content/uploads/2020/05/PAINE-5.22.20.jpg?fit=1920%2C1331&ssl=1,"Listen to “PAINE in the Morning 5.22.20” on Spreaker.



There is also a full, ad-free video podcast of this broadcast available on True Pundit’s Patreon Page for our subscribers to help us do what we do.

Doctors raise alarm about health effects of continued coronavirus shutdown: ‘Mass casualty incident’ – More than 600 doctors signed onto a letter sent to President Trump Tuesday pushing him to end the “national shutdown” aimed at slowing the spread of the coronavirus, calling the widespread state orders keeping businesses closed and kids home from school a “mass casualty incident” with “exponentially growing health consequences.”

The letter outlines a variety of consequences that the doctors have observed resulting from the coronavirus shutdowns, including patients missing routine checkups that could detect things like heart problems or cancer, increases in substance and alcohol abuse, and increases in financial instability that could lead to “overty and financial uncertainty,” which “is closely linked to poor health.” – READ MORE

Trump, in Michigan: ‘We’re not going to close the country’ if there’s a 2nd wave of coronavirus cases – President Trump acknowledged Thursday that there could be a second wave of the coronavirus epidemic later this year, but flatly stated he wouldn’t let any further outbreaks shutter the economy again.

“People say that’s a very distinct possibility,” Trump said when asked a possible second wave while in Michigan. “It’s standard. And, we’re going put out the fires. We’re not going to close the country.” – READ MORE

Coronavirus-triggered layoffs in US hit nearly 39 million – The number of Americans applying for unemployment benefits in the two months since the coronavirus took hold in the U.S. has swelled to nearly 39 million, the government reported Thursday, even as states from coast to coast gradually reopen their economies and let people go back to work.

More than 2.4 million people filed for unemployment last week in the latest wave of layoffs from the business shutdowns that have brought the economy to its knees, the Labor Department said. – READ MORE

‘Bet You Stay Home Now Hypokrits’: Church That Refused To Close During Lockdown Gets Burned Down, Investigated As Arson – A Mississippi church in the midst of a legal battle to stay open despite local shutdown orders was burned to the ground early Wednesday morning. According to first responders, the First Pentecostal Church of Holly Springs was vandalized and suffered a large explosion to the back of the church. The incident is being investigated as a criminal act of arson.

“I Bet you stay home now you hypokrits,” read one message spray painted on the church parking lot, Thomas More Society senior counsel and lawyer for the church Stephen Crampton told Fox News on Thursday. – READ MORE

JPMorgan study finds COVID-19 infection rates have declined — not increased — in states that have reopened – A report by JPMorgan finds that COVID-19 infection rates have declined, not increased, in states that have reopened. The eye-opening study from the investment banking institution was shared by CNBC financial anchor Carl Quintanilla in a series of tweets.

Research by JPMorgan shows that the coronavirus infection rates of states that have ended their lockdowns have declined, “even after allowing for an appropriate measurement lag.” The incubation period for coronavirus has a median time of four to five days, and as long as 14 days, according to the Centers for Disease Control and Prevention. – READ MORE

Progressive group used phone data to track protesters at anti-lockdown rallies – A progressive health care advocacy group used cellphone data to track the movements of demonstrators at lockdown protests in five states, according to a report.

The Committee to Protect Medicare collected the anonymized location data from opt-in cellphone apps and data scientists at the firm VoteMap used it to determine the movements of the devices at protests in April and May in Michigan, Wisconsin, Illinois, Colorado and Florida, the Guardian reported Monday. – READ MORE

“Trust Is Being Undermined” – Harvard Medical School Prof Questions Fauci’s “Shading” Vaccine Results – Former Harvard Medical School professor and founder of the university’s cancer and HIV/AIDS research departments, William Haseltine dared to speak out today about the high level of bullshit and damage that is being done to “trust” in “scientists” and even dared to break the one holy writ that shall go un-mentioned, throwing some shade a Dr.Fauci. – READ MORE

3M billed government $7.63 for 85-cent earplugs. It now has $1 billion COVID contract –The company that has been awarded the largest single COVID-19 federal contract once boasted it charged the Defense Department $7.63 for earplugs that cost 85 cents a pair to produce.

That company, 3M, was awarded a $1 billion contract on April 15 for “medical and surgical instruments, equipment and supplies,” by the Federal Emergency Management Agency. The IDIQ contract — “indefinite delivery, indefinite quantity” — was awarded without taking competing bids from other vendors. – READ MORE",12.5,Low,,USA,0
2,https://truepundit.com/excusive-top-brokerage-house-asking-account-holders-covid-19-medical-questions-before-they-release-401k-funds/,True Pundit,2020-05-21,[],EXCUSIVE: TOP Brokerage House Asking Account Holders COVID-19 & Medical Questions Before They Release 401K Funds – True Pundit,https://i0.wp.com/truepundit.com/wp-content/uploads/2020/05/lincoln-760.jpg?fit=760%2C480&ssl=1,"Listen to “Ep. 24 — REVEALED: The Government is Playing You Like a Fiddle, The Interview You Can’t Afford to Miss to Navigate Post-Pandemic America” on Spreaker.



Brokerage and finance giant Fidelity Investments is putting investors through the medical ringer before they release funds, according to shocking revealtions on the Thomas Paine Podcast Ep. 24. Paine, who worked in finance for Citi, said this practice is likely illegal and highly unethical. What questions is Fidelity peppering their account holders with to “self verify” before they can get to their own money? It’s truly unbelievable. Listen Above.

“Your medical history is protected by federal laws and HIPAA and financial institutions have no right to ask you to waive those rights in order to get money that is yours,” Paine said. “Sadly, no one in D.C. gives a crap about you getting hung out to dry so you really need to protect yourself from this type of predatory behavior. Listen and learn how.”",12.5,Low,,USA,0
3,https://truepundit.com/listen-paine-in-the-morning-news-scoops-analysis-for-thursday-5-21-20/,True Pundit,2020-05-21,[],LISTEN: PAINE in the Morning — News Scoops & Analysis for Thursday 5.21.20 – True Pundit,https://i0.wp.com/truepundit.com/wp-content/uploads/2020/05/PAINE-5.21.20.jpg?fit=1920%2C1331&ssl=1,"Listen to “PAINE in the Morning 5.21.20” on Spreaker.



There is also a full, ad-free video podcast of this broadcast available on True Pundit’s Patreon Page for our subscribers to help us do what we do.

Leaked Pentagon memo warns of ‘real possibility’ of COVID-19 resurgence, vaccine not coming until summer 2021 – The Defense Department should prepare to operate in a “globally-persistent” novel coronavirus (COVID-19) environment without an effective vaccine until “at least the summer of 2021,” according to a draft Pentagon memo obtained by Task & Purpose.

“We have a long path ahead, with the real possibility of a resurgence of COVID-19,” reads the memo, authored for Secretary of Defense Mark Esper but not yet bearing his signature. – READ MORE

Mnuchin says employees who reject offer to return to work are ineligible for unemployment benefits – Treasury Secretary Steven Mnuchin warned on Tuesday that individuals who reject an offer from their company to return to work after being laid off due to coronavirus are no longer considered eligible to receive federal unemployment benefits.

Mnuchin said that companies receiving benefits under the Payroll Protection Program who are inviting employees who had been laid off or furloughed due to the coronavirus crisis to return to work should plan to notify state unemployment offices of their offers. – READ MORE

Declassified Susan Rice email shows Comey suggested ‘sensitive’ info on Russia not be shared with Flynn – Former FBI Director James Comey suggested to then-President Barack Obama in a January 2017 meeting that the National Security Council might not want to pass “sensitive information related to Russia” to then-incoming National Security Adviser Michael Flynn, according to a newly declassified email that Flynn’s predecessor sent herself on Inauguration Day.

The note from Susan Rice was declassified by Acting Director of National Intelligence Richard Grenell and transmitted to the Justice Department. Fox News obtained a copy Tuesday from GOP Sen. Ron Johnson’s office, which had sought access to the document. – READ MORE

Will government mandate COVID-19 vaccinations? – When a COVID-19 vaccine becomes available, I will be one of the first in line. But the fact is U.S. adults tend to have low vaccination rates. If the government determines that vaccinations are essential to stemming the spread of the disease, would it – could it – mandate vaccination compliance? Apparently, it can — and it might.

Many medical experts believe that developing one or more COVID-19 vaccines is the key to reopening the economy and returning to our normal lives. For example, the Mayo Clinic says, “A vaccine to prevent coronavirus disease 2019 (COVID-19) is perhaps the best hope for ending the pandemic.” – READ MORE

Pompeo Proven Right: China Admits That It Intentionally Destroyed Coronavirus Lab Samples – The Chinese Communist Party (CCP) admitted late last week that it destroyed coronavirus lab samples during the initial months of the outbreak, which originated in Wuhan, China.

Secretary of State Mike Pompeo has repeatedly said that China refused to give scientists from other countries samples of the coronavirus that were taken from the initial people that contracted the disease. – READ MORE

CDC updates guidance to say COVID-19 ‘does not spread easily’ through touching contaminated surfaces – The Centers for Disease Control and Prevention has updated its guidance on COVID-19 to say that the disease “does not spread easily” on contaminated surfaces.

The disease has always been thought to spread mainly through person-to-person contact by respiratory droplets produced when an infected person coughs, sneezes, or talks. But up until recently, the CDC maintained that the virus could also spread through contact with contaminated surfaces. – READ MORE

Oregon Gov. Decrees Residents in Closed Counties Cannot Shop in Open Counties –Oregon Governor Kate Brown (D-Portland) said that residents of counties that have yet to reopen may not travel to open counties to get haircuts or dine in restaurants.

In an article that highlighted the confusing and often contradictory nature of Brown’s lockdown orders due to the Wuhan coronavirus pandemic, The Oregonian reported – READ MORE

Rand Paul Calls Out Dr. Fauci, Shares Chart Showing COVID-19 Mortality Rate Similar To Flu For People Under 60 – Senator Rand Paul shared a link to a chart showing the coronavirus death rate is similar to the seasonal flu for people under 60, complete with the caption: “Paging Dr. Fauci.”

The chart comes from an article posted in the Conservative Review, written by Senior Editor Daniel Horowitz, in which numbers are presented from a Dutch economics magazine. – READ MORE",12.5,Low,,USA,0
4,https://truepundit.com/mcconnell-declares-expanded-unemployment-benefits-will-not-be-in-the-next-bill/,True Pundit,2020-05-22,[],McConnell Declares Expanded Unemployment Benefits ‘Will Not Be in the Next Bill’ – True Pundit,https://i0.wp.com/truepundit.com/wp-content/uploads/2017/10/sen.mitch-mcconell-e1494699238801-4.jpg?fit=1200%2C516&ssl=1,"Senate Majority Leader Mitch McConnell (R-Ky.) is vowing that an expansion for unemployment benefits will not be included for the next coronavirus stimulus package.

During a call with Senate Republicans on Wednesday, McConnell doubled down on his intent to “pause” before discussing plans for a “phase four” bill to combat the coronavirus, as The Hill reports.

However, McConnell did mull over the possibility of changes that could be implemented if Congress were to approve a fifth bill.

The Kentucky lawmaker expressed the desire to “clean up the Democrats’ crazy policy that is paying people more to remain unemployed than they would earn if they went back to work.”

“This will not be in the next bill,” McConnell said.

Sen. Lindsey Graham (R-S.C.), who previously sponsored an amendment to cap unemployment benefits, is reportedly in agreement with McConnell. At the Senate caucus luncheon on Tuesday, the South Carolina senator also asked President Donald Trump not to extend the expanded unemployment. – READ MORE

Listen to the insightful Thomas Paine Podcast Below --",12.5,Low,,USA,0
5,https://truepundit.com/jpmorgan-study-finds-covid-19-infection-rates-have-declined-not-increased-in-states-that-have-reopened/,True Pundit,2020-05-22,[],JPMorgan study finds COVID-19 infection rates have declined — not increased — in states that have reopened – True Pundit,https://i2.wp.com/truepundit.com/wp-content/uploads/2020/05/CORONAVIRUS-GROCERY.jpg?fit=768%2C512&ssl=1,"A report by JPMorgan finds that COVID-19 infection rates have declined, not increased, in states that have reopened. The eye-opening study from the investment banking institution was shared by CNBC financial anchor Carl Quintanilla in a series of tweets.

Research by JPMorgan shows that the coronavirus infection rates of states that have ended their lockdowns have declined, “even after allowing for an appropriate measurement lag.” The incubation period for coronavirus has a median time of four to five days, and as long as 14 days, according to the Centers for Disease Control and Prevention.

“JPMorgan has a devastating piece arguing that infection rates have declined — not increased — in states where lockdowns have ended, ‘even after allowing for an appropriate measurement lag,'” Quintanilla wrote of the report by Marko Kolanovic, the Global Head of Macro Quantitative and Derivatives Strategy team at JPMorgan.

“Same goes for various countries, adds JPM. ‘This means that the pandemic and COVID-19 likely have its own dynamics unrelated to often inconsistent lockdown measures that were being implemented,'” Quintanilla tweeted. – READ MORE

Listen to the insightful Thomas Paine Podcast Below --",12.5,Low,,USA,0
6,https://truepundit.com/trump-in-michigan-were-not-going-to-close-the-country-if-theres-a-2nd-wave-of-coronavirus-cases/,True Pundit,2020-05-22,[],"Trump, in Michigan: 'We're not going to close the country' if there's a 2nd wave of coronavirus cases – True Pundit",https://i1.wp.com/truepundit.com/wp-content/uploads/2020/03/donald-trump-february-2020-1TRUMP-.jpg?fit=681%2C383&ssl=1,"President Trump acknowledged Thursday that there could be a second wave of the coronavirus epidemic later this year, but flatly stated he wouldn’t let any further outbreaks shutter the economy again.

“People say that’s a very distinct possibility,” Trump said when asked a possible second wave while in Michigan. “It’s standard. And, we’re going put out the fires. We’re not going to close the country.”

Trump’s comments came as he was touring a Ford Motor Co. plant outside of Detroit that has converted its automobile manufacturing facility into one making ventilators. During a speech at the plant, the president praised Ford workers for their efforts to produce thousands of ventilators during the pandemic.

“The global pandemic proves once and for all that for America to be a strong nation, America needs to be a manufacturing nation,” Trump said. “I’m fighting to bring back our jobs from China and many other countries.”

Conservative radio host Buck Sexton said Trump had told this to him during a White House interview Wednesday, saying, “We will not do a lockdown for the second wave that is likely to come in the winter.”

During his speech, the president also lashed out at China for its role in the coronavirus pandemic.

“It came in from China and it should have been stopped in China,” he said.

The first reports of the contagion surfaced late last year in Wuhan, the sprawling capital of Central China’s Hubei province, and the disease quickly spread across the globe. As of Thursday, over 5 million people have been infected worldwide with over 329,000 deaths, according to the Center for Systems Science and Engineering at Johns Hopkins University. – READ MORE

Listen to the insightful Thomas Paine Podcast Below --",12.5,Low,,USA,0
7,https://truepundit.com/doctors-raise-alarm-about-health-effects-of-continued-coronavirus-shutdown-mass-casualty-incident/,True Pundit,2020-05-22,[],Doctors raise alarm about health effects of continued coronavirus shutdown: 'Mass casualty incident' – True Pundit,https://i2.wp.com/truepundit.com/wp-content/uploads/2020/03/coronavirus-quarantine-736x491-1.jpg?fit=736%2C491&ssl=1,"More than 600 doctors signed onto a letter sent to President Trump Tuesday pushing him to end the “national shutdown” aimed at slowing the spread of the coronavirus, calling the widespread state orders keeping businesses closed and kids home from school a “mass casualty incident” with “exponentially growing health consequences.”

The letter outlines a variety of consequences that the doctors have observed resulting from the coronavirus shutdowns, including patients missing routine checkups that could detect things like heart problems or cancer, increases in substance and alcohol abuse, and increases in financial instability that could lead to “overty and financial uncertainty,” which “is closely linked to poor health.”

“We are alarmed at what appears to be the lack of consideration for the future health of our patients,” the doctors say in their letter. “The downstream health effects … are being massively under-estimated and under-reported. This is an order of magnitude error.”

The letter continues: “The millions of casualties of a continued shutdown will be hiding in plain sight, but they will be called alcoholism, homelessness, suicide, heart attack, stroke, or kidney failure. In youths it will be called financial instability, unemployment, despair, drug addiction, unplanned pregnancies, poverty, and abuse.

“Because the harm is diffuse, there are those who hold that it does not exist. We, the undersigned, know otherwise.”

The letter comes as the battle over when and how to lift coronavirus restrictions continues to rage on cable television, in the courts, in protests and among government officials. Those for lifting the restrictions have warned about the economic consequences of keeping the shutdowns in effect. Those advocating a more cautious approach say that having more people out and about will necessarily end with more people becoming infected, causing what National Institute of Allergy and Infectious Diseases Director Dr. Anthony Fauci warned in a Senate hearing last week would be preventable “suffering and death.” – READ MORE

Listen to the insightful Thomas Paine Podcast Below --",12.5,Low,,USA,0
8,https://truepundit.com/trumps-vaccine-czar-has-vast-ties-to-drug-industry-posing-possible-conflicts/,True Pundit,2020-05-22,[],"Trump’s Vaccine Czar Has Vast Ties to Drug Industry, Posing Possible Conflicts – True Pundit",https://i1.wp.com/truepundit.com/wp-content/uploads/2020/05/Trump’s-Vaccine-Czar-Has-Vast-Ties-to-Drug-Industry-Posing-750x375-1.jpg?fit=750%2C375&ssl=1,"The chief scientist brought on to lead the Trump administration’s vaccine efforts has spent the last several days trying to disentangle pieces of his stock portfolio and his intricate ties to big pharmaceutical interests, as critics point to the potential for significant conflicts of interest.

The scientist, Moncef Slaoui, is a venture capitalist and a former longtime executive at GlaxoSmithKline. Most recently, he sat on the board of Moderna, a Cambridge, Mass., biotechnology firm with a $30 billion valuation that is pursuing a coronavirus vaccine. He resigned when President Trump named him last Thursday to the new post as chief adviser for Operation Warp Speed, the federal drive for coronavirus vaccines and treatments.

Just days into his job, the extent of Dr. Slaoui’s financial interests in drug companies has begun to emerge: The value of his stock holdings in Moderna jumped nearly $2.4 million, to $12.4 million when the company released preliminary, partial data from an early phase of its candidate vaccine trial that helped send the markets soaring on Monday.

Dr. Slaoui sold his shares on Tuesday, and the administration said he would donate the increased value to cancer research.

But the Moderna stock is just one piece of his pharmaceutical portfolio, much of which is not public. And some ethics and financial securities experts have voiced concerns about the arrangement Dr. Slaoui struck with the administration. – READ MORE

Listen to the insightful Thomas Paine Podcast Below --",12.5,Low,,USA,0
9,https://truepundit.com/coronavirus-triggered-layoffs-in-us-hit-nearly-39-million/,True Pundit,2020-05-22,[],Coronavirus-triggered layoffs in US hit nearly 39 million – True Pundit,https://i0.wp.com/truepundit.com/wp-content/uploads/2020/05/800.jpeg?fit=800%2C533&ssl=1,"The number of Americans applying for unemployment benefits in the two months since the coronavirus took hold in the U.S. has swelled to nearly 39 million, the government reported Thursday, even as states from coast to coast gradually reopen their economies and let people go back to work.

More than 2.4 million people filed for unemployment last week in the latest wave of layoffs from the business shutdowns that have brought the economy to its knees, the Labor Department said.

That brings the running total to a staggering 38.6 million, a job-market collapse unprecedented in its speed.

The number of weekly applications has slowed for seven straight weeks. Yet the figures remain breathtakingly high — 10 times higher than normal before the crisis struck.

It shows that even though all states have begun reopening over the past three weeks, employment has yet to snap back and the outbreak is still damaging businesses and destroying jobs.

“While the steady decline in claims is good news, the labor market is still in terrible shape,” said Gus Faucher, chief economist at PNC Financial.

Federal Reserve Chairman Jerome Powell said over the weekend that U.S. unemployment could peak in May or June at 20% to 25%, a level last seen during the depths of the Great Depression almost 90 years ago. Unemployment in April stood at 14.7%, a figure also unmatched since the 1930s.

Over 5 million people worldwide have been confirmed infected by the virus, and about 330,000 deaths have been recorded, including about 94,000 in the U.S. and around 165,000 in Europe, according to a tally kept by Johns Hopkins University and based on government data. Experts believe the true toll is significantly higher. – READ MORE

Listen to the insightful Thomas Paine Podcast Below --",12.5,Low,,USA,0
