publisher,publish_year,publisher_month,publisher_day,author_num,title_word_num,body_word_num,word_num,image_num,bias,country
17,2020,5,15,1,17,1489,1506,1,1,2
17,2020,4,22,1,12,1124,1136,1,1,2
39,2020,5,18,1,14,866,880,1,5,2
39,2020,3,4,2,11,305,316,1,5,2
39,2020,5,18,1,9,492,501,1,5,2
39,2020,5,18,1,13,657,670,1,5,2
39,2020,5,18,3,14,912,926,1,5,2
39,2020,5,18,1,8,583,591,1,5,2
39,2020,5,15,1,11,639,650,1,5,2
39,2020,5,18,5,14,102,116,1,5,2
39,2020,5,18,1,7,635,642,1,5,2
39,2020,5,18,1,9,398,407,1,5,2
39,2020,5,18,1,13,291,304,1,5,2
39,2020,5,18,1,12,27,39,1,5,2
39,2020,5,18,1,18,46,64,1,5,2
39,2020,5,18,1,15,1070,1085,1,5,2
39,2020,5,18,2,13,633,646,1,5,2
39,2020,5,15,1,9,1251,1260,1,5,2
39,2020,5,15,1,8,642,650,1,5,2
41,2020,5,18,1,12,1491,1503,1,4,2
41,2020,5,17,1,7,970,977,1,4,2
41,2020,5,13,1,8,1103,1111,1,4,2
41,2020,5,6,1,10,1730,1740,1,4,2
41,2020,5,1,1,8,1318,1326,1,4,2
41,2020,4,29,1,7,1071,1078,1,4,2
41,2020,4,27,1,11,1349,1360,1,4,2
41,2020,5,16,1,11,1278,1289,1,4,2
41,2020,5,25,1,8,1296,1304,1,4,2
41,2020,4,17,1,11,216,227,1,4,2
41,2020,5,11,1,13,188,201,1,4,2
41,2020,5,16,1,10,1246,1256,1,4,2
27,2020,5,17,1,12,545,557,1,1,2
27,2020,5,17,1,12,1117,1129,1,1,2
27,2020,5,17,1,12,349,361,1,1,2
27,2020,5,17,1,10,1146,1156,1,1,2
27,2020,5,17,1,13,1482,1495,1,1,2
27,2020,5,16,1,11,853,864,1,1,2
27,2020,3,16,2,12,640,652,1,1,2
27,2020,3,30,3,9,227,236,1,1,2
27,2020,5,16,1,11,654,665,1,1,2
27,2020,5,16,1,11,520,531,1,1,2
27,2020,5,15,1,15,1894,1909,1,1,2
27,2020,5,15,1,12,575,587,1,1,2
27,2020,5,13,2,17,401,418,1,1,2
27,2020,5,12,1,10,560,570,1,1,2
27,2020,5,12,1,13,597,610,1,1,2
27,2020,5,12,3,9,997,1006,1,1,2
27,2020,5,11,1,14,800,814,1,1,2
27,2020,5,10,1,10,588,598,1,1,2
27,2020,5,11,2,12,1211,1223,1,1,2
27,2020,5,10,1,14,483,497,1,1,2
27,2020,5,8,2,12,479,491,1,1,2
27,2020,5,6,1,9,686,695,1,1,2
27,2020,4,30,1,12,545,557,1,1,2
27,2020,4,30,1,12,333,345,1,1,2
27,2020,4,30,1,8,1201,1209,1,1,2
27,2020,4,28,1,11,304,315,1,1,2
27,2020,4,14,0,9,1336,1345,1,1,2
27,2020,4,20,1,10,1312,1322,1,1,2
27,2020,4,27,1,11,404,415,1,1,2
27,2020,4,27,1,9,573,582,1,1,2
27,2020,4,23,4,11,796,807,1,1,2
27,2020,4,22,1,11,639,650,1,1,2
27,2020,4,21,1,11,673,684,1,1,2
27,2020,4,17,1,8,1192,1200,1,1,2
27,2020,4,16,1,15,387,402,1,1,2
27,2020,4,18,1,12,1177,1189,1,1,2
27,2020,4,15,2,9,292,301,1,1,2
27,2020,4,15,1,7,308,315,1,1,2
27,2020,4,13,1,8,407,415,1,1,2
27,2020,4,13,1,10,840,850,1,1,2
27,2020,4,13,1,9,1593,1602,1,1,2
27,2020,4,10,1,7,963,970,1,1,2
27,2020,4,11,0,10,264,274,1,1,2
27,2020,4,10,1,12,1269,1281,1,1,2
27,2020,5,1,1,5,1808,1813,1,1,2
27,2020,4,9,1,11,512,523,1,1,2
27,2020,4,9,1,12,428,440,1,1,2
27,2020,4,8,1,9,223,232,1,1,2
27,2020,4,9,1,9,1282,1291,1,1,2
27,2020,4,9,1,11,7163,7174,1,1,2
