tweet_num,spreader_num,in_degree_avg,in_degree_med,degree_avg,degree_med
1260,1088,78430,817,2793,883
8,8,2498,1708,1746,1283
338,278,20585,748,3309,694
0,0,0,0,0,0
38,37,3691,482,1924,407
2,2,257602,257602,7535,7535
0,0,0,0,0,0
0,0,0,0,0,0
1,1,7191,7191,659,659
0,0,0,0,0,0
2,2,239,239,69,69
0,0,0,0,0,0
108,102,2751,569,2083,970
0,0,0,0,0,0
100,95,83380,366,2115,738
100,94,3776,560,3065,645
0,0,0,0,0,0
1,1,229,229,742,742
0,0,0,0,0,0
1,1,15957,15957,5958,5958
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,52,52,170,170
5,5,3806,1551,3985,3017
300,285,112709,434,3639,743
2,2,4694,4694,1923,1923
0,0,0,0,0,0
190,180,67812,949,3872,952
7,7,684,397,752,665
153,145,24604,1193,6235,1802
0,0,0,0,0,0
26,26,1897,943,1891,1153
59,52,7908,1419,5175,1704
0,0,0,0,0,0
0,0,0,0,0,0
2,2,2878,2878,266,266
150,117,29328,1736,2630,1774
0,0,0,0,0,0
1,1,7906,7906,8959,8959
131,101,1964,526,1960,715
18,17,30053,1166,2521,994
57,54,4848,982,3391,1028
45,44,65122,1160,3926,637
13,11,2492,193,1547,570
73,70,77020,1072,2769,760
100,96,3387,468,3249,909
0,0,0,0,0,0
270,236,22462,1193,3001,1418
2,2,477,477,612,612
0,0,0,0,0,0
63,61,49827,895,2697,510
2301,1547,22078,1200,2079,1024
200,198,18356,752,3112,828
420,405,6097,657,1550,807
79,76,15384,4199,12352,4617
0,0,0,0,0,0
2,1,127,127,522,522
2,2,259649,259649,8394,8394
36,35,32529,984,4328,1152
9,9,7182,4152,1248,1000
300,253,83080,413,1431,527
24,19,9366,6763,1548,1000
1000,877,119836,557,3842,870
6,6,1873,1699,2520,2085
0,0,0,0,0,0
6,3,57156,8479,1894,1209
0,0,0,0,0,0
200,180,30926,343,3614,888
33,29,35391,2904,3185,1648
700,668,52078,613,3035,873
63,60,90932,1160,3483,945
300,271,9547,561,1604,788
48,48,60664,938,3019,796
100,96,2853,1570,3289,2106
400,357,55362,588,1957,647
3,2,7231,2869,2983,1496
0,0,0,0,0,0
100,97,3962,449,4145,756
1000,978,6812,206,1643,269
274,272,13108,707,1590,734
3331,2716,62288,557,4003,868
100,99,58335,452,2610,599
200,191,18165,1566,5785,1666
0,0,0,0,0,0
1,1,31191,31191,26171,26171
60,55,8233,829,1494,961
442,423,9897,923,2747,1098
1400,1284,22049,710,2182,726
1,1,3465,3465,1054,1054
18,18,8101,1275,3493,815
56,54,99081,1021,3296,482
153,105,22659,1242,2202,1302
0,0,0,0,0,0
21,21,25812,469,2057,942
1,1,12482,12482,569,569
4,4,703,345,665,326
183,175,51659,939,3722,1147
14,13,6167,780,4514,670
600,532,10037,937,2309,916
100,98,141606,506,4425,644
5,5,16656,3365,14753,1267
2,2,8485,8485,2077,2077
165,158,20686,652,1492,790
32,31,91574,1228,5935,1769
33,30,18876,1952,2244,1090
27,26,21302,937,1923,954
77,71,108678,1096,3390,755
100,100,5356,1514,4143,1361
3,3,7490,1431,945,797
4,4,5690,922,1530,1348
100,98,56888,931,2784,649
100,99,31322,932,3597,760
54,52,101089,954,1944,691
52,49,104584,981,1214,676
19,18,2149,1161,1900,435
5,5,3809,2553,3747,2571
300,297,55091,636,4220,946
69,66,118772,1161,2393,1221
1,1,53933,53933,1136,1136
300,286,5524,1753,4756,2089
0,0,0,0,0,0
1000,974,21706,604,2528,768
20,14,1966,668,1547,1289
0,0,0,0,0,0
26,25,1801,459,777,451
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3,3,7342,1063,304,339
108,102,22126,1231,2733,1084
500,476,21452,465,1703,704
44,42,66051,1035,1984,706
82,78,69406,802,2329,513
0,0,0,0,0,0
100,99,31042,613,3780,917
0,0,0,0,0,0
1,1,15959,15959,5957,5957
30,29,96655,807,6059,900
400,362,66885,1124,3252,1339
100,97,91871,484,2635,647
200,195,7371,608,2758,834
0,0,0,0,0,0
142,136,41484,827,3147,883
400,374,29625,709,1736,838
300,287,2649,1031,2216,1507
100,96,55599,735,1545,626
10,10,5496,2645,3889,2440
100,100,3702,1011,2496,1295
8,8,1906,867,2014,965
100,95,20685,1142,6667,1553
128,120,44832,697,2317,729
23,22,18524,1187,1606,1081
37,34,3326,225,3184,397
48,37,2713,1596,2008,1507
0,0,0,0,0,0
117,116,28917,1137,3124,763
0,0,0,0,0,0
74,72,74263,707,1534,563
259,234,65159,593,1641,717
10,7,55923,4489,4558,2178
90,82,32718,692,1410,540
300,285,80063,563,4694,822
5,5,8236,4154,6774,2399
0,0,0,0,0,0
81,60,5407,2094,3647,2114
22,19,13281,3208,7355,1528
117,114,29164,837,1651,620
93,91,8323,618,2673,965
56,53,103327,1487,4650,711
100,92,110163,859,1675,580
11,11,8448,2662,7009,2708
54,54,58155,741,3760,559
0,0,0,0,0,0
100,95,5231,341,1382,756
100,99,8823,1376,2374,1457
73,71,82353,2148,3902,767
0,0,0,0,0,0
100,94,8304,348,2170,433
9,9,655,300,738,214
0,0,0,0,0,0
0,0,0,0,0,0
13,11,4022,4487,1835,857
0,0,0,0,0,0
244,200,11212,432,4538,767
0,0,0,0,0,0
1047,900,74758,514,3648,858
4,4,6167,1887,903,511
0,0,0,0,0,0
71,69,3326,907,1705,640
69,65,8192,1010,4657,1551
6,6,4822,736,1740,839
1,1,1397,1397,73,73
0,0,0,0,0,0
600,569,10628,625,1564,651
9,8,3074,1176,1837,2096
0,0,0,0,0,0
7,6,4976,1118,1174,839
0,0,0,0,0,0
145,132,21193,284,1685,456
6,6,7191,278,4684,136
76,69,41987,1227,3629,646
0,0,0,0,0,0
146,122,3517,327,1805,555
31,31,89020,920,2701,692
13,12,77687,532,1183,353
1,1,543,543,2778,2778
2,2,103,103,62,62
0,0,0,0,0,0
500,485,5110,855,2954,970
4,4,16726,7747,11363,1966
0,0,0,0,0,0
